close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
201980,Danny Green,1610612759,SAS,G-F,29.0,10,10,0.264,7,34,0.206,0.335,-0.129
202695,Kawhi Leonard,1610612759,SAS,F,25.0,10,10,0.317,11,32,0.344,0.337,0.007
200746,LaMarcus Aldridge,1610612759,SAS,F,30.0,10,8,0.2,11,28,0.393,0.346,0.047
2225,Tony Parker,1610612759,SAS,G,34.0,10,10,0.387,10,24,0.417,0.342,0.074
1938,Manu Ginobili,1610612759,SAS,G,38.0,10,9,0.302,5,16,0.313,0.336,-0.023
201988,Patty Mills,1610612759,SAS,G,27.0,10,9,0.296,2,16,0.125,0.316,-0.191
203937,Kyle Anderson,1610612759,SAS,F,22.0,10,7,0.244,5,11,0.455,0.346,0.108
2564,Boris Diaw,1610612759,SAS,C-F,34.0,9,8,0.224,4,11,0.364,0.301,0.063
2561,David West,1610612759,SAS,F,35.0,9,5,0.148,2,9,0.222,0.324,-0.102
1495,Tim Duncan,1610612759,SAS,C-F,40.0,10,5,0.093,1,7,0.143,0.336,-0.193
2755,Kevin Martin,1610612759,SAS,G,33.0,4,4,0.429,0,6,0.0,0.314,-0.314
1889,Andre Miller,1610612759,SAS,G,40.0,4,2,0.4,1,4,0.25,0.329,-0.079
203613,Jonathon Simmons,1610612759,SAS,G-F,26.0,2,2,0.4,2,2,1.0,0.36,0.64
1626246,Boban Marjanović,1610612759,SAS,C,27.0,4,1,0.067,1,1,1.0,0.301,0.699
