team_id,team_name,gp,w,l,w_pct,min,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_blka,opp_pf,opp_pfd,opp_pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,opp_fgm_rank,opp_fga_rank,opp_fg_pct_rank,opp_fg3m_rank,opp_fg3a_rank,opp_fg3_pct_rank,opp_ftm_rank,opp_fta_rank,opp_ft_pct_rank,opp_oreb_rank,opp_dreb_rank,opp_reb_rank,opp_ast_rank,opp_tov_rank,opp_stl_rank,opp_blk_rank,opp_blka_rank,opp_pf_rank,opp_pfd_rank,opp_pts_rank,plus_minus_rank,team
1610612737,Atlanta Hawks,3,1,2,0.333,8.966666666666667,37.5,101.7,0.368,21.4,64.2,0.333,0.0,0.0,0.0,5.4,26.8,32.1,21.4,5.4,5.4,5.4,0.0,26.8,16.1,96.4,10.7,11,11,5,12,15,11,15,4,16,16,7,1,1,1,5,6,5,12,14,9,11,13,10,13,6,10,ATLANTA HAWKS
1610612738,Boston Celtics,12,7,5,0.583,32.638333333333335,32.4,77.9,0.415,10.3,29.4,0.35,19.1,26.5,0.722,10.3,33.8,44.1,14.7,10.3,5.9,5.9,4.4,27.9,29.4,94.1,10.3,1,1,16,5,3,6,9,7,9,9,11,6,6,6,10,10,11,5,6,11,13,12,11,5,5,9,BOSTON CELTICS
1610612751,Brooklyn Nets,4,0,4,0.0,9.635,44.8,84.7,0.529,5.0,14.9,0.333,29.9,34.9,0.857,10.0,54.8,64.8,10.0,10.0,0.0,0.0,5.0,29.9,39.9,124.5,74.7,9,15,13,15,14,15,13,13,5,1,7,10,10,13,8,16,14,1,7,1,1,7,14,2,14,16,BROOKLYN NETS
1610612741,Chicago Bulls,2,1,1,0.5,6.32,30.4,83.5,0.364,0.0,30.4,0.0,45.6,60.8,0.75,30.4,45.6,75.9,15.2,22.8,0.0,7.6,7.6,15.2,53.2,106.3,22.8,14,11,2,7,16,4,12,3,1,10,1,15,16,8,15,14,15,7,1,1,14,3,4,1,9,12,CHICAGO BULLS
1610612742,Dallas Mavericks,7,3,4,0.429,20.808333333333334,34.6,78.4,0.441,9.2,27.7,0.333,32.3,46.1,0.7,11.5,32.3,43.8,18.5,6.9,2.3,0.0,4.6,20.8,27.7,110.7,4.6,4,5,13,9,4,8,10,10,7,7,7,13,14,5,11,8,10,9,12,4,1,10,6,7,11,7,DALLAS MAVERICKS
1610612743,Denver Nuggets,3,1,2,0.333,14.188333333333333,44.0,77.8,0.565,6.8,30.4,0.222,30.4,37.2,0.818,10.1,20.3,30.4,23.7,6.8,10.1,3.4,0.0,20.3,30.4,125.2,27.1,11,11,5,12,9,14,8,14,6,11,5,12,11,12,9,3,4,13,13,16,5,13,5,4,15,13,DENVER NUGGETS
1610612744,Golden State Warriors,9,6,3,0.667,34.30166666666667,35.0,75.6,0.463,4.2,26.6,0.158,25.2,29.4,0.857,7.0,16.8,23.8,15.4,12.6,7.0,4.2,5.6,29.4,19.6,99.4,-29.4,2,2,9,3,1,9,6,11,3,6,3,8,7,13,6,2,2,8,5,12,6,5,12,12,7,3,GOLDEN STATE WARRIORS
1610612763,Memphis Grizzlies,8,4,4,0.5,32.68333333333333,30.8,82.2,0.375,11.7,45.5,0.258,32.3,39.7,0.815,8.8,32.3,41.1,20.6,8.8,2.9,14.7,7.3,22.0,29.4,105.7,-17.6,3,3,13,7,2,5,11,5,11,14,6,14,12,11,7,9,8,11,10,7,16,4,7,6,8,5,MEMPHIS GRIZZLIES
1610612748,Miami Heat,7,4,3,0.571,18.18166666666667,23.8,58.1,0.409,10.6,31.7,0.333,26.4,34.3,0.769,2.6,34.3,37.0,10.6,13.2,2.6,0.0,5.3,34.3,23.8,84.5,-23.8,4,3,9,6,6,2,2,6,10,12,7,9,9,9,3,11,6,2,4,6,1,6,15,8,3,4,MIAMI HEAT
1610612749,Milwaukee Bucks,5,3,2,0.6,16.253333333333334,29.5,100.4,0.294,3.0,23.6,0.125,23.6,29.5,0.8,23.6,23.6,47.3,14.8,8.9,8.9,11.8,8.9,29.5,23.6,85.6,-8.9,6,5,5,4,8,3,14,1,2,2,2,7,8,10,14,5,12,6,9,13,15,2,13,9,4,6,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,5,2,3,0.4,17.571666666666665,38.2,109.3,0.35,16.4,46.4,0.353,30.0,41.0,0.733,35.5,49.2,84.7,24.6,8.2,5.5,5.5,19.1,24.6,21.9,122.9,32.8,6,8,9,10,7,12,16,2,14,15,12,11,13,7,16,15,16,15,11,10,12,1,8,10,13,14,MINNESOTA TIMBERWOLVES
