team_id,team_name,gp,w,l,w_pct,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,team
1610612738,Boston Celtics,19,11,8,0.579,922.0,0.5,0.283,0.123,0.256,0.518,0.275,0.142,0.253,3,3,15,3,3,13,5,2,8,8,10,7,6,BOSTON CELTICS
1610612739,Cleveland Cavaliers,22,12,10,0.545,1066.0,0.512,0.282,0.136,0.289,0.529,0.252,0.128,0.256,1,2,16,5,1,11,6,6,2,10,6,14,8,CLEVELAND CAVALIERS
1610612744,Golden State Warriors,21,16,5,0.762,1013.0,0.545,0.237,0.131,0.255,0.481,0.241,0.138,0.268,2,1,10,1,2,2,14,4,9,1,2,11,11,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,17,11,6,0.647,816.0,0.514,0.261,0.125,0.251,0.53,0.251,0.145,0.245,4,3,12,2,4,8,10,3,11,11,5,4,4,HOUSTON ROCKETS
1610612754,Indiana Pacers,7,3,4,0.429,336.0,0.542,0.241,0.144,0.274,0.503,0.313,0.157,0.265,9,9,1,8,10,3,13,11,4,2,14,1,10,INDIANA PACERS
1610612748,Miami Heat,5,1,4,0.2,240.0,0.507,0.345,0.157,0.235,0.514,0.364,0.157,0.345,13,13,1,13,13,12,1,15,13,5,16,2,16,MIAMI HEAT
1610612749,Milwaukee Bucks,7,3,4,0.429,341.0,0.561,0.254,0.14,0.19,0.503,0.291,0.138,0.302,9,9,1,8,9,1,11,9,16,3,11,10,15,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,5,1,4,0.2,240.0,0.515,0.276,0.133,0.245,0.531,0.259,0.088,0.255,13,13,1,13,13,7,7,5,12,12,7,16,7,MINNESOTA TIMBERWOLVES
1610612740,New Orleans Pelicans,9,5,4,0.556,432.0,0.533,0.204,0.139,0.215,0.514,0.214,0.133,0.238,8,5,1,4,8,5,15,8,15,6,1,12,3,NEW ORLEANS PELICANS
1610612760,Oklahoma City Thunder,6,2,4,0.333,288.0,0.49,0.245,0.142,0.261,0.521,0.309,0.154,0.287,11,11,1,11,11,15,12,10,7,9,13,3,13,OKLAHOMA CITY THUNDER
1610612755,Philadelphia 76ers,10,5,5,0.5,485.0,0.493,0.32,0.146,0.333,0.514,0.321,0.138,0.231,6,5,10,6,6,14,2,14,1,6,15,9,2,PHILADELPHIA 76ERS
1610612757,Portland Trail Blazers,4,0,4,0.0,192.0,0.512,0.173,0.145,0.267,0.582,0.26,0.139,0.219,16,16,1,16,16,10,16,12,6,16,8,8,1,PORTLAND TRAIL BLAZERS
1610612759,San Antonio Spurs,5,1,4,0.2,240.0,0.463,0.274,0.116,0.233,0.535,0.246,0.144,0.291,13,13,1,13,13,16,8,1,14,13,4,5,14,SAN ANTONIO SPURS
1610612761,Toronto Raptors,10,4,6,0.4,485.0,0.536,0.29,0.145,0.272,0.541,0.266,0.118,0.281,6,8,12,10,6,4,3,13,5,15,9,15,12,TORONTO RAPTORS
1610612762,Utah Jazz,11,5,6,0.455,528.0,0.52,0.284,0.158,0.255,0.505,0.243,0.128,0.246,5,5,12,7,5,6,4,16,10,4,3,13,5,UTAH JAZZ
1610612764,Washington Wizards,6,2,4,0.333,288.0,0.513,0.274,0.138,0.279,0.539,0.3,0.144,0.264,11,11,1,11,11,9,9,7,3,14,12,6,9,WASHINGTON WIZARDS
