season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl
2017-18,1610612757,21700012,2017-10-18,POR,PHX,1610612756,1,124,76,W
2017-18,1610612757,21700018,2017-10-20,POR,IND,1610612754,2,114,96,W
2017-18,1610612757,21700034,2017-10-21,POR,MIL,1610612749,3,110,113,L
2017-18,1610612757,21700053,2017-10-24,NOP,POR,1610612740,4,103,93,W
2017-18,1610612757,21700068,2017-10-26,LAC,POR,1610612746,5,103,104,L
2017-18,1610612757,21700083,2017-10-28,PHX,POR,1610612756,6,114,107,W
2017-18,1610612757,21700099,2017-10-30,TOR,POR,1610612761,7,85,99,L
2017-18,1610612757,21700115,2017-11-01,POR,UTA,1610612762,8,103,112,L
2017-18,1610612757,21700118,2017-11-02,LAL,POR,1610612747,9,113,110,W
2017-18,1610612757,21700144,2017-11-05,OKC,POR,1610612760,10,103,99,W
2017-18,1610612757,21700157,2017-11-07,MEM,POR,1610612763,11,97,98,L
2017-18,1610612757,21700176,2017-11-10,BKN,POR,1610612751,12,97,101,L
2017-18,1610612757,21700198,2017-11-13,DEN,POR,1610612743,13,99,82,W
2017-18,1610612757,21700213,2017-11-15,ORL,POR,1610612753,14,99,94,W
2017-18,1610612757,21700225,2017-11-17,POR,SAC,1610612758,15,82,86,L
2017-18,1610612757,21700234,2017-11-18,SAC,POR,1610612758,16,102,90,W
2017-18,1610612757,21700246,2017-11-20,POR,MEM,1610612763,17,100,92,W
2017-18,1610612757,21700255,2017-11-22,POR,PHI,1610612755,18,81,101,L
2017-18,1610612757,21700267,2017-11-24,POR,BKN,1610612751,19,127,125,W
2017-18,1610612757,21700279,2017-11-25,POR,WAS,1610612764,20,108,105,W
2017-18,1610612757,21700293,2017-11-27,POR,NYK,1610612752,21,103,91,W
2017-18,1610612757,21700316,2017-11-30,MIL,POR,1610612749,22,91,103,L
2017-18,1610612757,21700333,2017-12-02,NOP,POR,1610612740,23,116,123,L
2017-18,1610612757,21700352,2017-12-05,WAS,POR,1610612764,24,92,106,L
2017-18,1610612757,21700384,2017-12-09,HOU,POR,1610612745,25,117,124,L
2017-18,1610612757,21700395,2017-12-11,POR,GSW,1610612744,26,104,111,L
2017-18,1610612757,21700408,2017-12-13,POR,MIA,1610612748,27,102,95,W
2017-18,1610612757,21700420,2017-12-15,POR,ORL,1610612753,28,95,88,W
2017-18,1610612757,21700429,2017-12-16,POR,CHA,1610612766,29,93,91,W
2017-18,1610612757,21700446,2017-12-18,POR,MIN,1610612750,30,107,108,L
2017-18,1610612757,21700463,2017-12-20,SAS,POR,1610612759,31,91,93,L
2017-18,1610612757,21700478,2017-12-22,DEN,POR,1610612743,32,85,102,L
2017-18,1610612757,21700491,2017-12-23,POR,LAL,1610612747,33,95,92,W
2017-18,1610612757,21700520,2017-12-28,PHI,POR,1610612755,34,114,110,W
2017-18,1610612757,21700533,2017-12-30,POR,ATL,1610612737,35,89,104,L
2017-18,1610612757,21700547,2018-01-01,POR,CHI,1610612741,36,124,120,W
2017-18,1610612757,21700549,2018-01-02,POR,CLE,1610612739,37,110,127,L
2017-18,1610612757,21700576,2018-01-05,ATL,POR,1610612737,38,110,89,W
2017-18,1610612757,21700589,2018-01-07,SAS,POR,1610612759,39,111,110,W
2017-18,1610612757,21700600,2018-01-09,POR,OKC,1610612760,40,117,106,W
2017-18,1610612757,21700608,2018-01-10,POR,HOU,1610612745,41,112,121,L
2017-18,1610612757,21700624,2018-01-12,POR,NOP,1610612740,42,113,119,L
2017-18,1610612757,21700637,2018-01-14,POR,MIN,1610612750,43,103,120,L
2017-18,1610612757,21700652,2018-01-16,PHX,POR,1610612756,44,118,111,W
2017-18,1610612757,21700666,2018-01-18,IND,POR,1610612754,45,100,86,W
2017-18,1610612757,21700682,2018-01-20,DAL,POR,1610612742,46,117,108,W
2017-18,1610612757,21700694,2018-01-22,POR,DEN,1610612743,47,101,104,L
2017-18,1610612757,21700708,2018-01-24,MIN,POR,1610612750,48,123,114,W
