season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away
2020-21,1610612762,UTA,Utah Jazz,22000955,2021-04-30,UTA @ PHX,L,48.0,106.5,104.2,121.8,126.0,-15.3,-21.9,0.629,1.57,17.5,0.174,0.698,0.427,0.146,0.525,0.569,96.6,96.0,80.0,96,0.402,1,1081,1081,1081,113,1581,1933,2001,845,1402,1206,1957,1566,2009,1274,1244,1106,1677,1920,1,2020,2021,False,PHX,UTA
2020-21,1610612756,PHX,Phoenix Suns,22000955,2021-04-30,PHX vs. UTA,W,48.0,121.8,126.0,106.5,104.2,15.3,21.9,0.563,2.45,19.9,0.302,0.826,0.573,0.115,0.608,0.628,96.6,96.0,80.0,96,0.598,1,1,1,1,113,224,575,160,1394,427,567,584,201,151,616,331,406,1677,241,1,2020,2021,True,PHX,UTA
2020-21,1610612759,SAS,San Antonio Spurs,22000950,2021-04-30,SAS @ BOS,L,53.0,125.3,126.1,122.4,128.8,2.9,-2.7,0.592,2.64,19.3,0.213,0.623,0.444,0.099,0.592,0.644,103.5,100.53,83.77,111,0.505,1,1081,1081,1081,13,223,2031,1179,1167,327,685,1660,2072,1893,334,454,272,849,1048,1,2020,2021,False,BOS,SAS
2020-21,1610612757,POR,Portland Trail Blazers,22000952,2021-04-30,POR @ BKN,W,48.0,125.7,126.7,108.6,109.0,17.1,17.7,0.511,2.4,17.5,0.273,0.782,0.556,0.099,0.604,0.641,101.1,100.5,83.75,101,0.592,1,1,1,1,113,192,868,239,1812,466,1191,932,551,260,321,354,295,853,285,1,2020,2021,False,BKN,POR
2020-21,1610612738,BOS,Boston Celtics,22000950,2021-04-30,BOS vs. SAS,W,53.0,122.4,128.8,125.3,126.1,-2.9,2.7,0.633,2.38,18.8,0.377,0.787,0.556,0.117,0.552,0.592,103.5,100.53,83.77,111,0.495,1,1,1,1,13,130,1938,982,815,476,831,89,490,260,668,871,804,849,1113,1,2020,2021,True,BOS,SAS
2020-21,1610612751,BKN,Brooklyn Nets,22000952,2021-04-30,BKN vs. POR,L,48.0,108.6,109.0,125.7,126.7,-17.1,-17.7,0.5,2.5,15.2,0.218,0.727,0.444,0.08,0.489,0.527,101.1,100.5,83.75,100,0.408,1,1081,1081,1081,113,1286,1966,1922,1823,397,1771,1604,1198,1893,124,1641,1643,853,1875,1,2020,2021,True,BKN,POR
2020-21,1610612747,LAL,Los Angeles Lakers,22000956,2021-04-30,LAL vs. SAC,L,48.0,103.7,106.0,108.2,110.0,-4.5,-4.0,0.571,1.14,17.3,0.341,0.688,0.522,0.21,0.548,0.575,102.0,100.0,83.33,100,0.494,1,1081,1081,1081,113,1467,941,1258,1324,1949,1252,257,1672,694,2088,919,1029,955,1130,1,2020,2021,True,LAL,SAC
2020-21,1610612764,WAS,Washington Wizards,22000951,2021-04-30,WAS @ CLE,W,48.0,114.6,118.4,88.3,89.4,26.3,29.0,0.674,2.21,20.9,0.292,0.679,0.495,0.136,0.543,0.59,105.9,103.5,86.25,103,0.681,1,1,1,1,113,620,55,60,521,618,356,700,1756,1153,1073,972,825,415,28,1,2020,2021,False,CLE,WAS
2020-21,1610612753,ORL,Orlando Magic,22000953,2021-04-30,ORL @ MEM,L,48.0,73.0,75.0,92.0,92.9,-19.0,-17.9,0.593,0.8,12.1,0.283,0.738,0.52,0.2,0.349,0.396,101.4,99.5,82.92,100,0.337,1,1081,1081,1081,113,2160,102,1927,1166,2147,2104,802,1075,729,2034,2158,2158,1031,2109,1,2020,2021,False,MEM,ORL
2020-21,1610612739,CLE,Cleveland Cavaliers,22000951,2021-04-30,CLE vs. WAS,L,48.0,88.3,89.4,114.6,118.4,-26.3,-29.0,0.559,0.76,13.7,0.321,0.708,0.505,0.24,0.457,0.493,105.9,103.5,86.25,104,0.319,1,1081,1081,1081,113,2104,1536,2101,1424,2154,1990,398,1446,1005,2147,1928,1958,415,2133,1,2020,2021,True,CLE,WAS
