TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,82,29,53,0.354,3971.0,41.0,90.9,0.451,12.9,36.7,0.352,17.4,23.2,0.752,11.5,34.1,45.7,25.6,16.9,8.2,5.1,5.4,23.4,22.0,112.3,-6.0,1,26,26,26,7,16,4,21,4,3,16,18,12,21,4,19,12,10,30,11,14,24,30,6,12,26
1610612738,Boston Celtics,82,49,33,0.598,3956.0,41.9,90.1,0.465,12.5,34.3,0.365,15.6,19.4,0.802,9.8,34.6,44.3,26.1,12.8,8.6,5.3,3.8,20.3,19.4,111.8,4.4,1,9,9,9,18,9,8,14,6,7,7,28,29,4,20,16,22,5,3,4,9,2,12,26,13,6
1610612751,Brooklyn Nets,82,42,40,0.512,3996.0,39.7,88.4,0.449,12.6,35.6,0.353,18.7,25.1,0.745,10.8,35.1,45.9,23.5,14.8,6.5,4.1,5.2,21.2,21.7,110.6,-0.1,1,14,14,14,1,22,15,25,5,5,14,8,5,24,10,13,11,21,26,28,28,22,21,8,18,15
1610612766,Charlotte Hornets,82,39,43,0.476,3966.0,39.9,89.1,0.448,11.8,33.7,0.351,18.3,22.9,0.797,9.9,33.6,43.5,23.1,12.1,7.2,4.9,6.0,18.8,20.4,109.9,-1.1,1,17,17,17,11,20,12,26,11,10,18,9,16,6,19,23,23,24,2,21,19,29,3,18,20,18
1610612741,Chicago Bulls,82,22,60,0.268,3981.0,39.4,86.9,0.453,9.0,25.6,0.351,16.0,20.4,0.783,8.7,33.7,42.4,21.7,14.0,7.3,4.2,5.7,20.1,18.5,103.8,-8.3,1,27,27,27,3,24,25,20,30,28,19,25,27,11,30,21,26,27,19,20,27,28,9,30,29,27
1610612739,Cleveland Cavaliers,82,19,63,0.232,3951.0,38.7,87.3,0.444,10.3,29.0,0.355,16.3,20.6,0.792,10.7,31.8,42.5,20.6,13.4,6.5,2.4,5.6,19.9,19.3,104.1,-9.6,1,28,28,28,24,26,22,28,20,23,13,22,26,7,12,28,25,29,9,27,30,27,6,28,27,30
1610612742,Dallas Mavericks,82,33,49,0.402,3956.0,38.6,86.4,0.447,12.4,36.4,0.34,18.7,25.2,0.742,10.1,35.0,45.1,23.3,14.2,6.5,4.3,4.5,20.0,23.1,108.3,-1.3,1,22,22,22,18,27,28,27,7,4,27,7,4,25,16,15,16,22,20,29,26,7,8,2,21,20
1610612743,Denver Nuggets,82,54,28,0.659,3946.0,41.8,89.8,0.466,11.0,31.3,0.351,15.7,20.8,0.755,11.8,34.4,46.3,27.3,13.4,7.7,4.4,5.0,20.0,20.4,110.4,3.9,1,4,4,4,27,10,9,13,17,16,17,27,24,20,2,17,7,2,8,13,24,14,7,19,19,8
1610612765,Detroit Pistons,82,41,41,0.5,3971.0,38.5,87.5,0.44,12.0,34.5,0.348,17.1,22.9,0.747,11.3,33.3,44.6,22.3,13.7,6.9,4.0,5.1,21.9,21.1,106.1,-0.2,1,16,16,16,7,28,21,29,10,6,23,19,17,23,5,25,18,26,11,22,29,17,26,11,25,17
1610612744,Golden State Warriors,82,57,25,0.695,3961.0,43.8,89.2,0.491,13.2,34.2,0.385,16.2,20.3,0.801,9.7,36.2,45.9,29.2,14.2,7.6,6.4,3.6,21.3,19.4,116.9,6.4,1,3,3,3,15,1,11,1,3,8,3,23,28,5,21,3,10,1,21,15,1,1,22,27,2,2
