season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2020-21,1629308,Juan Toscano-Anderson,Juan,1610612744,GSW,Golden State Warriors,22001070,2021-05-16T00:00:00,GSW vs. MEM,W,26.83,4,7,0.571,1,3,0.333,0,0,0.0,0,4,4,1,1,2,0,1,1,2,9,10,20.3,0,0,19.0,1,1,1,1,9003,8251,11165,5826,7373,9118,7875,12008,12752,12008,11150,6156,8731,11678,7632,1208,7210,15321,4919,6289,10740,3883,10902,1849,143,10964,1,26:50,2020,2021
2020-21,1626172,Kevon Looney,Kevon,1610612744,GSW,Golden State Warriors,22001070,2021-05-16T00:00:00,GSW vs. MEM,W,31.171666666666667,3,5,0.6,0,0,0.0,0,0,0.0,5,6,11,3,1,0,0,1,3,0,6,5,22.7,0,0,20.0,1,1,1,1,5691,10694,14368,4810,12591,17891,12591,12008,12752,12008,296,2732,897,5509,7632,10665,7210,15321,16132,16020,13920,6667,9463,1849,143,10341,1,31:10,2020,2021
2020-21,1628539,Mychal Mulder,Mychal,1610612744,GSW,Golden State Warriors,22001070,2021-05-16T00:00:00,GSW vs. MEM,W,14.85,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,0,2,0,0,7,3.9,0,0,3.0,1,1,1,1,17558,19893,19102,19893,12591,11825,12591,12008,12752,12008,11150,12139,14385,11678,14317,10665,7210,1,10833,16020,20448,5432,20529,1849,143,20717,1,14:51,2020,2021
2020-21,203145,Kent Bazemore,Kent,1610612744,GSW,Golden State Warriors,22001070,2021-05-16T00:00:00,GSW vs. MEM,W,27.336666666666662,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,2,2,2,0,0,4,1,2,-2,10.2,0,0,9.0,1,1,1,1,8624,19893,20551,19893,12591,14655,12591,5395,6645,1,11150,15987,17542,7995,3645,1208,7210,1,19926,10308,18664,12607,17113,1849,143,17389,1,27:20,2020,2021
2020-21,1629673,Jordan Poole,Jordan,1610612744,GSW,Golden State Warriors,22001070,2021-05-16T00:00:00,GSW vs. MEM,W,24.886666666666667,5,9,0.556,3,7,0.429,2,2,1.0,2,1,3,1,3,2,0,0,1,3,15,11,23.1,0,0,26.0,1,1,1,1,10530,6152,8309,6415,1926,2331,6364,5395,6645,1,2547,15987,11352,11678,1707,1208,7210,1,4919,3793,5723,3454,9206,1849,143,6966,1,24:53,2020,2021
2020-21,203110,Draymond Green,Draymond,1610612744,GSW,Golden State Warriors,22001070,2021-05-16T00:00:00,GSW vs. MEM,W,37.86666666666667,4,7,0.571,0,2,0.0,6,6,1.0,1,7,8,9,3,1,2,0,3,6,14,7,43.1,0,0,37.0,1,1,1,1,1157,8251,11165,5826,12591,11825,12591,990,1600,1,5246,1742,2498,544,1707,4032,697,1,16132,795,6406,5432,1936,1849,143,2922,1,37:52,2020,2021
2020-21,203952,Andrew Wiggins,Andrew,1610612744,GSW,Golden State Warriors,22001070,2021-05-16T00:00:00,GSW vs. MEM,W,37.10833333333333,9,16,0.563,2,2,1.0,1,2,0.5,3,7,10,0,2,1,1,1,3,3,21,8,37.0,1,0,37.0,1,1,1,1,1533,1450,2412,6323,3957,11825,1,9085,6645,9461,1214,1742,1298,16819,3645,4032,2271,15321,16132,3793,2727,4875,3399,1,143,2922,1,37:07,2020,2021
2020-21,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,22001070,2021-05-16T00:00:00,GSW vs. MEM,W,39.95,16,36,0.444,9,22,0.409,5,6,0.833,1,6,7,9,7,1,1,2,2,6,46,14,66.9,0,0,75.0,1,1,1,1,480,39,4,11399,14,1,6750,1513,1600,6476,5246,2732,3435,544,44,4032,2271,20949,10833,795,25,2360,102,1849,143,13,1,39:57,2020,2021
2020-21,1629308,Juan Toscano-Anderson,Juan,1610612744,GSW,Golden State Warriors,22001059,2021-05-14T00:00:00,GSW vs. NOP,W,33.43333333333333,3,7,0.429,1,4,0.25,2,2,1.0,1,8,9,9,2,0,0,1,3,2,9,4,31.3,0,0,28.0,1,1,1,1,4042,10694,11165,11933,7373,6909,10244,5395,6645,1,5246,1175,1852,544,3645,10665,7210,15321,16132,6289,10740,7366,5313,1849,143,6101,1,33:26,2020,2021
2020-21,1629346,Alen Smailagic,Alen,1610612744,GSW,Golden State Warriors,22001059,2021-05-14T00:00:00,GSW vs. NOP,W,19.85,2,6,0.333,1,3,0.333,0,0,0.0,1,1,2,1,1,1,0,0,3,0,5,-7,10.9,0,0,11.0,1,1,1,1,14284,13638,12753,15094,7373,9118,7875,12008,12752,12008,5246,15987,14385,11678,7632,4032,7210,1,16132,16020,15263,16841,16754,1849,143,16119,1,19:51,2020,2021
2020-21,1630185,Nico Mannion,Nico,1610612744,GSW,Golden State Warriors,22001059,2021-05-14T00:00:00,GSW vs. NOP,W,32.24,3,12,0.25,2,6,0.333,3,3,1.0,3,5,8,7,1,0,0,1,1,4,11,-9,30.1,0,0,28.0,1,1,1,1,4902,10694,5097,17720,3957,3460,7875,3646,5327,1,1214,4091,2498,1198,7632,10665,7210,15321,4919,2281,8773,18135,5787,1849,143,6101,1,32:14,2020,2021
2020-21,1629673,Jordan Poole,Jordan,1610612744,GSW,Golden State Warriors,22001059,2021-05-14T00:00:00,GSW vs. NOP,W,33.166666666666664,12,22,0.545,4,9,0.444,10,11,0.909,0,4,4,6,2,0,1,0,2,8,38,3,52.8,0,0,54.0,1,1,1,1,4214,346,524,6794,910,930,6201,161,249,6036,11150,6156,8731,1788,3645,10665,2271,1,10833,217,138,8138,675,1849,143,434,1,33:10,2020,2021
2020-21,203145,Kent Bazemore,Kent,1610612744,GSW,Golden State Warriors,22001059,2021-05-14T00:00:00,GSW vs. NOP,W,32.44,6,12,0.5,1,3,0.333,1,2,0.5,0,4,4,1,2,2,0,0,3,1,14,4,24.3,0,0,24.0,1,1,1,1,4737,4526,5097,7582,7373,9118,7875,9085,6645,9461,11150,6156,8731,11678,3645,1208,7210,1,16132,10308,6406,7366,8575,1849,143,8016,1,32:26,2020,2021
2020-21,1628395,Jordan Bell,Jordan,1610612744,GSW,Golden State Warriors,22001059,2021-05-14T00:00:00,GSW vs. NOP,W,14.686666666666667,0,2,0.0,0,0,0.0,1,2,0.5,1,4,5,2,1,0,2,0,2,1,1,-3,15.0,0,0,12.0,1,1,1,1,17653,19893,19102,19893,12591,17891,12591,9085,6645,9461,5246,6156,6466,7995,7632,10665,697,1,10833,10308,20270,13536,14235,1849,143,15506,1,14:41,2020,2021
2020-21,1628539,Mychal Mulder,Mychal,1610612744,GSW,Golden State Warriors,22001059,2021-05-14T00:00:00,GSW vs. NOP,W,34.03333333333333,10,17,0.588,7,13,0.538,1,1,1.0,0,2,2,1,0,1,1,0,2,0,28,9,37.9,0,0,42.0,1,1,1,1,3590,935,1960,5559,63,91,3548,9085,11390,1,11150,12139,14385,11678,14317,4032,2271,1,10833,16020,931,4365,3151,1849,143,1788,1,34:02,2020,2021
2020-21,1626172,Kevon Looney,Kevon,1610612744,GSW,Golden State Warriors,22001059,2021-05-14T00:00:00,GSW vs. NOP,W,21.566666666666663,2,4,0.5,0,0,0.0,3,4,0.75,1,7,8,2,0,0,0,1,2,2,7,11,19.6,0,0,17.0,1,1,1,1,12995,13638,15987,7582,12591,17891,12591,3646,3346,7245,5246,1742,2498,7995,14317,10665,7210,15321,10833,6289,12975,3454,11327,1849,143,12215,1,21:34,2020,2021
2020-21,1629672,Eric Paschall,Eric,1610612744,GSW,Golden State Warriors,22001059,2021-05-14T00:00:00,GSW vs. NOP,W,18.58333333333333,4,5,0.8,1,1,1.0,3,5,0.6,1,3,4,0,2,0,0,0,3,5,12,3,14.8,0,0,17.0,1,1,1,1,15228,8251,14368,1469,7373,14655,1,3646,2536,9174,5246,8835,8731,16819,3645,10665,7210,1,16132,1350,7920,8138,14356,1849,143,12215,1,18:35,2020,2021
2020-21,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,22001039,2021-05-11T00:00:00,GSW vs. PHX,W,36.516666666666666,7,22,0.318,1,11,0.091,6,6,1.0,0,3,3,6,3,1,0,2,2,7,21,6,33.6,0,0,33.0,1,1,1,1,1886,3206,524,16715,7373,324,12585,990,1600,1,11150,8835,11352,1788,1707,4032,7210,20949,10833,439,2727,6032,4495,1849,143,4133,1,36:31,2020,2021
2020-21,203952,Andrew Wiggins,Andrew,1610612744,GSW,Golden State Warriors,22001039,2021-05-11T00:00:00,GSW vs. PHX,W,39.98333333333333,17,24,0.708,2,6,0.333,2,3,0.667,5,2,7,3,1,1,0,0,3,3,38,14,52.9,0,0,52.0,1,1,1,1,468,17,273,2679,3957,3460,7875,5395,5327,8322,296,12139,3435,5509,7632,4032,7210,1,16132,3793,138,2360,663,1849,143,566,1,39:59,2020,2021
2020-21,1629673,Jordan Poole,Jordan,1610612744,GSW,Golden State Warriors,22001039,2021-05-11T00:00:00,GSW vs. PHX,W,20.385,6,10,0.6,3,7,0.429,5,5,1.0,1,3,4,0,0,0,0,0,1,3,20,10,24.8,0,0,27.0,1,1,1,1,13912,4526,7133,4810,1926,2331,6364,1513,2536,1,5246,8835,8731,16819,14317,10665,7210,1,4919,3793,3090,3883,8314,1849,143,6522,1,20:23,2020,2021
2020-21,203110,Draymond Green,Draymond,1610612744,GSW,Golden State Warriors,22001039,2021-05-11T00:00:00,GSW vs. PHX,W,37.266666666666666,4,7,0.571,1,2,0.5,2,2,1.0,2,8,10,11,2,4,0,0,3,2,11,6,49.5,1,1,41.0,1,1,1,1,1450,8251,11165,5826,7373,11825,3573,5395,6645,1,2547,1175,1298,214,3645,82,7210,1,16132,6289,8773,6032,999,1,1,1987,1,37:16,2020,2021
2020-21,1628539,Mychal Mulder,Mychal,1610612744,GSW,Golden State Warriors,22001039,2021-05-11T00:00:00,GSW vs. PHX,W,20.78333333333333,2,10,0.2,1,7,0.143,0,0,0.0,1,0,1,1,0,0,0,1,1,0,5,-9,7.7,0,0,8.0,1,1,1,1,13598,13638,7133,18781,7373,2331,12315,12008,12752,12008,5246,19725,17542,11678,14317,10665,7210,15321,4919,16020,15263,18135,18539,1849,143,17996,1,20:47,2020,2021
2020-21,1629308,Juan Toscano-Anderson,Juan,1610612744,GSW,Golden State Warriors,22001039,2021-05-11T00:00:00,GSW vs. PHX,W,30.58333333333333,3,6,0.5,1,2,0.5,0,0,0.0,0,5,5,6,1,0,1,1,2,1,7,9,24.0,0,0,21.0,1,1,1,1,6132,10694,12753,7582,7373,11825,3573,12008,12752,12008,11150,4091,6466,1788,7632,10665,2271,15321,10833,10308,12975,4365,8736,1849,143,9724,1,30:35,2020,2021
