team_id,team_name,team,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1610612751,Brooklyn Nets,BKN,80,80,0.313,868,2119,0.41,0.459,0.224,657,1515,0.434,0.089,211,604,0.349
1610612757,Portland Trail Blazers,POR,82,82,0.3,787,1979,0.398,0.445,0.209,598,1383,0.432,0.09,189,596,0.317
1610612755,Philadelphia 76ers,PHI,81,81,0.292,745,1948,0.382,0.433,0.195,549,1303,0.421,0.097,196,645,0.304
1610612762,Utah Jazz,UTA,82,82,0.302,728,1921,0.379,0.435,0.204,512,1295,0.395,0.099,216,626,0.345
1610612766,Charlotte Hornets,CHA,82,82,0.281,767,1917,0.4,0.451,0.196,573,1334,0.43,0.085,194,583,0.333
1610612740,New Orleans Pelicans,NOP,82,82,0.272,729,1909,0.382,0.433,0.182,532,1277,0.417,0.09,197,632,0.312
1610612759,San Antonio Spurs,SAS,82,82,0.294,728,1897,0.384,0.431,0.205,547,1321,0.414,0.089,181,576,0.314
1610612746,LA Clippers,LAC,81,81,0.28,731,1880,0.389,0.448,0.181,508,1217,0.417,0.099,223,663,0.336
1610612742,Dallas Mavericks,DAL,82,82,0.286,766,1878,0.408,0.463,0.19,558,1247,0.447,0.096,208,631,0.33
1610612744,Golden State Warriors,GSW,82,82,0.279,690,1877,0.368,0.429,0.177,458,1190,0.385,0.102,232,687,0.338
1610612747,Los Angeles Lakers,LAL,81,81,0.272,681,1875,0.363,0.419,0.172,471,1186,0.397,0.1,210,689,0.305
1610612756,Phoenix Suns,PHX,82,82,0.269,727,1856,0.392,0.448,0.179,519,1233,0.421,0.09,208,623,0.334
1610612738,Boston Celtics,BOS,79,79,0.281,614,1793,0.342,0.393,0.189,434,1202,0.361,0.093,180,591,0.305
1610612761,Toronto Raptors,TOR,82,82,0.275,706,1788,0.395,0.449,0.19,514,1236,0.416,0.085,192,552,0.348
1610612739,Cleveland Cavaliers,CLE,82,82,0.257,689,1779,0.387,0.454,0.158,453,1093,0.414,0.099,236,686,0.344
1610612764,Washington Wizards,WAS,82,82,0.265,637,1726,0.369,0.43,0.164,426,1066,0.4,0.101,211,660,0.32
1610612763,Memphis Grizzlies,MEM,82,82,0.275,634,1700,0.373,0.435,0.175,424,1081,0.392,0.1,210,619,0.339
1610612750,Minnesota Timberwolves,MIN,82,82,0.257,641,1696,0.378,0.435,0.169,447,1114,0.401,0.088,194,582,0.333
1610612737,Atlanta Hawks,ATL,81,81,0.254,694,1695,0.409,0.46,0.177,522,1181,0.442,0.077,172,514,0.335
1610612745,Houston Rockets,HOU,82,82,0.256,607,1694,0.358,0.422,0.158,390,1047,0.372,0.098,217,647,0.335
1610612743,Denver Nuggets,DEN,81,81,0.255,675,1686,0.4,0.46,0.166,474,1097,0.432,0.089,201,589,0.341
1610612748,Miami Heat,MIA,81,81,0.264,652,1684,0.387,0.444,0.177,462,1125,0.411,0.088,190,559,0.34
1610612752,New York Knicks,NYK,81,81,0.255,627,1671,0.375,0.43,0.166,443,1088,0.407,0.089,184,583,0.316
1610612754,Indiana Pacers,IND,82,82,0.253,616,1671,0.369,0.419,0.166,448,1097,0.408,0.087,168,574,0.293
1610612753,Orlando Magic,ORL,82,82,0.247,641,1661,0.386,0.439,0.17,464,1141,0.407,0.077,177,520,0.34
1610612741,Chicago Bulls,CHI,81,81,0.24,616,1618,0.381,0.44,0.152,424,1023,0.414,0.088,192,595,0.323
1610612760,Oklahoma City Thunder,OKC,80,80,0.251,612,1591,0.385,0.448,0.161,411,1019,0.403,0.09,201,572,0.351
1610612758,Sacramento Kings,SAC,82,82,0.246,594,1571,0.378,0.45,0.143,369,913,0.404,0.103,225,658,0.342
1610612749,Milwaukee Bucks,MIL,81,81,0.246,582,1553,0.375,0.431,0.163,408,1028,0.397,0.083,174,525,0.331
1610612765,Detroit Pistons,DET,82,82,0.229,564,1522,0.371,0.42,0.156,414,1040,0.398,0.072,150,482,0.311
