season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2024-25,1610612752,42400121,2025-04-19,DET,NYK,1610612765,123,112,W,11,rnd1,1
2024-25,1610612752,42400122,2025-04-21,DET,NYK,1610612765,94,100,L,-6,rnd1,2
2024-25,1610612752,42400123,2025-04-24,NYK,DET,1610612765,118,116,W,2,rnd1,3
2024-25,1610612752,42400124,2025-04-27,NYK,DET,1610612765,94,93,W,1,rnd1,4
2024-25,1610612752,42400125,2025-04-29,DET,NYK,1610612765,103,106,L,-3,rnd1,5
2024-25,1610612752,42400126,2025-05-01,NYK,DET,1610612765,116,113,W,3,rnd1,6
2024-25,1610612752,42400211,2025-05-05,NYK,BOS,1610612738,108,105,W,3,sf,1
2024-25,1610612752,42400212,2025-05-07,NYK,BOS,1610612738,91,90,W,1,sf,2
2024-25,1610612752,42400213,2025-05-10,BOS,NYK,1610612738,93,115,L,-22,sf,3
2024-25,1610612752,42400214,2025-05-12,BOS,NYK,1610612738,121,113,W,8,sf,4
2024-25,1610612752,42400215,2025-05-14,NYK,BOS,1610612738,102,127,L,-25,sf,5
2024-25,1610612752,42400216,2025-05-16,BOS,NYK,1610612738,119,81,W,38,sf,6
2024-25,1610612752,42400301,2025-05-21,IND,NYK,1610612754,135,138,L,-3,conf,1
2024-25,1610612752,42400302,2025-05-23,IND,NYK,1610612754,109,114,L,-5,conf,2
2024-25,1610612752,42400303,2025-05-25,NYK,IND,1610612754,106,100,W,6,conf,3
2024-25,1610612752,42400304,2025-05-27,NYK,IND,1610612754,121,130,L,-9,conf,4
2024-25,1610612752,42400305,2025-05-29,IND,NYK,1610612754,111,94,W,17,conf,5
2024-25,1610612752,42400306,2025-05-31,NYK,IND,1610612754,108,125,L,-17,conf,6
