GAME_ID,GAME_DATE,AWAY_TEAM,HOME_TEAM,GAME_WEEK
22200016,2022-10-20,LAC,LAL,1
22200036,2022-10-22,LAC,SAC,2
22200043,2022-10-23,PHX,LAC,3
22200054,2022-10-25,LAC,OKC,4
22200067,2022-10-27,LAC,OKC,5
22200088,2022-10-30,NOP,LAC,6
22200102,2022-10-31,HOU,LAC,7
22200112,2022-11-02,LAC,HOU,8
22200126,2022-11-04,LAC,SAS,9
22200143,2022-11-06,UTA,LAC,10
22200158,2022-11-07,CLE,LAC,11
22200170,2022-11-09,LAL,LAC,12
22200184,2022-11-12,BKN,LAC,13
22200203,2022-11-14,LAC,HOU,14
22200207,2022-11-15,LAC,DAL,15
22200223,2022-11-17,DET,LAC,16
22200239,2022-11-19,SAS,LAC,17
22200255,2022-11-21,UTA,LAC,18
22200271,2022-11-23,LAC,GSW,19
22200285,2022-11-25,DEN,LAC,20
22200292,2022-11-27,IND,LAC,21
22200311,2022-11-29,LAC,POR,22
22200322,2022-11-30,LAC,UTA,23
22200338,2022-12-03,SAC,LAC,24
22200352,2022-12-05,LAC,CHA,25
22200363,2022-12-07,LAC,ORL,26
22200374,2022-12-08,LAC,MIA,27
22200389,2022-12-10,LAC,WAS,28
22200408,2022-12-12,BOS,LAC,29
22200423,2022-12-14,MIN,LAC,30
22200427,2022-12-15,PHX,LAC,31
22200438,2022-12-17,WAS,LAC,32
22200476,2022-12-21,CHA,LAC,33
22200480,2022-12-23,LAC,PHI,34
22200499,2022-12-26,LAC,DET,35
22200509,2022-12-27,LAC,TOR,36
22200525,2022-12-29,LAC,BOS,37
22200538,2022-12-31,LAC,IND,38
22200560,2023-01-02,MIA,LAC,39
22200579,2023-01-05,LAC,DEN,40
22200587,2023-01-06,LAC,MIN,41
22200604,2023-01-08,ATL,LAC,42
22200617,2023-01-10,DAL,LAC,43
22200639,2023-01-13,DEN,LAC,44
22200649,2023-01-15,HOU,LAC,45
22200668,2023-01-17,PHI,LAC,46
22200675,2023-01-18,LAC,UTA,47
22200687,2023-01-20,LAC,SAS,48
22200701,2023-01-22,LAC,DAL,49
22200719,2023-01-24,LAC,LAL,50
22200735,2023-01-26,SAS,LAC,51
22200745,2023-01-28,LAC,ATL,52
22200754,2023-01-29,LAC,CLE,53
22200766,2023-01-31,LAC,CHI,54
22200784,2023-02-02,LAC,MIL,55
22200795,2023-02-04,LAC,NYK,56
22200810,2023-02-06,LAC,BKN,57
22200829,2023-02-08,DAL,LAC,58
22200845,2023-02-10,MIL,LAC,59
22200871,2023-02-14,GSW,LAC,60
22200885,2023-02-16,LAC,PHX,61
22200902,2023-02-24,SAC,LAC,62
22200918,2023-02-26,LAC,DEN,63
22200932,2023-02-28,MIN,LAC,64
22200945,2023-03-02,LAC,GSW,65
22200954,2023-03-03,LAC,SAC,66
22200970,2023-03-05,MEM,LAC,67
22200991,2023-03-08,TOR,LAC,68
22201004,2023-03-11,NYK,LAC,69
22201041,2023-03-15,GSW,LAC,70
22201056,2023-03-18,ORL,LAC,71
22201069,2023-03-19,LAC,POR,72
22201082,2023-03-21,OKC,LAC,73
22201096,2023-03-23,OKC,LAC,74
22201112,2023-03-25,NOP,LAC,75
22201129,2023-03-27,CHI,LAC,76
22201141,2023-03-29,LAC,MEM,77
22201156,2023-03-31,LAC,MEM,78
22201162,2023-04-01,LAC,NOP,79
22201196,2023-04-05,LAL,LAC,80
22201215,2023-04-08,POR,LAC,81
22201229,2023-04-09,LAC,PHX,82
