season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,available_flag,min_sec,season_start,season_end
2023-24,1628973,Jalen Brunson,Jalen,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,29.2,122.1,131.5,131.5,146.1,145.5,145.5,-24.0,-14.0,-14.0,0.45,9.0,31.0,0.0,0.0,0.0,3.4,3.4,0.382,0.443,0.313,0.315,92.96,89.73,74.78,89.73,0.079,54,6,17,6.0,17.0,0.353,1,835,835,835,686,397,198,198,1585,1603,1603,1318,1143,1143,62,5,267,842,1378,1455,769,770,1095,1077,143,162,1101,1431,1431,892,354,195,354,195,1035,1,29:09,2023,2024
2023-24,1629603,Mamadi Diakite,Mamadi,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.45,80.9,67.42,80.9,0.0,1,0,0,0.0,0.0,0.0,1,835,835,835,1669,1638,1638,1638,1,1,1,809,803,803,1167,772,1167,842,1378,1455,1,1,1355,1400,1576,1576,1684,1640,1640,1358,1355,1548,1355,1548,1355,1,0:36,2023,2024
2023-24,1629003,Shake Milton,Shake,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.32,72.48,60.4,72.48,0.0,1,0,0,0.0,0.0,0.0,1,835,835,835,1655,1638,1638,1638,1,1,1,809,803,803,1167,772,1167,842,1378,1455,1,1,1355,1400,1576,1576,1676,1671,1671,1358,1355,1548,1355,1548,1355,1,0:60,2023,2024
2023-24,1628392,Isaiah Hartenstein,Isaiah,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,29.7,110.2,114.3,114.3,157.3,157.1,157.1,-47.1,-42.9,-42.9,0.087,1.0,33.3,0.107,0.278,0.174,33.3,33.3,0.0,0.0,0.062,0.063,92.29,90.64,75.53,90.64,0.013,56,0,2,0.0,2.0,0.0,1,835,835,835,665,799,661,661,1623,1643,1643,1530,1510,1510,903,471,173,199,135,159,1603,1603,1355,1400,1516,1521,1179,1356,1356,1314,1355,1280,1355,1280,1355,1,29:39,2023,2024
2023-24,1630540,Miles McBride,Miles,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,40.0,107.6,115.6,115.6,138.2,140.3,140.3,-30.5,-24.7,-24.7,0.08,2.0,11.8,0.024,0.154,0.074,5.9,5.9,0.286,0.286,0.165,0.167,96.39,92.29,76.91,92.29,0.011,77,4,14,4.0,14.0,0.286,1,835,835,835,197,874,614,614,1506,1561,1561,1402,1327,1327,939,267,926,795,569,869,867,872,1246,1304,874,889,634,1188,1188,1321,582,318,582,318,1171,1,40:03,2023,2024
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,27.7,115.3,119.3,119.3,124.2,129.1,129.1,-9.0,-9.8,-9.8,0.056,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.109,0.111,100.73,97.12,80.93,97.12,-0.026,57,2,7,2.0,7.0,0.286,1,835,835,835,731,625,483,483,1284,1407,1407,1024,1055,1055,1048,772,885,842,1378,1455,1,1,1246,1304,1289,1297,216,574,574,1528,890,740,890,740,1171,1,27:41,2023,2024
2023-24,1630579,Jericho Sims,Jericho,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.32,72.48,60.4,72.48,0.0,1,0,0,0.0,0.0,0.0,1,835,835,835,1655,1638,1638,1638,1,1,1,809,803,803,1167,772,1167,842,1378,1455,1,1,1355,1400,1576,1576,1676,1671,1671,1358,1355,1548,1355,1548,1355,1,0:60,2023,2024
2023-24,1628384,OG Anunoby,OG,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,4.7,125.0,111.1,111.1,200.0,200.0,200.0,-75.0,-88.9,-88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.182,0.2,81.99,87.12,72.6,87.12,0.172,9,2,2,2.0,2.0,1.0,1,835,835,835,1485,338,763,763,1665,1675,1675,1627,1648,1648,1167,772,1167,842,1378,1455,1,1,23,22,722,648,1591,1569,1569,247,890,1280,890,1280,1,1,4:41,2023,2024
2023-24,1628978,Donte DiVincenzo,Donte,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,41.3,111.0,116.0,116.0,141.4,142.5,142.5,-30.4,-26.5,-26.5,0.05,0.25,3.2,0.023,0.12,0.058,12.9,13.2,0.738,0.768,0.316,0.317,96.15,93.66,78.05,93.66,0.15,81,11,21,11.0,21.0,0.524,1,835,835,835,141,767,597,597,1552,1584,1584,1400,1348,1348,1071,758,1165,811,807,1072,1269,1277,296,261,135,154,660,995,995,370,78,103,78,103,508,1,41:15,2023,2024
2023-24,202692,Alec Burks,Alec,1610612752,NYK,New York Knicks,42300217,2024-05-19T00:00:00,NYK vs. IND,L,27.4,106.6,110.5,110.5,127.2,130.9,130.9,-20.6,-20.4,-20.4,0.2,0.0,11.1,0.032,0.118,0.063,0.0,0.0,0.692,0.787,0.246,0.262,101.35,98.09,81.74,98.09,0.232,57,8,13,8.0,13.0,0.615,1,835,835,835,742,913,783,783,1356,1447,1447,1270,1263,1263,420,772,940,682,820,1003,1,1,355,235,368,330,185,474,474,89,199,358,199,358,288,1,27:24,2023,2024
