season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,available_flag,min_sec,season_start,season_end
2021-22,1629661,Cameron Johnson,Cameron,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,20.0,0.333,0.667,0.167,0.0,0.5,0.0,0.333,0.0,0.167,0.0,1.0,1.0,0.0,0.667,0.333,3,6,0.5,1,931,931,931,1068,1270,352,1246,483,448,608,195,775,1136,1037,1,1,271,739,612,769,891,565,1,20:00,2021,2022
2021-22,201580,JaVale McGee,JaVale,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,16.2,0.857,0.143,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.667,0.333,0.0,0.0,0.667,0.333,3,7,0.429,1,931,931,931,1191,358,1320,1,483,960,608,918,775,1,486,708,870,271,739,612,769,781,905,1,16:09,2021,2022
2021-22,1626166,Cameron Payne,Cameron,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,12.6,0.571,0.429,0.4,0.0,0.6,0.0,0.0,0.0,0.4,1.0,0.0,0.0,1.0,0.5,0.5,2,7,0.286,1,931,931,931,1331,847,827,891,483,293,608,918,775,726,1,900,870,1,955,388,971,781,1273,1,12:38,2021,2022
2021-22,1628969,Mikal Bridges,Mikal,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,33.3,0.727,0.273,1.0,0.333,0.0,0.333,0.0,0.333,0.667,1.0,0.0,0.0,0.0,1.0,0.0,3,11,0.273,1,931,931,931,491,539,1145,1,83,960,123,918,211,323,1,900,870,271,1,949,769,492,1302,1,33:18,2021,2022
2021-22,1626164,Devin Booker,Devin,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,37.0,0.714,0.286,0.545,0.0,0.0,0.182,0.455,0.0,0.545,0.667,0.333,0.0,0.0,0.667,0.333,3,14,0.214,1,931,931,931,327,560,1118,677,483,960,340,122,775,531,486,708,870,271,739,612,769,324,1395,1,36:59,2021,2022
2021-22,1629028,Deandre Ayton,Deandre,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,17.5,1.0,0.0,0.8,0.0,0.0,0.0,0.2,0.4,0.8,0.5,0.5,0.0,0.0,0.5,0.5,2,5,0.4,1,931,931,931,1148,1,1385,311,483,960,608,488,159,243,633,516,870,271,955,388,971,1031,973,1,17:27,2021,2022
2021-22,1628988,Aaron Holiday,Aaron,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,5.3,0.4,0.6,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2,5,0.4,1,931,931,931,1569,1195,465,1294,483,1,608,918,85,1223,1037,900,776,126,955,388,971,1031,973,1,5:17,2021,2022
2021-22,101108,Chris Paul,Chris,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,31.3,0.625,0.375,0.6,0.0,0.3,0.0,0.1,0.0,0.6,0.333,0.667,0.0,1.0,0.25,0.75,4,8,0.5,1,931,931,931,594,743,932,582,483,727,608,790,775,446,845,377,870,1,1262,191,602,686,565,1,31:19,2021,2022
2021-22,1628470,Torrey Craig,Torrey,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,4.2,0.667,0.333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,3,0.333,1,931,931,931,1642,614,987,1,483,960,608,918,775,1,1037,1,870,271,1346,1,1186,1255,1120,1,4:09,2021,2022
2021-22,1630688,Ish Wainright,Ish,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,5.0,0.6,0.4,0.4,0.0,0.6,0.5,0.0,0.4,0.4,0.5,0.5,1.0,0.0,0.75,0.25,4,5,0.8,1,931,931,931,1588,783,869,891,483,293,50,918,159,726,633,516,1,271,636,779,602,1031,155,1,4:59,2021,2022
2021-22,202687,Bismack Biyombo,Bismack,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,931,931,931,1371,1506,1385,1294,483,960,608,1,775,1223,1037,900,870,271,1346,949,1479,1696,1479,1,11:39,2021,2022
2021-22,203109,Jae Crowder,Jae,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,27.2,0.333,0.667,0.4,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,9,0.222,1,931,931,931,781,1270,352,891,54,293,608,918,775,1223,1,900,1,271,1,949,971,618,1386,1,27:10,2021,2022
2021-22,1629013,Landry Shamet,Landry,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,13.7,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,5,0.6,1,931,931,931,1290,1441,243,1294,483,1,608,918,775,1223,1037,900,1,271,1,949,769,1031,380,1,13:39,2021,2022
2021-22,203901,Elfrid Payton,Elfrid,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,5.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,1,931,931,931,1569,1,1385,1,483,960,608,918,1,1,1,900,870,271,1,949,1186,1375,565,1,5:17,2021,2022
2021-22,1629013,Landry Shamet,Landry,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,17.4,0.833,0.167,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,6,0.167,1,931,931,931,1150,384,1292,1,483,960,608,918,775,1,1037,1,870,271,1346,1,1186,891,1435,1,17:22,2021,2022
2021-22,1628470,Torrey Craig,Torrey,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,15.3,0.667,0.333,1.0,0.0,0.0,0.333,0.0,0.0,1.0,0.667,0.333,0.0,0.0,0.667,0.333,3,6,0.5,1,931,931,931,1222,614,987,1,483,960,123,918,775,1,486,708,870,271,739,612,769,891,565,1,15:20,2021,2022
2021-22,1626166,Cameron Payne,Cameron,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,1,931,931,931,1647,1,1385,1294,483,960,608,918,775,1223,1037,900,870,271,1346,949,1479,1255,1479,1,4:01,2021,2022
2021-22,1629028,Deandre Ayton,Deandre,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,30.4,1.0,0.0,0.952,0.0,0.0,0.0,0.048,0.095,0.952,0.7,0.3,0.0,0.0,0.7,0.3,10,16,0.625,1,931,931,931,631,1,1385,245,483,960,608,893,695,199,484,809,870,271,730,742,94,239,353,1,30:21,2021,2022
2021-22,202687,Bismack Biyombo,Bismack,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,14.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,2,4,0.5,1,931,931,931,1255,1,1385,1,483,960,608,918,775,1,633,516,870,271,955,388,971,1122,565,1,14:26,2021,2022
2021-22,1629661,Cameron Johnson,Cameron,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,20.4,0.4,0.6,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,5,0.2,1,931,931,931,1054,1195,465,1294,483,293,608,148,775,1223,1037,900,1,271,1,949,1186,1031,1401,1,20:22,2021,2022
2021-22,101108,Chris Paul,Chris,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,35.6,0.286,0.714,0.154,0.0,0.692,0.0,0.154,0.0,0.154,0.0,1.0,0.667,0.333,0.5,0.5,4,7,0.571,1,931,931,931,384,1359,314,1255,483,242,608,646,775,1154,1037,1,732,195,955,388,602,781,439,1,35:37,2021,2022
2021-22,1626164,Devin Booker,Devin,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,39.0,0.765,0.235,0.632,0.211,0.0,0.316,0.368,0.211,0.421,0.167,0.833,0.0,0.0,0.167,0.833,6,17,0.353,1,931,931,931,229,463,1229,557,194,960,156,177,435,712,1005,275,870,271,1312,162,361,205,1110,1,39:00,2021,2022
2021-22,1628969,Mikal Bridges,Mikal,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,30.9,0.857,0.143,0.286,0.0,0.429,0.0,0.285,0.0,0.286,1.0,0.0,1.0,0.0,1.0,0.0,2,7,0.286,1,931,931,931,601,358,1320,1111,483,547,608,313,775,949,1,900,1,271,1,949,971,781,1273,1,30:54,2021,2022
2021-22,203109,Jae Crowder,Jae,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,28.6,0.75,0.25,0.222,0.222,0.333,0.0,0.445,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,4,0.5,1,931,931,931,715,470,1166,1182,165,667,608,127,775,1223,1,900,1,271,1,949,971,1122,565,1,28:36,2021,2022
2021-22,1630688,Ish Wainright,Ish,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,4.0,0.667,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,1,931,931,931,1647,614,987,1294,483,960,608,918,775,1223,1037,900,870,271,1346,949,1479,1255,1479,1,4:01,2021,2022
2021-22,203109,Jae Crowder,Jae,1610612756,PHX,Phoenix Suns,42100225,2022-05-10T00:00:00,PHX vs. DAL,W,26.5,0.167,0.833,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,6,0.167,1,1,1,1,798,1460,217,1294,483,1,608,918,775,1223,1037,900,1,271,1,949,1186,891,1435,1,26:31,2021,2022
2021-22,202687,Bismack Biyombo,Bismack,1610612756,PHX,Phoenix Suns,42100225,2022-05-10T00:00:00,PHX vs. DAL,W,21.2,1.0,0.0,0.857,0.0,0.0,0.286,0.143,0.0,0.857,1.0,0.0,0.0,0.0,1.0,0.0,3,5,0.6,1,1,1,1,1014,1,1385,276,483,960,178,672,775,220,1,900,870,271,1,949,769,1031,380,1,21:12,2021,2022
2021-22,1629661,Cameron Johnson,Cameron,1610612756,PHX,Phoenix Suns,42100225,2022-05-10T00:00:00,PHX vs. DAL,W,25.5,0.5,0.5,0.571,0.286,0.214,0.143,0.215,0.286,0.286,0.75,0.25,1.0,0.0,0.8,0.2,5,8,0.625,1,1,1,1,835,935,599,617,114,844,424,467,286,949,436,816,1,271,590,849,471,686,353,1,25:28,2021,2022
2021-22,1628988,Aaron Holiday,Aaron,1610612756,PHX,Phoenix Suns,42100225,2022-05-10T00:00:00,PHX vs. DAL,W,4.0,0.667,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,3,0.333,1,1,1,1,1651,614,987,1294,483,1,608,918,775,1223,1037,900,1,271,1,949,1186,1255,1120,1,3:58,2021,2022
2021-22,201580,JaVale McGee,JaVale,1610612756,PHX,Phoenix Suns,42100225,2022-05-10T00:00:00,PHX vs. DAL,W,3.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,1,1,1,1683,1,1385,1294,483,960,608,918,775,1223,1037,900,870,271,1346,949,1479,1511,1479,1,3:22,2021,2022
2021-22,1628969,Mikal Bridges,Mikal,1610612756,PHX,Phoenix Suns,42100225,2022-05-10T00:00:00,PHX vs. DAL,W,33.6,0.615,0.385,0.571,0.0,0.429,0.143,0.0,0.286,0.571,0.75,0.25,1.0,0.0,0.833,0.167,6,13,0.462,1,1,1,1,483,770,919,617,483,547,424,918,286,479,436,816,1,271,561,892,361,371,826,1,33:38,2021,2022
2021-22,1626166,Cameron Payne,Cameron,1610612756,PHX,Phoenix Suns,42100225,2022-05-10T00:00:00,PHX vs. DAL,W,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,1,1,1,1651,1506,1,1294,483,960,608,918,775,1223,1037,900,870,271,1346,949,1479,1511,1479,1,3:58,2021,2022
