player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,travel,double_dribble,discontinued_dribble,off_three_sec,inbound,backcourt,off_goaltending,palming,off_foul,def_three_sec,charge,def_goaltending,lane,jump_ball,kicked_ball,gp_rank,w_rank,l_rank,w_pct_rank,travel_rank,double_dribble_rank,discontinued_dribble_rank,off_three_sec_rank,inbound_rank,backcourt_rank,off_goaltending_rank,palming_rank,off_foul_rank,def_three_sec_rank,charge_rank,def_goaltending_rank,lane_rank,jump_ball_rank,kicked_ball_rank
201229,Anthony Tolliver,Anthony,1610612758,SAC,32.0,65,26,39,0.4,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,220,253,379,325,252,67,70,116,23,12,25,52,46,122,105,177,59,14,321
201167,Arron Afflalo,Arron,1610612758,SAC,31.0,61,23,38,0.377,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,253,287,367,358,102,67,70,116,23,120,87,52,46,219,245,177,59,14,321
203463,Ben McLemore,Ben,1610612758,SAC,24.0,61,27,34,0.443,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,253,243,315,290,131,67,70,116,23,120,87,52,46,219,105,177,59,14,321
1627741,Buddy Hield,Buddy,1610612758,SAC,24.0,82,31,51,0.378,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,4.0,1,196,463,353,131,67,16,116,23,38,87,52,46,75,151,98,10,14,67
201954,Darren Collison,Darren,1610612758,SAC,29.0,68,26,42,0.382,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,192,253,402,351,102,12,70,116,23,38,87,52,46,219,245,177,3,14,45
202066,Garrett Temple,Garrett,1610612758,SAC,31.0,65,25,40,0.385,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,220,266,387,345,252,67,70,116,23,38,87,52,46,122,75,177,59,14,160
1627834,Georgios Papagiannis,Georgios,1610612758,SAC,19.0,22,7,15,0.318,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,403,420,109,416,252,67,70,42,23,38,25,52,46,219,245,98,59,14,229
200770,Jordan Farmar,Jordan,1610612758,SAC,30.0,2,1,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477,464,1,214,371,67,70,116,23,120,87,52,46,219,334,177,59,14,321
201585,Kosta Koufos,Kosta,1610612758,SAC,28.0,71,27,44,0.38,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,169,243,419,352,252,67,70,116,23,120,87,52,46,219,334,98,59,14,45
204038,Langston Galloway,Langston,1610612758,SAC,25.0,74,29,45,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,126,215,431,335,371,67,70,116,23,120,87,52,46,219,151,177,59,14,160
1627781,Malachi Richardson,Malachi,1610612758,SAC,21.0,22,9,13,0.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,403,401,94,320,371,67,70,116,23,120,87,52,46,219,189,177,59,14,321
200752,Rudy Gay,Rudy,1610612758,SAC,30.0,30,11,19,0.367,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,383,392,149,373,200,67,70,116,23,12,87,52,5,219,75,98,59,14,160
1627746,Skal Labissiere,Skal,1610612758,SAC,21.0,33,9,24,0.273,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,371,401,198,443,165,67,70,116,23,120,87,52,46,75,245,55,10,14,229
201951,Ty Lawson,Ty,1610612758,SAC,29.0,69,25,44,0.362,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,183,266,419,379,200,4,70,116,23,120,87,52,46,219,245,177,10,14,109
201936,Tyreke Evans,Tyreke,1610612758,SAC,27.0,40,17,23,0.425,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,343,338,190,305,165,67,70,116,23,120,87,12,46,51,75,177,59,14,229
1626161,Willie Cauley-Stein,Willie,1610612758,SAC,23.0,75,29,46,0.387,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,111,215,439,343,165,12,70,116,23,120,87,52,46,122,245,55,59,14,28
