group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
Players,1629130,Duncan Robinson,Duncan,1610612748,MIA,31.0,25,8,17,0.32,2.6,0.375,0.625,0.476,0.095,0.429,0.0,0.095,0.238,0.381,0.8,0.2,0.667,0.333,0.75,0.25,8,24,0.333,103,187,465,404,247,314,102,177,64,103,189,284,91,202,78,251,198,56,147,206,130,102,289,MIA
Players,1629639,Tyler Herro,Tyler,1610612748,MIA,25.0,39,14,25,0.359,4.5,0.394,0.606,0.417,0.146,0.375,0.052,0.208,0.271,0.271,0.3,0.7,0.583,0.417,0.406,0.594,32,104,0.308,9,77,496,363,33,310,109,209,33,134,164,207,73,253,241,95,218,47,286,83,11,3,317,MIA
Players,1641796,Pelle Larsson,Pelle,1610612748,MIA,24.0,11,3,8,0.273,3.7,0.2,0.8,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,5,0.2,254,304,288,415,100,359,56,337,123,82,189,38,248,331,285,269,1,94,1,276,306,275,351,MIA
Players,1629312,Haywood Highsmith,Haywood,1610612748,MIA,28.0,23,8,15,0.348,3.2,0.5,0.5,0.375,0.0,0.375,0.0,0.25,0.188,0.375,0.667,0.333,1.0,0.0,0.8,0.2,5,10,0.5,133,187,433,369,155,238,153,234,123,134,189,163,120,205,105,199,1,94,120,230,180,207,129,MIA
Players,1630528,Josh Christopher,Josh,1610612748,MIA,23.0,1,0,1,0.0,4.7,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1,4,0.25,439,450,35,450,24,1,347,155,123,265,189,38,248,129,285,1,256,94,342,1,306,295,332,MIA
Players,1626196,Josh Richardson,Josh,1610612748,MIA,31.0,1,0,1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,439,450,35,450,454,380,347,337,123,265,189,307,248,331,285,269,256,94,342,276,369,419,369,MIA
Players,1631170,Jaime Jaquez Jr.,Jaime,1610612748,MIA,24.0,11,3,8,0.273,2.7,0.583,0.417,0.364,0.0,0.273,0.182,0.363,0.182,0.364,0.0,1.0,0.0,1.0,0.0,1.0,3,12,0.25,254,304,288,415,237,211,208,239,123,183,66,79,127,210,285,1,256,1,342,1,239,186,332,MIA
Players,1630558,Davion Mitchell,Davion,1610612748,MIA,26.0,29,9,20,0.31,3.9,0.478,0.522,0.438,0.0,0.375,0.0,0.187,0.063,0.438,0.143,0.857,0.75,0.25,0.364,0.636,11,23,0.478,63,172,487,406,73,271,148,198,123,134,189,222,229,164,278,58,188,72,296,70,94,106,169,MIA
Players,1642276,Kel'el Ware,Kel'el,1610612748,MIA,21.0,16,5,11,0.313,2.9,0.833,0.167,0.75,0.0,0.0,0.0,0.25,0.0,0.75,0.667,0.333,0.0,0.0,0.667,0.333,3,6,0.5,203,243,352,405,194,94,322,64,123,265,189,163,248,58,105,199,256,94,174,170,239,264,129,MIA
Players,1630696,Dru Smith,Dru,1610612748,MIA,27.0,4,1,3,0.25,1.9,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,359,375,148,418,353,238,153,337,123,265,189,307,248,331,285,269,256,94,342,276,369,333,369,MIA
Players,1642352,Keshad Johnson,Keshad,1610612748,MIA,23.0,1,0,1,0.0,4.7,1.0,0.0,0.667,0.0,0.0,1.0,0.333,1.0,0.667,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,439,450,35,450,24,1,347,80,123,265,1,92,1,71,1,269,256,94,1,276,306,362,1,MIA
Players,203952,Andrew Wiggins,Andrew,1610612748,MIA,30.0,32,15,17,0.469,3.0,0.605,0.395,0.383,0.085,0.383,0.0,0.234,0.085,0.298,0.222,0.778,0.667,0.333,0.4,0.6,15,38,0.395,36,66,465,287,187,193,226,232,71,130,189,183,209,239,264,71,198,56,287,77,65,55,245,MIA
Players,1628389,Bam Adebayo,Bam,1610612748,MIA,27.0,40,14,26,0.35,4.7,0.84,0.16,0.828,0.23,0.103,0.046,0.069,0.092,0.598,0.611,0.389,1.0,0.0,0.641,0.359,39,75,0.52,5,77,498,368,26,93,326,51,14,253,166,296,203,99,141,196,1,94,204,165,5,8,123,MIA
Players,201567,Kevin Love,Kevin,1610612748,MIA,36.0,5,2,3,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,342,335,148,340,490,380,347,337,123,265,189,307,248,331,285,269,256,94,342,276,369,419,369,MIA
Players,203937,Kyle Anderson,Kyle,1610612748,MIA,31.0,16,7,9,0.438,2.1,0.75,0.25,0.471,0.118,0.176,0.0,0.353,0.0,0.353,0.5,0.5,1.0,0.0,0.6,0.4,5,8,0.625,203,209,308,319,325,121,289,180,46,236,189,85,248,215,162,144,1,94,211,151,180,230,74,MIA
Players,1626179,Terry Rozier,Terry,1610612748,MIA,31.0,26,9,17,0.346,4.0,0.231,0.769,0.074,0.074,0.667,0.185,0.259,0.185,0.0,1.0,0.0,0.667,0.333,0.714,0.286,7,26,0.269,91,172,465,370,59,355,64,335,76,48,65,160,124,331,1,269,198,56,165,201,142,92,330,MIA
Players,202692,Alec Burks,Alec,1610612748,MIA,33.0,9,4,5,0.444,3.8,0.333,0.667,0.286,0.0,0.429,0.0,0.285,0.0,0.286,0.5,0.5,1.0,0.0,0.75,0.25,4,6,0.667,279,275,214,309,80,327,80,274,123,103,189,136,248,241,162,144,1,94,147,206,210,264,58,MIA
Players,1631107,Nikola Jović,Nikola,1610612748,MIA,21.0,15,7,8,0.467,4.0,0.214,0.786,0.353,0.0,0.529,0.0,0.118,0.235,0.353,0.667,0.333,1.0,0.0,0.833,0.167,6,14,0.429,214,209,288,288,61,358,61,245,123,75,189,273,96,215,105,199,1,94,109,252,160,162,203,MIA
