team_id,team_name,gp,w,l,w_pct,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank
1610612738,Boston Celtics,5,1,4,0.2,21.0,0.234,0.406,0.143,0.385,0.421,0.237,0.054,0.333,5,9,14,11,6,16,7,11,5,1,3,12,8
1610612739,Cleveland Cavaliers,4,1,3,0.25,8.0,0.731,0.462,0.1,0.2,0.676,0.235,0.067,0.556,8,9,9,10,12,1,3,6,14,14,2,10,14
1610612743,Denver Nuggets,8,4,4,0.5,35.0,0.452,0.452,0.13,0.465,0.541,0.246,0.127,0.294,3,4,14,6,2,10,4,9,2,11,4,6,6
1610612765,Detroit Pistons,5,2,3,0.4,22.0,0.613,0.452,0.227,0.267,0.579,0.474,0.08,0.28,5,7,9,9,5,5,4,15,9,13,12,9,4
1610612744,Golden State Warriors,4,3,1,0.75,10.0,0.405,0.333,0.056,0.5,0.571,0.357,0.2,0.333,8,6,1,3,11,14,9,3,1,12,6,1,8
1610612745,Houston Rockets,3,0,3,0.0,7.0,0.444,0.222,0.091,0.167,0.5,0.294,0.0,0.6,11,12,9,12,14,11,11,5,15,6,5,14,16
1610612754,Indiana Pacers,9,8,1,0.889,33.0,0.544,0.338,0.045,0.421,0.5,0.481,0.194,0.394,2,1,1,1,3,6,8,2,4,6,13,3,11
1610612746,LA Clippers,4,2,2,0.5,19.0,0.648,0.148,0.2,0.231,0.453,0.5,0.2,0.565,8,7,6,6,7,3,14,14,12,4,14,1,15
1610612747,Los Angeles Lakers,3,0,3,0.0,11.0,0.438,0.063,0.118,0.167,0.75,0.389,0.05,0.286,11,12,9,12,10,12,15,7,15,16,9,13,5
1610612763,Memphis Grizzlies,2,0,2,0.0,7.0,0.458,0.167,0.25,0.222,0.5,1.556,0.059,0.0,13,12,6,12,13,9,12,16,13,6,16,11,1
1610612748,Miami Heat,1,0,1,0.0,4.0,0.429,0.0,0.143,0.25,0.714,0.429,0.0,0.0,16,12,1,12,16,13,16,11,10,15,11,14,1
1610612749,Milwaukee Bucks,2,0,2,0.0,12.0,0.625,0.15,0.182,0.385,0.5,0.2,0.0,0.429,13,12,6,12,9,4,13,13,5,6,1,14,13
1610612750,Minnesota Timberwolves,5,4,1,0.8,17.0,0.694,0.452,0.135,0.438,0.5,0.385,0.143,0.167,5,4,1,2,8,2,4,10,3,6,8,5,3
1610612752,New York Knicks,11,7,4,0.636,49.0,0.506,0.518,0.128,0.34,0.445,0.402,0.168,0.327,1,2,14,4,1,7,2,8,7,3,10,4,7
1610612760,Oklahoma City Thunder,8,5,3,0.625,30.0,0.5,0.571,0.068,0.235,0.455,0.364,0.111,0.342,3,3,9,5,4,8,1,4,11,5,7,7,10
1610612753,Orlando Magic,2,1,1,0.5,6.0,0.25,0.25,0.0,0.333,0.444,0.667,0.091,0.4,13,9,1,6,15,15,10,1,8,2,15,8,12
