team_id,team_name,gp,w,l,w_pct,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank
1610612738,Boston Celtics,5,1,4,0.2,21.0,68.9,74.3,108.0,110.8,-39.1,-36.5,0.429,0.6,6.4,0.385,0.667,0.52,0.143,0.234,0.345,88.1,83.82,69.85,35,0.167,5,9,14,11,6,16,8,11,11,15,15,5,8,7,11,16,15,15,12
1610612739,Cleveland Cavaliers,4,1,3,0.25,8.0,141.7,125.0,149.2,166.7,-7.4,-41.7,0.375,1.5,12.5,0.2,0.444,0.357,0.1,0.731,0.799,99.4,101.08,84.24,20,0.512,8,9,9,10,12,4,14,13,13,8,11,14,14,15,6,1,1,6,7
1610612743,Denver Nuggets,8,4,4,0.5,35.0,109.6,110.1,115.4,109.9,-5.7,0.3,0.391,1.0,9.2,0.465,0.706,0.571,0.13,0.452,0.511,93.5,95.63,79.69,69,0.455,3,4,14,6,2,6,7,6,12,10,14,2,6,2,9,10,9,8,9
1610612765,Detroit Pistons,5,2,3,0.4,22.0,108.7,109.1,122.0,112.0,-13.3,-2.9,0.529,0.9,15.8,0.267,0.72,0.55,0.227,0.613,0.646,100.2,104.52,87.1,44,0.491,5,7,9,9,5,9,10,8,8,13,6,9,4,5,15,5,4,3,8
1610612744,Golden State Warriors,4,3,1,0.75,10.0,113.9,133.3,109.4,105.0,4.5,28.3,0.857,6.0,19.4,0.5,0.667,0.565,0.056,0.405,0.498,95.5,90.1,75.09,18,0.522,8,6,1,3,11,3,5,3,1,1,3,1,8,4,3,14,11,11,6
1610612745,Houston Rockets,3,0,3,0.0,7.0,91.9,90.9,135.8,169.2,-43.9,-78.3,0.667,2.0,14.3,0.167,0.4,0.313,0.091,0.444,0.506,95.1,84.29,70.24,11,0.224,11,12,9,12,14,11,15,15,5,5,8,15,16,16,5,11,10,14,11
1610612754,Indiana Pacers,9,8,1,0.889,33.0,131.7,141.8,102.8,101.4,28.9,40.4,0.375,4.0,12.6,0.421,0.606,0.507,0.045,0.544,0.608,105.1,102.03,85.03,67,0.646,2,1,1,1,3,2,3,2,13,2,10,4,11,8,2,6,6,4,2
1610612746,LA Clippers,4,2,2,0.5,19.0,116.0,108.6,111.3,111.4,4.7,-2.9,0.467,1.0,15.6,0.231,0.435,0.361,0.2,0.648,0.661,87.4,90.19,75.15,35,0.559,8,7,6,6,7,10,9,7,9,10,7,12,15,14,14,3,3,10,5
1610612747,Los Angeles Lakers,3,0,3,0.0,11.0,80.3,82.4,169.3,170.0,-89.0,-87.6,0.8,2.0,17.4,0.167,0.714,0.368,0.118,0.438,0.426,85.8,84.57,70.48,17,0.095,11,12,9,12,10,14,16,16,3,5,5,15,5,13,7,12,14,13,14
1610612763,Memphis Grizzlies,2,0,2,0.0,7.0,75.6,75.0,111.4,105.9,-35.8,-30.9,0.75,0.75,14.3,0.222,1.0,0.533,0.25,0.458,0.466,110.7,114.07,95.06,16,0.031,13,12,6,12,13,15,6,10,4,14,8,13,1,6,16,9,12,1,16
1610612748,Miami Heat,1,0,1,0.0,4.0,75.0,85.7,156.3,144.4,-81.3,-58.7,0.667,2.0,20.0,0.25,1.0,0.571,0.143,0.429,0.429,94.3,92.42,77.02,7,0.125,16,12,1,12,16,13,13,14,5,5,2,10,1,2,11,13,13,9,13
1610612749,Milwaukee Bucks,2,0,2,0.0,12.0,116.5,118.2,124.0,142.9,-7.5,-24.7,0.667,1.5,18.8,0.385,0.571,0.481,0.182,0.625,0.61,91.8,84.82,70.68,22,0.388,13,12,6,12,9,5,12,9,5,8,4,5,13,10,13,4,5,12,10
1610612750,Minnesota Timberwolves,5,4,1,0.8,17.0,154.9,151.4,101.8,97.1,53.1,54.2,0.824,2.8,24.1,0.438,0.833,0.647,0.135,0.694,0.753,96.0,99.38,82.81,37,0.755,5,4,1,2,8,1,1,1,2,3,1,3,3,1,10,2,2,7,1
1610612752,New York Knicks,11,7,4,0.636,49.0,114.5,109.2,95.7,99.0,18.8,10.2,0.351,0.93,9.3,0.34,0.673,0.505,0.128,0.506,0.584,101.2,102.01,85.01,109,0.603,1,2,14,4,1,8,2,4,15,12,13,7,7,9,8,7,7,5,4
1610612760,Oklahoma City Thunder,8,5,3,0.625,30.0,115.8,109.6,105.1,104.8,10.7,4.8,0.44,2.2,12.0,0.235,0.658,0.458,0.068,0.5,0.571,106.0,109.29,91.07,73,0.617,3,3,9,5,4,7,4,5,10,4,12,11,10,11,4,8,8,2,3
1610612753,Orlando Magic,2,1,1,0.5,6.0,73.1,90.0,120.3,127.3,-47.2,-37.3,0.0,0.0,0.0,0.333,0.6,0.429,0.0,0.25,0.338,90.6,79.37,66.14,10,0.091,13,9,1,6,15,12,11,12,16,16,16,8,12,12,1,15,16,16,15
