season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away,MON
2020-21,1610612751,BKN,Brooklyn Nets,22001067,2021-05-16,BKN vs. CLE,W,48.0,47,83,0.566,16,30,0.533,13,17,0.765,4,33,37,35,12.0,9,9,5,20,14,123,14.0,1,1,1,1,113,248,1665,76,370,1546,45,1536,1559,1220,2046,1212,1845,36,641,535,88,1024,1160,1915,407,348,1,2020,2021,True,BKN,CLE,MAY
2020-21,1610612751,BKN,Brooklyn Nets,22001060,2021-05-15,BKN vs. CHI,W,48.0,41,87,0.471,14,34,0.412,9,15,0.6,8,44,52,26,10.0,6,8,4,16,13,105,14.0,1,1,1,1,113,1001,1147,997,674,1091,634,1971,1776,2047,1377,78,217,775,282,1308,155,663,376,2008,1508,348,1,2020,2021,True,BKN,CHI,MAY
2020-21,1610612751,BKN,Brooklyn Nets,22001043,2021-05-12,BKN vs. SAS,W,48.0,48,79,0.608,12,28,0.429,20,27,0.741,3,40,43,33,11.0,3,9,2,19,19,128,12.0,1,1,1,1,113,185,1972,15,1079,1736,483,562,435,1415,2118,283,1194,105,440,2016,88,141,942,1002,212,422,1,2020,2021,True,BKN,SAS,MAY
2020-21,1610612751,BKN,Brooklyn Nets,22001036,2021-05-11,BKN @ CHI,W,48.0,42,89,0.472,12,33,0.364,19,25,0.76,13,38,51,32,8.0,4,8,5,19,20,115,8.0,1,1,1,1,113,853,898,984,1079,1213,1057,675,595,1265,314,473,278,146,104,1867,155,1024,942,786,836,625,1,2020,2021,False,CHI,BKN,MAY
2020-21,1610612751,BKN,Brooklyn Nets,22001015,2021-05-08,BKN @ DEN,W,48.0,41,66,0.621,16,31,0.516,27,33,0.818,2,33,35,27,17.0,10,5,1,24,23,125,6.0,1,1,1,1,113,1001,2160,7,370,1443,82,91,126,783,2147,1212,1991,611,1636,348,801,24,1823,339,308,737,1,2020,2021,False,DEN,BKN,MAY
2020-21,1610612751,BKN,Brooklyn Nets,22000998,2021-05-06,BKN @ DAL,L,48.0,41,95,0.432,13,37,0.351,14,15,0.933,10,41,51,18,13.0,8,4,3,18,15,109,-4.0,1,1081,1081,1081,113,1001,315,1583,857,716,1197,1388,1776,111,847,212,278,1962,826,751,1137,332,725,1786,1243,1238,1,2020,2021,False,DAL,BKN,MAY
2020-21,1610612751,BKN,Brooklyn Nets,22000985,2021-05-04,BKN @ MIL,L,48.0,41,84,0.488,20,43,0.465,16,26,0.615,6,33,39,21,13.0,6,6,3,25,21,118,-6.0,1,1081,1081,1081,113,1001,1570,738,69,237,265,1090,513,2029,1795,1212,1630,1619,826,1308,490,332,1927,610,662,1373,1,2020,2021,False,MIL,BKN,MAY
2020-21,1610612751,BKN,Brooklyn Nets,22000967,2021-05-02,BKN @ MIL,L,48.0,41,96,0.427,17,42,0.405,15,17,0.882,14,39,53,18,16.0,5,1,11,11,18,114,-3.0,1,1081,1081,1081,113,1001,245,1632,260,290,701,1230,1559,313,213,366,170,1962,1454,1628,2021,2119,23,1220,898,1180,1,2020,2021,False,MIL,BKN,MAY
2020-21,1610612751,BKN,Brooklyn Nets,22000952,2021-04-30,BKN vs. POR,L,48.0,40,95,0.421,13,41,0.317,16,19,0.842,11,31,42,20,8.0,6,3,2,18,17,109,-19.0,1,1081,1081,1081,113,1175,315,1704,857,354,1552,1090,1298,584,636,1517,1306,1741,104,1308,1499,141,725,1437,1243,1935,1,2020,2021,True,BKN,POR,APR
2020-21,1610612751,BKN,Brooklyn Nets,22000944,2021-04-29,BKN @ IND,W,48.0,47,89,0.528,12,35,0.343,24,28,0.857,8,42,50,35,14.0,3,5,6,19,23,130,17.0,1,1,1,1,113,248,898,296,1079,956,1286,227,359,465,1377,162,353,36,1048,2016,801,1361,942,339,151,252,1,2020,2021,False,IND,BKN,APR
