season,team_id,team,game_id,game_date,away_team,home_team,opponent,opponent_id,game_week,pf,opp_pf,wl,differential
2022-23,1610612737,ATL,22200005,2022-10-19,HOU,ATL,HOU,1610612745,1,117,107,W,10
2022-23,1610612737,ATL,22200020,2022-10-21,ORL,ATL,ORL,1610612753,2,108,98,W,10
2022-23,1610612737,ATL,22200038,2022-10-23,CHA,ATL,CHA,1610612766,3,109,126,L,-17
2022-23,1610612737,ATL,22200057,2022-10-26,ATL,DET,DET,1610612765,4,118,113,W,5
2022-23,1610612737,ATL,22200070,2022-10-28,ATL,DET,DET,1610612765,5,136,112,W,24
2022-23,1610612737,ATL,22200085,2022-10-29,ATL,MIL,MIL,1610612749,6,115,123,L,-8
2022-23,1610612737,ATL,22200099,2022-10-31,ATL,TOR,TOR,1610612761,7,109,139,L,-30
2022-23,1610612737,ATL,22200110,2022-11-02,ATL,NYK,NYK,1610612752,8,112,99,W,13
2022-23,1610612737,ATL,22200134,2022-11-05,NOP,ATL,NOP,1610612740,9,124,121,W,3
2022-23,1610612737,ATL,22200149,2022-11-07,MIL,ATL,MIL,1610612749,10,117,98,W,19
2022-23,1610612737,ATL,22200162,2022-11-09,UTA,ATL,UTA,1610612762,11,119,125,L,-6
2022-23,1610612737,ATL,22200173,2022-11-10,PHI,ATL,PHI,1610612755,12,104,95,W,9
2022-23,1610612737,ATL,22200188,2022-11-12,ATL,PHI,PHI,1610612755,13,109,121,L,-12
2022-23,1610612737,ATL,22200204,2022-11-14,ATL,MIL,MIL,1610612749,14,121,106,W,15
2022-23,1610612737,ATL,22200214,2022-11-16,BOS,ATL,BOS,1610612738,15,101,126,L,-25
2022-23,1610612737,ATL,22200235,2022-11-19,TOR,ATL,TOR,1610612761,16,124,122,W,2
2022-23,1610612737,ATL,22200248,2022-11-21,ATL,CLE,CLE,1610612739,17,102,114,L,-12
2022-23,1610612737,ATL,22200263,2022-11-23,SAC,ATL,SAC,1610612758,18,115,106,W,9
2022-23,1610612737,ATL,22200278,2022-11-25,ATL,HOU,HOU,1610612745,19,122,128,L,-6
2022-23,1610612737,ATL,22200293,2022-11-27,MIA,ATL,MIA,1610612748,20,98,106,L,-8
2022-23,1610612737,ATL,22200299,2022-11-28,ATL,PHI,PHI,1610612755,21,101,104,L,-3
2022-23,1610612737,ATL,22200313,2022-11-30,ATL,ORL,ORL,1610612753,22,125,108,W,17
2022-23,1610612737,ATL,22200327,2022-12-02,DEN,ATL,DEN,1610612743,23,117,109,W,8
2022-23,1610612737,ATL,22200354,2022-12-05,OKC,ATL,OKC,1610612760,24,114,121,L,-7
2022-23,1610612737,ATL,22200365,2022-12-07,ATL,NYK,NYK,1610612752,25,89,113,L,-24
2022-23,1610612737,ATL,22200380,2022-12-09,ATL,BKN,BKN,1610612751,26,116,120,L,-4
2022-23,1610612737,ATL,22200400,2022-12-11,CHI,ATL,CHI,1610612741,27,123,122,W,1
2022-23,1610612737,ATL,22200404,2022-12-12,ATL,MEM,MEM,1610612763,28,103,128,L,-25
2022-23,1610612737,ATL,22200416,2022-12-14,ATL,ORL,ORL,1610612753,29,124,135,L,-11
2022-23,1610612737,ATL,22200428,2022-12-16,ATL,CHA,CHA,1610612766,30,125,106,W,19
2022-23,1610612737,ATL,22200454,2022-12-19,ORL,ATL,ORL,1610612753,31,126,125,W,1
2022-23,1610612737,ATL,22200468,2022-12-21,CHI,ATL,CHI,1610612741,32,108,110,L,-2
2022-23,1610612737,ATL,22200481,2022-12-23,DET,ATL,DET,1610612765,33,130,105,W,25
2022-23,1610612737,ATL,22200508,2022-12-27,ATL,IND,IND,1610612754,34,114,129,L,-15
2022-23,1610612737,ATL,22200517,2022-12-28,BKN,ATL,BKN,1610612751,35,107,108,L,-1
2022-23,1610612737,ATL,22200530,2022-12-30,LAL,ATL,LAL,1610612747,36,121,130,L,-9
2022-23,1610612737,ATL,22200558,2023-01-02,ATL,GSW,GSW,1610612744,37,141,143,L,-2
2022-23,1610612737,ATL,22200575,2023-01-04,ATL,SAC,SAC,1610612758,38,120,117,W,3
2022-23,1610612737,ATL,22200590,2023-01-06,ATL,LAL,LAL,1610612747,39,114,130,L,-16
2022-23,1610612737,ATL,22200604,2023-01-08,ATL,LAC,LAC,1610612746,40,112,108,W,4
2022-23,1610612737,ATL,22200620,2023-01-11,MIL,ATL,MIL,1610612749,41,105,114,L,-9
2022-23,1610612737,ATL,22200633,2023-01-13,ATL,IND,IND,1610612754,42,113,111,W,2
2022-23,1610612737,ATL,22200644,2023-01-14,ATL,TOR,TOR,1610612761,43,114,103,W,11
2022-23,1610612737,ATL,22200661,2023-01-16,MIA,ATL,MIA,1610612748,44,121,113,W,8
2022-23,1610612737,ATL,22200670,2023-01-18,ATL,DAL,DAL,1610612742,45,130,122,W,8
2022-23,1610612737,ATL,22200684,2023-01-20,NYK,ATL,NYK,1610612752,46,139,124,W,15
2022-23,1610612737,ATL,22200694,2023-01-21,CHA,ATL,CHA,1610612766,47,118,122,L,-4
2022-23,1610612737,ATL,22200708,2023-01-23,ATL,CHI,CHI,1610612741,48,100,111,L,-11
2022-23,1610612737,ATL,22200725,2023-01-25,ATL,OKC,OKC,1610612760,49,137,132,W,5
2022-23,1610612737,ATL,22200745,2023-01-28,LAC,ATL,LAC,1610612746,50,113,120,L,-7
2022-23,1610612737,ATL,22200763,2023-01-30,ATL,POR,POR,1610612757,51,125,129,L,-4
2022-23,1610612737,ATL,22200777,2023-02-01,ATL,PHX,PHX,1610612756,52,132,100,W,32
2022-23,1610612737,ATL,22200792,2023-02-03,ATL,UTA,UTA,1610612762,53,115,108,W,7
2022-23,1610612737,ATL,22200801,2023-02-04,ATL,DEN,DEN,1610612743,54,108,128,L,-20
2022-23,1610612737,ATL,22200818,2023-02-07,ATL,NOP,NOP,1610612740,55,107,116,L,-9
2022-23,1610612737,ATL,22200832,2023-02-09,PHX,ATL,PHX,1610612756,56,116,107,W,9
2022-23,1610612737,ATL,22200850,2023-02-11,SAS,ATL,SAS,1610612759,57,125,106,W,19
2022-23,1610612737,ATL,22200857,2023-02-13,ATL,CHA,CHA,1610612766,58,138,144,L,-6
2022-23,1610612737,ATL,22200876,2023-02-15,NYK,ATL,NYK,1610612752,59,101,122,L,-21
2022-23,1610612737,ATL,22200896,2023-02-24,CLE,ATL,CLE,1610612739,60,136,119,W,17
2022-23,1610612737,ATL,22200911,2023-02-26,BKN,ATL,BKN,1610612751,61,129,127,W,2
2022-23,1610612737,ATL,22200923,2023-02-28,WAS,ATL,WAS,1610612764,62,116,119,L,-3
2022-23,1610612737,ATL,22200947,2023-03-03,POR,ATL,POR,1610612757,63,129,111,W,18
2022-23,1610612737,ATL,22200958,2023-03-04,ATL,MIA,MIA,1610612748,64,109,117,L,-8
2022-23,1610612737,ATL,22200974,2023-03-06,ATL,MIA,MIA,1610612748,65,128,130,L,-2
