season,team_id,team,srs_v1,sos_v1_raw,sos_v1
2017-18,1610612745,HOU,8.21,-0.266,0.208
2017-18,1610612761,TOR,7.3,-0.485,0.0
2017-18,1610612744,GSW,5.79,-0.187,0.283
2017-18,1610612762,UTA,4.47,0.169,0.621
2017-18,1610612755,PHI,4.3,-0.201,0.269
2017-18,1610612760,OKC,3.42,0.006,0.466
2017-18,1610612738,BOS,3.24,-0.35,0.128
2017-18,1610612759,SAS,2.89,-0.0,0.46
2017-18,1610612757,POR,2.6,0.003,0.463
2017-18,1610612750,MIN,2.35,0.116,0.571
2017-18,1610612743,DEN,1.57,0.096,0.551
2017-18,1610612740,NOP,1.48,0.177,0.628
2017-18,1610612754,IND,1.18,-0.199,0.272
2017-18,1610612739,CLE,0.59,-0.345,0.132
2017-18,1610612764,WAS,0.53,-0.054,0.409
2017-18,1610612748,MIA,0.15,-0.323,0.154
2017-18,1610612746,LAC,0.15,0.115,0.569
2017-18,1610612766,CHA,0.07,-0.187,0.282
2017-18,1610612765,DET,-0.26,-0.11,0.356
2017-18,1610612749,MIL,-0.45,-0.145,0.323
2017-18,1610612747,LAL,-1.43,0.116,0.57
2017-18,1610612742,DAL,-2.7,0.336,0.78
2017-18,1610612752,NYK,-3.53,0.034,0.492
2017-18,1610612751,BKN,-3.67,0.075,0.532
2017-18,1610612753,ORL,-4.92,-0.098,0.367
2017-18,1610612737,ATL,-5.3,0.153,0.605
2017-18,1610612763,MEM,-5.81,0.395,0.836
2017-18,1610612758,SAC,-6.59,0.395,0.835
2017-18,1610612741,CHI,-6.84,0.199,0.649
2017-18,1610612756,PHX,-8.8,0.568,1.0
