player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Cole Anthony,ORL,50,Guard,74.0,185.0,North Carolina,USA,https://www.nba.com/player/1630175/cole-anthony,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,4.0,False,2020.0,1.0,15.0,Drafted,anthoco01
Paolo Banchero,ORL,5,Forward,82.0,250.0,Duke,USA,https://www.nba.com/player/1631094/paolo-banchero,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png,1980-01-01,2.0,False,2022.0,1.0,1.0,Drafted,banchpa01
Goga Bitadze,ORL,35,Center-Forward,82.0,250.0,Mega Basket,Georgia,https://www.nba.com/player/1629048/goga-bitadze,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,5.0,False,2019.0,1.0,18.0,Drafted,bitadgo01
Anthony Black,ORL,0,Guard,79.0,200.0,Arkansas,USA,https://www.nba.com/player/1641710/anthony-black,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,1.0,False,2023.0,1.0,6.0,Drafted,blackan01
Kentavious Caldwell-Pope,ORL,3,Guard,77.0,204.0,Georgia,USA,https://www.nba.com/player/203484/kentavious-caldwell-pope,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,11.0,False,2013.0,1.0,8.0,Drafted,caldwke01
Wendell Carter Jr.,ORL,34,Center-Forward,82.0,270.0,Duke,USA,https://www.nba.com/player/1628976/wendell-carter-jr,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,6.0,False,2018.0,1.0,7.0,Drafted,jr.we0100
Gary Harris,ORL,14,Guard,76.0,210.0,Michigan State,USA,https://www.nba.com/player/203914/gary-harris,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,10.0,False,2014.0,1.0,19.0,Drafted,harriga01
Caleb Houstan,ORL,2,Guard,80.0,205.0,Michigan,Canada,https://www.nba.com/player/1631216/caleb-houstan,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,2.0,False,2022.0,2.0,32.0,Drafted,houstca01
Jett Howard,ORL,13,Guard,78.0,215.0,Michigan,USA,https://www.nba.com/player/1641724/jett-howard,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,1.0,False,2023.0,1.0,11.0,Drafted,howarje01
Jonathan Isaac,ORL,1,Forward,82.0,230.0,Florida State,USA,https://www.nba.com/player/1628371/jonathan-isaac,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,5.0,False,2017.0,1.0,6.0,Drafted,isaacjo01
Cory Joseph,ORL,10,Guard,74.0,200.0,Texas,Canada,https://www.nba.com/player/202709/cory-joseph,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,13.0,False,2011.0,1.0,29.0,Drafted,josepco01
Mac McClung,ORL,8,Guard,74.0,185.0,Texas Tech,USA,https://www.nba.com/player/1630644/mac-mcclung,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,2.0,False,0.0,0.0,0.0,UDF,mccluma01
Trevelin Queen,ORL,12,Guard,77.0,190.0,New Mexico State,USA,https://www.nba.com/player/1630243/trevelin-queen,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630243.png,1980-01-01,3.0,False,0.0,0.0,0.0,UDF,queentr01
Jalen Suggs,ORL,4,Guard,77.0,205.0,Gonzaga,USA,https://www.nba.com/player/1630591/jalen-suggs,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2021.0,1.0,5.0,Drafted,suggsja01
