close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
1626157,Karl-Anthony Towns,1610612750,MIN,C,22.0,5,5,0.433,13,39,0.333,0.366,-0.033
202710,Jimmy Butler III,1610612750,MIN,G,28.0,5,5,0.468,8,36,0.222,0.36,-0.138
201959,Taj Gibson,1610612750,MIN,F,33.0,5,5,0.673,13,33,0.394,0.376,0.018
203952,Andrew Wiggins,1610612750,MIN,F,23.0,5,5,0.453,9,29,0.31,0.363,-0.052
201952,Jeff Teague,1610612750,MIN,G,30.0,5,5,0.413,12,19,0.632,0.376,0.255
2037,Jamal Crawford,1610612750,MIN,G,38.0,5,5,0.857,5,18,0.278,0.371,-0.094
201565,Derrick Rose,1610612750,MIN,G,29.0,5,5,0.391,3,18,0.167,0.364,-0.197
203476,Gorgui Dieng,1610612750,MIN,C,28.0,5,4,0.351,5,13,0.385,0.382,0.003
202357,Nemanja Bjelica,1610612750,MIN,F,30.0,5,4,0.647,4,11,0.364,0.377,-0.014
1626145,Tyus Jones,1610612750,MIN,G,22.0,4,4,0.5,2,9,0.222,0.372,-0.15
201166,Aaron Brooks,1610612750,MIN,G,33.0,1,1,1.0,0,1,0.0,0.167,-0.167
