season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away
2018-19,1610612753,ORL,Orlando Magic,21800543,2018-12-31,ORL @ CHA,L,48.0,10.0,18.0,15.0,46.0,16.0,12.0,18.0,50.0,0,0,0,0,135,2037,418,898,1373,1151,1010,1806,1314,1,2018,2019,False,CHA,ORL
2018-19,1610612744,GSW,Golden State Warriors,21800548,2018-12-31,GSW @ PHX,W,48.0,17.0,12.0,21.0,50.0,19.0,16.0,12.0,50.0,0,0,0,0,135,994,1274,330,969,1613,1675,1023,1314,1,2018,2019,False,PHX,GSW
2018-19,1610612763,MEM,Memphis Grizzlies,21800544,2018-12-31,MEM @ HOU,L,48.0,18.0,4.0,18.0,50.0,9.0,12.0,4.0,26.0,0,0,0,0,135,849,2362,561,969,219,1010,80,19,1,2018,2019,False,HOU,MEM
2018-19,1610612759,SAS,San Antonio Spurs,21800545,2018-12-31,SAS vs. BOS,W,48.0,9.0,6.0,14.0,48.0,12.0,12.0,21.0,48.0,0,0,0,0,135,2162,2221,1013,1148,541,1010,2077,1089,1,2018,2019,True,SAS,BOS
2018-19,1610612740,NOP,New Orleans Pelicans,21800546,2018-12-31,NOP vs. MIN,W,48.0,7.0,11.0,24.0,50.0,20.0,14.0,19.0,58.0,0,0,0,0,135,2309,1452,193,969,1745,1332,1901,1995,1,2018,2019,True,NOP,MIN
2018-19,1610612737,ATL,Atlanta Hawks,21800542,2018-12-31,ATL @ IND,L,48.0,14.0,17.0,15.0,54.0,21.0,17.0,27.0,52.0,0,0,0,0,135,1466,516,898,621,1869,1814,2327,1493,1,2018,2019,False,IND,ATL
2018-19,1610612766,CHA,Charlotte Hornets,21800543,2018-12-31,CHA vs. ORL,W,48.0,16.0,12.0,18.0,50.0,10.0,18.0,15.0,46.0,0,0,0,0,135,1153,1274,561,969,300,1946,1449,891,1,2018,2019,True,CHA,ORL
2018-19,1610612760,OKC,Oklahoma City Thunder,21800547,2018-12-31,OKC vs. DAL,W,48.0,36.0,23.0,26.0,56.0,5.0,5.0,12.0,28.0,0,0,0,0,135,7,89,135,467,36,100,1023,27,1,2018,2019,True,OKC,DAL
2018-19,1610612756,PHX,Phoenix Suns,21800548,2018-12-31,PHX vs. GSW,L,48.0,19.0,16.0,12.0,50.0,17.0,12.0,21.0,50.0,0,0,0,0,135,717,648,1269,969,1309,1010,2077,1314,1,2018,2019,True,PHX,GSW
2018-19,1610612742,DAL,Dallas Mavericks,21800547,2018-12-31,DAL @ OKC,L,48.0,5.0,5.0,12.0,28.0,36.0,23.0,26.0,56.0,0,0,0,0,135,2400,2315,1269,2413,2452,2326,2302,1841,1,2018,2019,False,OKC,DAL
