game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
41500101,2016-04-17,DET,CLE,106,101.0,rnd1,1
41500102,2016-04-20,DET,CLE,107,90.0,rnd1,2
41500103,2016-04-22,CLE,DET,101,91.0,rnd1,3
41500104,2016-04-24,CLE,DET,100,98.0,rnd1,4
41500201,2016-05-02,ATL,CLE,104,93.0,sf,1
41500202,2016-05-04,ATL,CLE,123,98.0,sf,2
41500203,2016-05-06,CLE,ATL,121,108.0,sf,3
41500204,2016-05-08,CLE,ATL,100,99.0,sf,4
41500301,2016-05-17,TOR,CLE,115,84.0,conf,1
41500302,2016-05-19,TOR,CLE,108,89.0,conf,2
41500303,2016-05-21,CLE,TOR,84,99.0,conf,3
41500304,2016-05-23,CLE,TOR,99,105.0,conf,4
41500305,2016-05-25,TOR,CLE,116,78.0,conf,5
41500306,2016-05-27,CLE,TOR,113,87.0,conf,6
41500401,2016-06-02,CLE,GSW,89,104.0,finals,1
41500402,2016-06-05,CLE,GSW,77,110.0,finals,2
41500403,2016-06-08,GSW,CLE,120,90.0,finals,3
41500404,2016-06-10,GSW,CLE,97,108.0,finals,4
41500405,2016-06-13,CLE,GSW,112,97.0,finals,5
41500406,2016-06-16,GSW,CLE,115,101.0,finals,6
41500407,2016-06-19,CLE,GSW,93,89.0,finals,7
