team_id,team_name,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank
1610612738,Boston Celtics,13,6,7,0.462,4.0,0.638,0.363,0.54,0.16,0.15,0.08,0.31,0.13,0.38,0.519,0.481,0.6,0.4,0.531,0.469,2,2,15,8,7,3,13,3,2,12,4,6,12,4,5,11,9,5,6,10
1610612751,Brooklyn Nets,1,0,1,0.0,2.4,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14,13,1,13,14,9,5,1,12,14,10,14,1,1,1,14,13,10,1,15
1610612742,Dallas Mavericks,2,1,1,0.5,6.4,0.478,0.522,0.37,0.074,0.556,0.0,0.074,0.074,0.296,0.6,0.4,0.2,0.8,0.4,0.6,12,8,1,6,1,13,3,9,9,2,10,13,14,8,3,13,12,2,11,4
1610612743,Denver Nuggets,11,6,5,0.545,3.5,0.552,0.448,0.33,0.103,0.495,0.021,0.175,0.206,0.227,0.313,0.688,0.563,0.438,0.438,0.563,3,2,14,5,11,6,10,13,3,4,9,10,7,14,8,8,10,4,9,7
1610612745,Houston Rockets,5,1,4,0.2,4.5,0.525,0.475,0.556,0.056,0.333,0.056,0.111,0.222,0.5,0.4,0.6,1.0,0.0,0.571,0.429,6,8,11,11,5,7,9,2,11,7,6,12,6,2,7,9,1,10,5,11
1610612754,Indiana Pacers,1,0,1,0.0,4.2,0.4,0.6,0.333,0.0,0.5,0.167,0.167,0.667,0.333,0.0,1.0,1.0,0.0,0.5,0.5,14,13,1,13,6,14,2,11,12,3,2,11,2,6,13,1,1,10,7,8
1610612746,LA Clippers,5,2,3,0.4,4.0,0.5,0.5,0.34,0.075,0.34,0.0,0.321,0.075,0.264,0.111,0.889,0.833,0.167,0.4,0.6,6,7,7,9,8,9,5,10,8,6,10,5,13,12,12,4,5,8,11,4
1610612747,Los Angeles Lakers,10,6,4,0.6,2.6,0.5,0.5,0.423,0.077,0.288,0.135,0.288,0.135,0.346,0.455,0.545,1.0,0.0,0.625,0.375,4,2,11,4,13,9,5,6,7,9,3,9,10,5,6,10,1,10,3,13
1610612748,Miami Heat,14,11,3,0.786,3.6,0.493,0.507,0.385,0.092,0.323,0.046,0.292,0.138,0.292,0.52,0.48,0.786,0.214,0.615,0.385,1,1,7,1,10,12,4,8,4,8,7,7,9,9,4,12,7,7,4,12
1610612749,Milwaukee Bucks,5,1,4,0.2,3.7,0.68,0.32,0.467,0.2,0.2,0.067,0.333,0.233,0.267,0.0,1.0,0.5,0.5,0.111,0.889,6,8,11,11,9,2,14,5,1,11,5,3,4,11,13,1,11,3,14,2
1610612760,Oklahoma City Thunder,4,3,1,0.75,5.5,0.575,0.425,0.333,0.083,0.375,0.042,0.292,0.229,0.25,0.125,0.875,0.833,0.167,0.429,0.571,9,6,1,2,2,5,11,11,6,5,8,8,5,13,11,5,5,8,10,6
1610612755,Philadelphia 76ers,3,0,3,0.0,2.2,0.625,0.375,0.286,0.0,0.0,0.0,0.714,0.571,0.286,0.0,1.0,0.0,0.0,0.0,1.0,11,13,7,13,15,4,12,14,12,14,10,1,3,10,13,1,13,10,15,1
1610612757,Portland Trail Blazers,2,1,1,0.5,2.7,0.333,0.667,0.143,0.0,0.857,0.0,0.0,0.0,0.143,1.0,0.0,0.75,0.25,0.8,0.2,12,8,1,6,12,15,1,15,12,1,10,14,15,15,1,14,8,6,2,14
1610612761,Toronto Raptors,6,4,2,0.667,4.8,0.51,0.49,0.4,0.073,0.273,0.182,0.327,0.182,0.327,0.273,0.727,1.0,0.0,0.5,0.5,5,5,6,3,4,8,8,7,10,10,1,4,8,7,9,6,1,10,7,8
1610612762,Utah Jazz,4,1,3,0.25,5.1,0.72,0.28,0.478,0.087,0.13,0.0,0.391,0.13,0.391,0.273,0.727,0.0,1.0,0.231,0.769,9,8,7,10,3,1,15,4,5,13,10,2,11,3,9,6,13,1,13,3
