player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Santi Aldama,MEM,7,Forward-Center,84.0,215.0,Loyola-Maryland,Spain,https://www.nba.com/player/1630583/santi-aldama,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2021.0,1.0,30.0,Drafted,aldamsa01
Marvin Bagley III,MEM,35,Forward,82.0,235.0,Duke,USA,https://www.nba.com/player/1628963/marvin-bagley-iii,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,6.0,False,2018.0,1.0,2.0,Drafted,iiima0100
Desmond Bane,MEM,22,Guard,77.0,215.0,TCU,USA,https://www.nba.com/player/1630217/desmond-bane,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,4.0,False,2020.0,1.0,30.0,Drafted,banede010
Brandon Clarke,MEM,15,Forward,80.0,215.0,Gonzaga,Canada,https://www.nba.com/player/1629634/brandon-clarke,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,5.0,False,2019.0,1.0,21.0,Drafted,clarkbr01
Zach Edey,MEM,14,Center,88.0,305.0,Purdue,Canada,https://www.nba.com/player/1641744/zach-edey,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,1.0,9.0,Drafted,edeyza010
Jay Huff,MEM,30,Center,85.0,240.0,Virginia,USA,https://www.nba.com/player/1630643/jay-huff,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,0.0,0.0,0.0,UDF,huffja010
GG Jackson,MEM,45,Forward,81.0,210.0,South Carolina,USA,https://www.nba.com/player/1641713/gg-jackson,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1642389.png,1980-01-01,1.0,False,2023.0,2.0,45.0,Drafted,jacksgg01
Jaren Jackson Jr.,MEM,13,Forward-Center,82.0,242.0,Michigan State,USA,https://www.nba.com/player/1628991/jaren-jackson-jr,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1642389.png,1980-01-01,6.0,False,2018.0,1.0,4.0,Drafted,jr.ja0100
Yuki Kawamura,MEM,17,Guard,68.0,159.0,,Japan,https://www.nba.com/player/1642530/yuki-kawamura,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,0.0,0.0,0.0,UDF,kawamyu01
Luke Kennard,MEM,10,Guard,77.0,206.0,Duke,USA,https://www.nba.com/player/1628379/luke-kennard,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,7.0,False,2017.0,1.0,12.0,Drafted,kennalu01
John Konchar,MEM,46,Guard,77.0,210.0,Indiana-Purdue Fort Wayne,USA,https://www.nba.com/player/1629723/john-konchar,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1642389.png,1980-01-01,5.0,False,0.0,0.0,0.0,UDF,konchjo01
Ja Morant,MEM,12,Guard,74.0,174.0,Murray State,USA,https://www.nba.com/player/1629630/ja-morant,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,5.0,False,2019.0,1.0,2.0,Drafted,moranja01
Scotty Pippen Jr.,MEM,1,Guard,73.0,170.0,Vanderbilt,USA,https://www.nba.com/player/1630590/scotty-pippen-jr,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630590.png,1980-01-01,2.0,False,0.0,0.0,0.0,UDF,jr.sc0100
Zyon Pullin,MEM,,Guard,76.0,206.0,Florida,USA,https://www.nba.com/player/1642389/zyon-pullin,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1642389.png,1980-01-01,,False,0.0,0.0,0.0,UDF,pullizy01
Cam Spencer,MEM,24,Guard,76.0,205.0,Connecticut,USA,https://www.nba.com/player/1642285/cam-spencer,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,2.0,53.0,Drafted,spencca01
Lamar Stevens,MEM,8,Forward,79.0,230.0,Penn State,USA,https://www.nba.com/player/1630205/lamar-stevens,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,4.0,False,0.0,0.0,0.0,UDF,stevela01
