close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
202689,Kemba Walker,1610612766,CHA,G,26.0,81,80,0.397,1.7,4.86,0.35,0.357,-0.007
201587,Nicolas Batum,1610612766,CHA,G-F,27.0,70,67,0.439,1.44,4.36,0.331,0.355,-0.024
201584,Courtney Lee,1610612766,CHA,G,30.0,79,76,0.387,1.22,3.42,0.356,0.356,0.0
202391,Jeremy Lin,1610612766,CHA,G,27.0,78,70,0.344,1.14,3.13,0.365,0.353,0.012
101107,Marvin Williams,1610612766,CHA,F,30.0,81,75,0.293,1.07,3.1,0.347,0.353,-0.006
203087,Jeremy Lamb,1610612766,CHA,G,24.0,66,62,0.388,0.82,2.65,0.309,0.357,-0.048
1626163,Frank Kaminsky,1610612766,CHA,C,23.0,80,67,0.281,1.03,2.6,0.394,0.352,0.042
203077,Michael Kidd-Gilchrist,1610612766,CHA,F,22.0,7,6,0.231,0.71,2.57,0.278,0.359,-0.081
202343,Elliot Williams,1610612766,CHA,G,27.0,5,5,0.75,0.6,1.8,0.333,0.316,0.017
203584,Troy Daniels,1610612766,CHA,G,24.0,36,29,0.412,0.33,1.56,0.214,0.344,-0.129
203469,Cody Zeller,1610612766,CHA,C-F,23.0,73,45,0.127,0.45,1.18,0.384,0.347,0.037
203268,Jorge Gutierrez,1610612766,CHA,G,27.0,10,6,0.455,0.2,1.0,0.2,0.332,-0.132
1626151,Aaron Harrison,1610612766,CHA,G,21.0,16,10,0.6,0.38,0.94,0.4,0.347,0.053
201150,Spencer Hawes,1610612766,CHA,F-C,28.0,57,25,0.092,0.23,0.68,0.333,0.34,-0.007
2744,Al Jefferson,1610612766,CHA,C,31.0,47,18,0.071,0.13,0.62,0.207,0.332,-0.125
201946,Tyler Hansbrough,1610612766,CHA,F,30.0,35,8,0.124,0.17,0.34,0.5,0.363,0.137
