TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612737,Atlanta Hawks,82,48,34,0.585,49.2,100.8,34.4,0.698,9.3,6.0,16.2,13.3,12.1,41.6,1,7,7,7,21,2,15,26,3,6,11,16,8,4
1610612738,Boston Celtics,82,48,34,0.585,48.3,102.5,33.4,0.707,9.2,4.2,14.8,14.2,10.8,43.0,1,7,7,7,28,4,21,24,5,24,3,25,2,12
1610612751,Brooklyn Nets,82,21,61,0.256,50.0,109.7,33.1,0.716,7.9,4.2,18.9,12.5,15.0,49.7,1,28,28,28,11,29,24,19,17,25,27,12,25,30
1610612766,Charlotte Hornets,82,48,34,0.585,49.8,103.7,36.0,0.754,7.5,5.5,14.5,11.7,12.8,41.2,1,7,7,7,13,9,5,1,23,13,2,5,12,2
1610612741,Chicago Bulls,82,42,40,0.512,49.7,105.5,36.1,0.714,6.2,5.9,16.4,14.6,14.1,45.5,1,14,14,14,16,15,4,20,29,9,14,26,21,22
1610612739,Cleveland Cavaliers,82,57,25,0.695,51.1,103.9,35.8,0.742,7.1,4.1,16.4,11.8,11.8,43.1,1,3,3,3,3,10,8,5,26,26,15,7,6,14
1610612742,Dallas Mavericks,82,42,40,0.512,50.3,105.9,35.0,0.723,7.0,3.8,15.3,13.8,16.6,42.1,1,14,14,14,9,16,10,14,27,28,8,22,27,6
1610612743,Denver Nuggets,82,33,49,0.402,49.8,108.2,34.1,0.732,7.6,5.0,17.3,12.5,13.4,44.4,1,21,21,21,14,25,16,9,20,16,22,11,15,18
1610612765,Detroit Pistons,82,44,38,0.537,50.1,104.9,35.0,0.753,7.2,3.8,15.0,11.1,10.8,45.8,1,12,12,12,10,13,11,2,24,30,5,1,1,24
1610612744,Golden State Warriors,82,73,9,0.89,47.9,102.8,35.8,0.72,8.3,6.0,16.4,13.6,14.3,44.5,1,1,1,1,29,6,7,15,13,8,17,20,22,20
1610612745,Houston Rockets,82,41,41,0.5,48.7,107.3,32.0,0.692,10.1,5.3,19.6,14.8,14.5,44.9,1,17,17,17,25,21,30,29,1,14,28,28,23,21
1610612754,Indiana Pacers,82,45,37,0.549,49.3,102.2,34.4,0.714,9.2,4.8,16.6,13.3,12.4,42.2,1,11,11,11,20,3,14,21,4,17,18,15,9,7
1610612746,LA Clippers,82,53,29,0.646,49.6,102.7,34.1,0.697,8.9,5.8,14.9,14.2,12.7,42.4,1,6,6,6,18,5,17,27,6,11,4,24,11,9
1610612747,Los Angeles Lakers,82,17,65,0.207,49.8,110.3,33.4,0.712,7.5,4.2,17.0,14.8,17.6,49.4,1,29,29,29,15,30,22,22,22,23,20,29,30,29
1610612763,Memphis Grizzlies,82,42,40,0.512,51.1,107.1,32.2,0.709,9.3,4.5,16.0,12.5,15.4,40.7,1,14,14,14,4,20,28,23,2,20,10,10,26,1
1610612748,Miami Heat,82,48,34,0.585,51.0,103.7,36.1,0.729,7.1,6.8,16.4,13.7,11.3,44.3,1,7,7,7,6,8,3,11,25,1,16,21,3,17
1610612749,Milwaukee Bucks,82,33,49,0.402,50.5,107.8,32.6,0.689,8.6,6.0,18.5,14.7,13.6,45.9,1,21,21,21,8,23,26,30,10,4,26,27,19,25
1610612750,Minnesota Timberwolves,82,29,53,0.354,49.9,109.0,32.5,0.702,8.2,4.7,18.3,13.5,13.8,47.5,1,26,26,26,12,28,27,25,16,19,24,19,20,28
1610612740,New Orleans Pelicans,82,30,52,0.366,49.2,108.4,33.7,0.748,7.9,4.3,15.2,11.5,12.0,44.1,1,25,25,25,23,26,19,3,18,22,7,3,7,16
1610612752,New York Knicks,82,32,50,0.39,51.0,106.7,35.9,0.718,6.0,6.0,16.3,13.4,13.5,45.6,1,24,24,24,5,18,6,17,30,7,12,17,18,23
1610612760,Oklahoma City Thunder,82,55,27,0.671,49.2,104.8,36.2,0.72,7.5,6.0,17.9,14.2,13.5,46.0,1,5,5,5,22,11,2,16,21,5,23,23,17,26
1610612753,Orlando Magic,82,35,47,0.427,49.7,106.0,33.8,0.726,8.4,5.2,16.4,11.6,13.5,44.4,1,20,20,20,17,17,18,13,11,15,13,4,16,19
1610612755,Philadelphia 76ers,82,10,72,0.122,48.8,108.6,32.1,0.693,8.4,6.1,20.2,14.9,16.9,46.0,1,30,30,30,24,27,29,28,12,3,29,30,28,27
1610612756,Phoenix Suns,82,23,59,0.28,48.3,107.9,33.5,0.733,7.8,3.8,20.3,12.7,17.4,44.0,1,27,27,27,27,24,20,8,19,29,30,13,29,15
1610612757,Portland Trail Blazers,82,44,38,0.537,49.4,106.8,34.7,0.728,7.0,4.7,16.7,12.7,11.3,41.9,1,12,12,12,19,19,13,12,28,18,19,14,4,5
1610612758,Sacramento Kings,82,33,49,0.402,47.7,107.6,33.2,0.717,8.8,4.4,18.4,13.5,14.8,43.0,1,21,21,21,30,22,23,18,7,21,25,18,24,13
1610612759,San Antonio Spurs,82,67,15,0.817,50.7,98.2,36.4,0.746,8.7,6.2,14.2,11.2,12.8,42.3,1,2,2,2,7,1,1,4,8,2,1,2,14,8
1610612761,Toronto Raptors,82,56,26,0.683,51.3,104.8,35.3,0.736,8.3,5.8,15.1,12.3,11.7,42.6,1,4,4,4,2,12,9,7,15,10,6,8,5,11
1610612762,Utah Jazz,82,40,42,0.488,52.3,103.2,35.0,0.731,8.3,5.6,17.2,12.3,12.6,42.6,1,19,19,19,1,7,12,10,14,12,21,9,10,10
1610612764,Washington Wizards,82,41,41,0.5,48.4,105.1,32.9,0.737,8.7,4.0,15.8,11.7,12.8,41.4,1,17,17,17,26,14,25,6,9,27,9,6,13,3
