TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612737,Atlanta Hawks,82,48,34,0.585,49.2,18.9,10.9,15.0,44.1,16.2,13.3,12.1,41.6,1,7,7,7,11,5,28,7,16,11,16,8,4
1610612738,Boston Celtics,82,48,34,0.585,48.3,18.8,14.3,16.3,46.0,14.8,14.2,10.8,43.0,1,7,7,7,23,6,5,6,10,3,25,2,12
1610612751,Brooklyn Nets,82,21,61,0.256,50.0,15.6,13.1,11.9,47.9,18.9,12.5,15.0,49.7,1,28,28,28,26,24,17,20,5,27,12,25,30
1610612766,Charlotte Hornets,82,48,34,0.585,49.8,16.3,11.8,11.4,38.7,14.5,11.7,12.8,41.2,1,7,7,7,9,20,25,25,28,2,5,12,2
1610612741,Chicago Bulls,82,42,40,0.512,49.7,13.6,13.9,10.4,42.0,16.4,14.6,14.1,45.5,1,14,14,14,3,29,9,28,22,14,26,21,22
1610612739,Cleveland Cavaliers,82,57,25,0.695,51.1,17.2,13.9,12.5,43.3,16.4,11.8,11.8,43.1,1,3,3,3,9,12,8,18,19,15,7,6,14
1610612742,Dallas Mavericks,82,42,40,0.512,50.3,16.5,11.0,11.6,39.2,15.3,13.8,16.6,42.1,1,14,14,14,1,19,27,23,27,8,22,27,6
1610612743,Denver Nuggets,82,33,49,0.402,49.8,16.2,13.7,14.6,47.2,17.3,12.5,13.4,44.4,1,21,21,21,11,21,11,8,6,22,11,15,18
1610612765,Detroit Pistons,82,44,38,0.537,50.1,15.9,15.4,11.4,44.9,15.0,11.1,10.8,45.8,1,12,12,12,5,22,2,24,13,5,1,1,24
1610612744,Golden State Warriors,82,73,9,0.89,47.9,16.8,12.1,20.7,44.1,16.4,13.6,14.3,44.5,1,1,1,1,5,15,23,1,17,17,20,22,20
1610612745,Houston Rockets,82,41,41,0.5,48.7,19.0,14.0,18.2,46.1,19.6,14.8,14.5,44.9,1,17,17,17,11,3,7,3,8,28,28,23,21
1610612754,Indiana Pacers,82,45,37,0.549,49.3,19.2,13.1,13.6,41.5,16.6,13.3,12.4,42.2,1,11,11,11,5,2,18,12,24,18,15,9,7
1610612746,LA Clippers,82,53,29,0.646,49.6,17.3,10.9,13.2,38.6,14.9,14.2,12.7,42.4,1,6,6,6,11,10,29,14,29,4,24,11,9
