TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,TRAVEL,DOUBLE_DRIBBLE,DISCONTINUED_DRIBBLE,OFF_THREE_SEC,FIVE_SEC,EIGHT_SEC,SHOT_CLOCK,INBOUND,BACKCOURT,OFF_GOALTENDING,PALMING,OFF_FOUL,DEF_THREE_SEC,CHARGE,DELAY_OF_GAME,DEF_GOALTENDING,LANE,JUMP_BALL,KICKED_BALL,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,TRAVEL_RANK,DOUBLE_DRIBBLE_RANK,DISCONTINUED_DRIBBLE_RANK,OFF_THREE_SEC_RANK,FIVE_SEC_RANK,EIGHT_SEC_RANK,SHOT_CLOCK_RANK,INBOUND_RANK,BACKCOURT_RANK,OFF_GOALTENDING_RANK,PALMING_RANK,OFF_FOUL_RANK,DEF_THREE_SEC_RANK,CHARGE_RANK,DELAY_OF_GAME_RANK,DEF_GOALTENDING_RANK,LANE_RANK,JUMP_BALL_RANK,KICKED_BALL_RANK
1610612737,Atlanta Hawks,18,10,8,0.556,13.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,2.0,1.0,0.0,20.0,1.0,7.0,3.0,5.0,0.0,0.0,4.0,4,3,14,5,2,4,2,8,1,2,6,1,1,2,4,5,5,4,3,2,3,2,4
1610612738,Boston Celtics,5,1,4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,7.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,12,12,1,12,16,4,4,8,2,2,10,1,6,10,4,14,12,8,9,3,3,2,8
1610612751,Brooklyn Nets,12,7,5,0.583,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,20.0,1.0,7.0,1.0,4.0,0.0,0.0,5.0,5,5,9,3,9,4,4,8,2,2,5,1,1,10,1,5,5,4,9,3,3,2,2
1610612742,Dallas Mavericks,7,3,4,0.429,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,9,9,1,8,12,4,4,1,2,2,8,1,6,2,4,14,5,15,9,9,3,2,4
1610612743,Denver Nuggets,10,4,6,0.4,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,19.0,1.9999999999999998,2.0,0.0,2.0,0.0,0.0,2.0,8,8,12,9,7,4,4,1,2,2,8,1,6,10,4,7,3,15,13,7,3,2,8
1610612746,LA Clippers,19,10,9,0.526,7.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,2.0,1.0,0.0,30.0,2.0,6.0,5.0,3.0,1.0,0.0,4.0,3,3,16,7,5,4,4,1,2,2,1,1,1,2,4,4,1,6,1,5,1,2,4
1610612747,Los Angeles Lakers,6,2,4,0.333,2.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,10,10,1,10,12,2,4,1,2,2,10,1,11,10,4,10,12,9,3,9,3,2,8
1610612763,Memphis Grizzlies,5,1,4,0.2,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,12,12,1,12,9,2,4,1,2,2,16,1,11,10,4,9,12,9,13,7,3,2,15
1610612748,Miami Heat,4,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,16,16,1,16,15,4,4,8,2,2,14,1,11,2,4,16,12,9,13,9,3,2,13
1610612749,Milwaukee Bucks,23,16,7,0.696,15.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,2.0,1.0,1.0,36.0,1.0,14.0,3.0,6.0,1.0,0.0,12.0,1,1,13,1,1,4,2,1,2,2,2,1,1,2,1,2,5,1,3,1,1,2,1
