GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,203463,Ben McLemore,Ben,1610612758,SAC,23.0,17,8,9,0.471,26.206666666666667,0.0,0.0,0.0,5.5,11.0,9.6,6.9,11.0,0.0,0.0,4.1,4.1,14.3,216,195,223,241,255,234,237,175,150,241,199,270,395,200,1,212,142,349
Players,2406,Caron Butler,Caron,1610612758,SAC,36.0,2,1,1,0.5,2.3216666666666668,0.0,0.0,0.0,0.0,62.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,374,362,31,188,395,234,237,175,303,432,1,1,130,200,1,1,326,400
Players,201954,Darren Collison,Darren,1610612758,SAC,28.0,33,12,21,0.364,115.62,4.7,1.2,3.7,1.9,15.6,11.5,8.1,24.9,0.0,0.3,4.7,4.0,28.1,81,144,402,318,81,39,192,33,271,367,283,314,290,200,242,261,144,190
Players,202326,DeMarcus Cousins,DeMarcus,1610612758,SAC,25.0,36,15,21,0.417,116.3,2.8,4.6,1.9,13.6,13.9,10.2,8.4,25.4,1.5,1.9,5.9,13.0,46.1,59,109,402,283,79,95,43,90,24,339,224,327,274,73,394,324,8,44
Players,202341,James Anderson,James,1610612758,SAC,27.0,10,3,7,0.3,9.588333333333331,0.0,0.0,0.0,0.0,11.3,7.5,33.8,45.1,0.0,0.0,7.5,3.8,12.0,277,293,188,363,329,234,237,175,303,252,110,432,31,200,1,371,162,366
Players,201585,Kosta Koufos,Kosta,1610612758,SAC,27.0,17,6,11,0.353,25.82333333333333,0.0,8.4,0.0,11.2,13.9,11.2,5.6,19.5,2.8,0.0,12.5,2.8,38.6,216,235,251,324,259,234,14,175,40,341,267,206,364,35,1,415,220,92
Players,201158,Marco Belinelli,Marco,1610612758,SAC,30.0,29,12,17,0.414,70.56666666666666,1.0,5.1,0.0,2.0,16.8,8.7,10.7,32.6,0.0,0.0,3.1,1.5,21.5,117,144,341,284,151,207,37,175,266,377,160,377,101,200,1,140,287,277
Players,201956,Omri Casspi,Omri,1610612758,SAC,28.0,23,9,14,0.391,54.876666666666665,1.3,0.0,2.6,2.6,13.8,11.8,5.2,21.0,0.7,0.7,3.9,1.3,18.5,173,182,298,300,183,188,237,59,250,334,295,191,345,145,291,195,298,309
Players,203112,Quincy Acy,Quincy,1610612758,SAC,25.0,10,5,5,0.5,21.706666666666667,3.3,3.3,0.0,3.3,10.0,21.6,6.6,26.5,5.0,0.0,1.7,5.0,38.5,277,252,153,188,278,73,80,175,224,214,412,259,233,8,1,73,113,95
Players,200765,Rajon Rondo,Rajon,1610612758,SAC,30.0,38,15,23,0.395,116.115,0.6,0.6,0.6,7.4,14.9,12.7,8.4,24.8,0.6,0.0,8.4,2.5,40.5,38,109,418,299,80,225,226,159,99,360,326,328,293,149,1,385,239,80
Players,200752,Rudy Gay,Rudy,1610612758,SAC,29.0,37,16,21,0.432,133.08666666666667,1.1,1.1,2.2,5.4,14.6,11.4,9.2,26.0,0.0,0.3,3.0,4.9,31.3,51,99,402,267,53,201,203,80,154,354,274,353,259,200,237,130,114,160
Players,203552,Seth Curry,Seth,1610612758,SAC,25.0,7,3,4,0.429,26.87333333333333,2.7,4.0,0.0,2.7,2.7,8.0,8.0,32.2,0.0,0.0,2.7,0.0,20.4,301,293,127,269,254,104,55,175,248,78,131,313,106,200,1,117,326,285
Players,1626161,Willie Cauley-Stein,Willie,1610612758,SAC,22.0,15,9,6,0.6,28.99833333333333,0.0,0.0,0.0,5.0,13.7,13.7,11.2,12.4,2.5,0.0,8.7,2.5,24.5,233,182,174,103,250,234,237,175,170,332,344,383,394,38,1,392,238,238
