season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end
2019-20,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,48.0,20.3,11.3,15.8,36.0,16.5,9.8,18.8,24.0,0,0,0,1,139,102,643,234,917,1685,1043,2004,85,1,2019,2020
2019-20,1610612743,DEN,Denver Nuggets,21901318,2020-08-14T00:00:00,DEN @ TOR,L,48.0,16.5,9.8,18.8,24.0,20.3,11.3,15.8,36.0,0,0,0,1060,139,347,929,88,1988,1985,1336,1848,1033,1,2019,2020
2019-20,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,53.0,18.3,6.1,13.6,28.5,20.4,6.8,6.8,28.5,0,0,0,1,13,221,1670,392,1689,2018,577,627,422,1,2019,2020
2019-20,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,53.0,20.4,6.8,6.8,28.5,18.3,6.1,13.6,28.5,0,0,0,1060,13,99,1531,1482,1689,1895,446,1720,422,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,21901316,2020-08-14T00:00:00,MIA @ IND,L,48.0,15.0,8.3,1.5,27.0,15.0,13.5,9.8,34.5,0,0,0,1060,139,538,1244,2082,1807,1477,1714,1038,852,1,2019,2020
2019-20,1610612754,IND,Indiana Pacers,21901316,2020-08-14T00:00:00,IND vs. MIA,W,48.0,15.0,13.5,9.8,34.5,15.0,8.3,1.5,27.0,0,0,0,1,139,538,317,951,1098,1477,746,15,218,1,2019,2020
2019-20,1610612755,PHI,Philadelphia 76ers,21901315,2020-08-14T00:00:00,PHI @ HOU,W,48.0,20.3,12.8,6.8,40.5,18.0,1.5,13.5,31.5,0,0,0,1,139,102,412,1493,455,1840,4,1613,561,1,2019,2020
2019-20,1610612745,HOU,Houston Rockets,21901315,2020-08-14T00:00:00,HOU vs. PHI,L,48.0,18.0,1.5,13.5,31.5,20.3,12.8,6.8,40.5,0,0,0,1060,139,225,2086,400,1423,1985,1598,516,1537,1,2019,2020
2019-20,1610612762,UTA,Utah Jazz,21901314,2020-08-13T00:00:00,UTA vs. SAS,W,48.0,15.0,15.8,6.8,46.5,10.5,6.8,6.8,33.0,0,0,0,1,139,538,130,1493,125,665,450,516,709,1,2019,2020
2019-20,1610612759,SAS,San Antonio Spurs,21901314,2020-08-13T00:00:00,SAS @ UTA,L,48.0,10.5,6.8,6.8,33.0,15.0,15.8,6.8,46.5,0,0,0,1060,139,1317,1543,1493,1276,1477,1942,516,1941,1,2019,2020
2019-20,1610612756,PHX,Phoenix Suns,21901313,2020-08-13T00:00:00,PHX vs. DAL,W,48.0,10.5,10.5,16.5,45.0,3.0,12.8,3.8,42.0,0,0,0,1,139,1317,794,185,181,12,1598,133,1670,1,2019,2020
2019-20,1610612738,BOS,Boston Celtics,21901308,2020-08-13T00:00:00,BOS vs. WAS,L,48.0,11.3,8.3,9.0,36.0,18.8,10.5,16.5,24.0,0,0,0,1060,139,1194,1244,1089,917,1899,1197,1889,85,1,2019,2020
2019-20,1610612749,MIL,Milwaukee Bucks,21901311,2020-08-13T00:00:00,MIL @ MEM,L,48.0,10.5,5.3,3.0,22.5,13.5,4.5,9.8,40.5,0,0,0,1060,139,1317,1810,1991,2037,1222,163,1038,1537,1,2019,2020
2019-20,1610612758,SAC,Sacramento Kings,21901310,2020-08-13T00:00:00,SAC @ LAL,W,48.0,20.3,9.0,15.8,43.5,13.5,12.0,3.8,40.5,0,0,0,1,139,102,1089,234,263,1222,1484,133,1537,1,2019,2020
2019-20,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,48.0,3.0,12.8,3.8,42.0,10.5,10.5,16.5,45.0,0,0,0,1060,139,2095,412,1926,352,665,1197,1889,1861,1,2019,2020
2019-20,1610612747,LAL,Los Angeles Lakers,21901310,2020-08-13T00:00:00,LAL vs. SAC,L,48.0,13.5,12.0,3.8,40.5,20.3,9.0,15.8,43.5,0,0,0,1060,139,762,530,1926,455,1985,888,1848,1774,1,2019,2020
2019-20,1610612757,POR,Portland Trail Blazers,21901309,2020-08-13T00:00:00,POR @ BKN,W,48.0,10.5,21.8,6.0,43.5,9.0,12.8,9.8,43.5,0,0,0,1,139,1317,9,1613,263,433,1598,1038,1774,1,2019,2020
2019-20,1610612764,WAS,Washington Wizards,21901308,2020-08-13T00:00:00,WAS @ BOS,W,48.0,18.8,10.5,16.5,24.0,11.3,8.3,9.0,36.0,0,0,0,1,139,182,794,185,1988,809,746,905,1033,1,2019,2020
2019-20,1610612751,BKN,Brooklyn Nets,21901309,2020-08-13T00:00:00,BKN vs. POR,L,48.0,9.0,12.8,9.8,43.5,10.5,21.8,6.0,43.5,0,0,0,1060,139,1592,412,951,263,665,2107,385,1774,1,2019,2020
2019-20,1610612753,ORL,Orlando Magic,21901312,2020-08-13T00:00:00,ORL vs. NOP,W,48.0,17.3,6.8,15.8,37.5,15.0,12.8,15.8,54.0,0,0,0,1,139,287,1543,234,741,1477,1598,1848,2097,1,2019,2020
2019-20,1610612740,NOP,New Orleans Pelicans,21901312,2020-08-13T00:00:00,NOP @ ORL,L,48.0,15.0,12.8,15.8,54.0,17.3,6.8,15.8,37.5,0,0,0,1060,139,538,412,234,15,1773,450,1848,1217,1,2019,2020
2019-20,1610612763,MEM,Memphis Grizzlies,21901311,2020-08-13T00:00:00,MEM vs. MIL,W,48.0,13.5,4.5,9.8,40.5,10.5,5.3,3.0,22.5,0,0,0,1,139,762,1891,951,455,665,235,69,54,1,2019,2020
2019-20,1610612755,PHI,Philadelphia 76ers,21901305,2020-08-12T00:00:00,PHI vs. TOR,L,48.0,4.5,2.3,9.0,25.5,15.8,16.5,9.8,31.5,0,0,0,1060,139,2038,2058,1089,1908,1589,1992,1038,561,1,2019,2020
2019-20,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,48.0,16.5,6.8,8.3,31.5,5.3,12.8,7.5,39.0,0,0,0,1,139,347,1543,1219,1423,83,1598,648,1390,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,21901306,2020-08-12T00:00:00,MIA @ OKC,L,48.0,13.5,6.0,8.3,31.5,9.8,15.0,6.0,27.0,0,0,0,1060,139,762,1674,1219,1423,537,1885,385,218,1,2019,2020
2019-20,1610612760,OKC,Oklahoma City Thunder,21901306,2020-08-12T00:00:00,OKC vs. MIA,W,48.0,9.8,15.0,6.0,27.0,13.5,6.0,8.3,31.5,0,0,0,1,139,1468,180,1613,1807,1222,319,778,561,1,2019,2020
2019-20,1610612754,IND,Indiana Pacers,21901304,2020-08-12T00:00:00,IND @ HOU,W,48.0,18.8,15.0,9.8,34.5,15.0,8.3,7.5,24.0,0,0,0,1,139,182,180,951,1098,1477,746,648,85,1,2019,2020
2019-20,1610612743,DEN,Denver Nuggets,21901307,2020-08-12T00:00:00,DEN vs. LAC,L,48.0,5.3,12.8,7.5,39.0,16.5,6.8,8.3,31.5,0,0,0,1060,139,2008,412,1347,589,1685,450,778,561,1,2019,2020
2019-20,1610612761,TOR,Toronto Raptors,21901305,2020-08-12T00:00:00,TOR @ PHI,W,48.0,15.8,16.5,9.8,31.5,4.5,2.3,9.0,25.5,0,0,0,1,139,437,92,951,1423,45,35,905,135,1,2019,2020
2019-20,1610612745,HOU,Houston Rockets,21901304,2020-08-12T00:00:00,HOU vs. IND,L,48.0,15.0,8.3,7.5,24.0,18.8,15.0,9.8,34.5,0,0,0,1060,139,538,1244,1347,1988,1899,1885,1038,852,1,2019,2020
2019-20,1610612751,BKN,Brooklyn Nets,21901297,2020-08-11T00:00:00,BKN @ ORL,W,48.0,9.8,3.8,11.3,33.0,13.5,11.3,9.0,27.0,0,0,0,1,139,1468,1959,703,1276,1222,1336,905,218,1,2019,2020
2019-20,1610612758,SAC,Sacramento Kings,21901302,2020-08-11T00:00:00,SAC vs. NOP,W,48.0,10.5,9.0,6.0,40.5,17.3,9.0,9.0,46.5,0,0,0,1,139,1317,1089,1613,455,1773,888,905,1941,1,2019,2020
2019-20,1610612749,MIL,Milwaukee Bucks,21901303,2020-08-11T00:00:00,MIL @ WAS,W,48.0,6.0,7.5,14.3,36.0,13.5,10.5,3.0,28.5,0,0,0,1,139,1961,1382,334,917,1222,1197,69,321,1,2019,2020
2019-20,1610612764,WAS,Washington Wizards,21901303,2020-08-11T00:00:00,WAS vs. MIL,L,48.0,13.5,10.5,3.0,28.5,6.0,7.5,14.3,36.0,0,0,0,1060,139,762,794,1991,1698,115,598,1728,1033,1,2019,2020
2019-20,1610612757,POR,Portland Trail Blazers,21901300,2020-08-11T00:00:00,POR @ DAL,W,48.0,13.5,9.8,6.8,37.5,9.8,6.8,6.0,27.0,0,0,0,1,139,762,929,1493,741,537,450,385,218,1,2019,2020
2019-20,1610612742,DAL,Dallas Mavericks,21901300,2020-08-11T00:00:00,DAL vs. POR,L,48.0,9.8,6.8,6.0,27.0,13.5,9.8,6.8,37.5,0,0,0,1060,139,1468,1543,1613,1807,1222,1043,516,1217,1,2019,2020
2019-20,1610612745,HOU,Houston Rockets,21901298,2020-08-11T00:00:00,HOU @ SAS,L,48.0,18.0,8.3,9.0,31.5,24.0,7.5,10.5,36.0,0,0,0,1060,139,225,1244,1089,1423,2083,598,1179,1033,1,2019,2020
2019-20,1610612763,MEM,Memphis Grizzlies,21901301,2020-08-11T00:00:00,MEM vs. BOS,L,48.0,12.8,11.3,8.3,36.0,3.8,10.5,6.8,27.0,0,0,0,1060,139,908,643,1219,917,27,1197,516,218,1,2019,2020
2019-20,1610612738,BOS,Boston Celtics,21901301,2020-08-11T00:00:00,BOS @ MEM,W,48.0,3.8,10.5,6.8,27.0,12.8,11.3,8.3,36.0,0,0,0,1,139,2077,794,1493,1807,1071,1336,778,1033,1,2019,2020
2019-20,1610612753,ORL,Orlando Magic,21901297,2020-08-11T00:00:00,ORL vs. BKN,L,48.0,13.5,11.3,9.0,27.0,9.8,3.8,11.3,33.0,0,0,0,1060,139,762,643,1089,1807,537,121,1304,709,1,2019,2020
2019-20,1610612740,NOP,New Orleans Pelicans,21901302,2020-08-11T00:00:00,NOP @ SAC,L,48.0,17.3,9.0,9.0,46.5,10.5,9.0,6.0,40.5,0,0,0,1060,139,287,1089,1089,125,665,888,385,1537,1,2019,2020
2019-20,1610612755,PHI,Philadelphia 76ers,21901299,2020-08-11T00:00:00,PHI vs. PHX,L,48.0,6.8,8.3,2.3,40.5,15.8,14.3,11.3,49.5,0,0,0,1060,139,1889,1244,2057,455,1589,1808,1304,2031,1,2019,2020
2019-20,1610612759,SAS,San Antonio Spurs,21901298,2020-08-11T00:00:00,SAS vs. HOU,W,48.0,24.0,7.5,10.5,36.0,18.0,8.3,9.0,31.5,0,0,0,1,139,23,1382,827,917,1840,746,905,561,1,2019,2020
