season,team_id,team,srs_v1,sos_v1_raw,sos_v1
2018-19,1610612749,MIL,8.05,-0.82,0.0
2018-19,1610612744,GSW,6.42,-0.04,0.502
2018-19,1610612761,TOR,5.49,-0.594,0.146
2018-19,1610612762,UTA,5.29,0.031,0.548
2018-19,1610612745,HOU,4.96,0.197,0.655
2018-19,1610612757,POR,4.44,0.241,0.683
2018-19,1610612743,DEN,4.2,0.247,0.687
2018-19,1610612738,BOS,3.9,-0.54,0.181
2018-19,1610612760,OKC,3.56,0.157,0.629
2018-19,1610612754,IND,2.76,-0.565,0.164
2018-19,1610612755,PHI,2.26,-0.437,0.246
2018-19,1610612759,SAS,1.81,0.125,0.609
2018-19,1610612746,LAC,1.09,0.237,0.681
2018-19,1610612753,ORL,0.28,-0.429,0.252
2018-19,1610612751,BKN,-0.4,-0.326,0.318
2018-19,1610612748,MIA,-0.45,-0.218,0.388
2018-19,1610612765,DET,-0.55,-0.31,0.328
2018-19,1610612758,SAC,-0.81,0.312,0.729
2018-19,1610612742,DAL,-0.86,0.419,0.798
2018-19,1610612750,MIN,-1.02,0.481,0.838
2018-19,1610612740,NOP,-1.1,0.233,0.678
2018-19,1610612766,CHA,-1.31,-0.216,0.389
2018-19,1610612747,LAL,-1.32,0.395,0.783
2018-19,1610612763,MEM,-2.08,0.517,0.862
2018-19,1610612764,WAS,-3.3,-0.395,0.274
2018-19,1610612737,ATL,-6.06,-0.035,0.506
2018-19,1610612741,CHI,-8.32,0.099,0.592
2018-19,1610612756,PHX,-8.61,0.732,1.0
2018-19,1610612752,NYK,-8.92,0.283,0.711
2018-19,1610612739,CLE,-9.39,0.22,0.67
