group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank
Players,202954,Brad Wanamaker,Brad,1610612738,BOS,30.0,14,7,7,0.5,1.5,131.8,120.8,120.8,136.7,134.8,134.8,-4.9,-14.0,-14.0,0.111,2.0,22.2,0.0,0.143,0.071,11.1,11.4,0.5,0.608,0.113,0.124,108.26,114.11,95.09,114.11,0.069,53,2,4,0.1,0.3,0.5,211,198,232,177,355,59,82,82,391,415,415,230,308,308,150,63,71,273,128,212,340,352,160,136,273,270,104,109,109,229,233,268,296,335,96
Players,1629035,Carsen Edwards,Carsen,1610612738,BOS,22.0,3,0,3,0.0,1.2,60.1,55.6,55.6,122.0,125.0,125.0,-61.9,-69.4,-69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.097,108.53,111.68,93.07,111.68,-1.0,9,0,1,0.0,0.3,0.0,364,415,117,415,380,424,425,425,322,376,376,421,431,431,285,219,285,273,346,365,1,1,340,365,327,330,99,139,139,453,340,350,340,319,340
Players,1628464,Daniel Theis,Daniel,1610612738,BOS,28.0,30,15,15,0.5,3.2,112.0,109.7,109.7,109.5,108.9,108.9,2.6,0.8,0.8,0.015,0.25,3.1,0.103,0.14,0.122,12.5,12.3,0.543,0.602,0.123,0.133,102.38,103.74,86.45,103.74,0.06,216,12,23,0.4,0.8,0.522,56,62,387,177,136,207,185,185,197,245,245,180,191,191,284,214,278,58,140,90,357,358,143,143,252,253,204,263,263,255,84,102,151,188,90
Players,202683,Enes Freedom,Enes,1610612738,BOS,28.0,13,7,6,0.538,0.8,132.4,110.0,110.0,111.4,88.5,88.5,21.0,21.5,21.5,0.2,0.0,20.0,0.111,0.5,0.316,0.0,0.0,0.667,0.773,0.125,0.15,100.81,123.91,103.26,123.91,0.204,30,2,3,0.2,0.2,0.667,215,198,208,162,412,54,176,176,213,69,69,87,79,79,73,219,95,48,3,6,1,1,65,51,242,222,248,69,69,32,233,289,286,354,40
Players,202330,Gordon Hayward,Gordon,1610612738,BOS,30.0,26,15,11,0.577,3.6,107.9,106.2,106.2,99.4,98.6,98.6,8.6,7.7,7.7,0.133,2.67,17.0,0.067,0.139,0.105,6.4,6.5,0.403,0.494,0.159,0.167,104.35,105.62,88.02,105.62,0.131,209,11,31,0.4,1.2,0.355,98,62,320,144,70,248,218,218,109,126,126,150,146,146,125,45,126,109,146,127,261,263,257,264,182,187,169,225,225,119,92,74,147,93,241
Players,1629684,Grant Williams,Grant,1610612738,BOS,21.0,18,9,9,0.5,1.4,120.5,115.7,115.7,106.7,103.1,103.1,13.7,12.6,12.6,0.042,0.5,16.7,0.0,0.069,0.036,33.3,31.6,1.0,1.054,0.066,0.077,124.41,129.15,107.62,129.15,0.024,70,2,2,0.1,0.1,1.0,178,157,279,177,367,123,114,114,166,185,185,120,115,115,248,191,130,273,291,333,439,439,10,17,375,370,33,51,51,324,233,313,310,387,1
Players,1629750,Javonte Green,Javonte,1610612738,BOS,26.0,5,1,4,0.2,1.4,67.8,63.6,63.6,123.8,123.5,123.5,-56.0,-59.9,-59.9,0.0,0.0,0.0,0.2,0.1,0.133,50.0,50.0,0.0,0.0,0.308,0.325,94.23,96.71,80.59,96.71,-0.529,11,0,2,0.0,0.4,0.0,331,358,148,401,366,419,419,419,336,371,371,410,421,421,285,219,285,11,221,65,448,448,340,365,39,40,387,407,407,451,340,313,340,297,340
Players,1627759,Jaylen Brown,Jaylen,1610612738,BOS,23.0,30,16,14,0.533,3.3,113.7,115.7,115.7,108.1,105.7,105.7,5.6,10.1,10.1,0.03,0.5,4.2,0.026,0.183,0.103,8.3,8.6,0.544,0.591,0.179,0.18,105.02,105.25,87.71,105.25,0.107,216,15,34,0.5,1.1,0.441,56,49,367,164,123,185,113,113,185,209,209,161,133,133,268,191,271,212,76,131,286,292,142,159,147,167,154,232,232,156,67,69,102,107,164
Players,1628369,Jayson Tatum,Jayson,1610612738,BOS,22.0,38,21,17,0.553,3.5,114.2,114.0,114.0,108.9,107.1,107.1,5.4,6.8,6.8,0.208,1.67,13.3,0.027,0.1,0.064,8.0,8.1,0.568,0.616,0.282,0.293,106.17,107.15,89.3,107.15,0.164,301,37,74,1.0,1.9,0.5,7,15,410,159,89,177,132,132,189,223,223,165,150,150,71,91,166,206,221,244,283,283,122,126,57,56,132,195,195,74,5,10,25,43,96
Players,202689,Kemba Walker,Kemba,1610612738,BOS,30.0,27,15,12,0.556,3.1,113.9,115.4,115.4,109.5,107.4,107.4,4.3,8.0,8.0,0.264,2.0,18.2,0.053,0.13,0.091,9.1,9.2,0.478,0.534,0.288,0.294,103.75,103.99,86.66,103.99,0.149,188,16,46,0.6,1.7,0.348,84,62,341,150,154,182,117,117,199,226,226,171,142,142,58,63,114,128,165,152,302,305,209,220,51,55,183,257,257,95,61,50,81,58,245
