player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank
203083,Andre Drummond,Andre,1610612765,DET,22.0,81,43,38,0.531,32.9,104.3,105.9,105.9,102.3,103.6,103.6,2.0,2.4,2.4,0.042,0.43,4.3,0.135,0.309,0.217,0.1,0.10099999999999999,0.522,0.499,0.239,0.24,97.45,96.09,80.08,96.09,0.14,5336,552,1060,6.8,13.1,0.521,19,81,353,192,49,165,114,114,150,208,208,138,124,124,430,440,456,8,4,3,188,195,145,347,62,71,278,368,368,38,20,31,32,54,74
201229,Anthony Tolliver,Anthony,1610612765,DET,31.0,72,36,36,0.5,18.6,101.7,102.3,102.3,102.4,102.4,102.4,-0.7,0.0,0.0,0.058,1.86,12.1,0.026,0.143,0.081,0.065,0.065,0.533,0.543,0.122,0.125,96.35,96.06,80.05,96.06,0.076,2687,128,332,1.8,4.6,0.386,157,151,331,224,260,288,267,267,156,160,160,218,199,199,393,128,291,265,180,232,41,41,119,200,438,438,349,369,369,305,274,254,335,304,388
203382,Aron Baynes,Aron,1610612765,DET,29.0,81,43,38,0.531,15.2,100.9,101.0,101.0,105.6,104.4,104.4,-4.7,-3.4,-3.4,0.07,0.76,8.8,0.106,0.202,0.152,0.11599999999999999,0.11699999999999999,0.505,0.563,0.184,0.187,96.99,97.48,81.24,97.48,0.112,2518,194,384,2.4,4.7,0.505,19,81,353,192,314,320,310,310,298,247,247,331,302,302,361,391,388,33,59,45,297,300,198,125,211,213,302,272,272,107,210,224,265,300,95
203946,Cameron Bairstow,Cameron,1610612765,DET,25.0,18,4,14,0.222,5.7,91.2,92.3,92.3,98.3,94.6,94.6,-7.1,-2.3,-2.3,0.091,1.5,11.1,0.034,0.203,0.12,0.07400000000000001,0.075,0.338,0.391,0.196,0.198,102.75,104.09,86.74,104.09,0.052,221,13,40,0.7,2.2,0.325,417,434,104,426,450,460,447,447,53,19,19,381,275,275,275,207,324,221,55,112,62,65,462,455,166,187,22,18,18,415,425,424,439,421,451
1626199,Darrun Hilliard,Darrun,1610612765,DET,23.0,38,17,21,0.447,10.1,102.3,100.6,100.6,102.3,102.3,102.3,0.0,-1.7,-1.7,0.117,1.42,13.8,0.013,0.103,0.057,0.09699999999999999,0.098,0.469,0.511,0.19,0.198,96.1,96.87,80.73,96.87,0.073,778,52,131,1.4,3.4,0.397,351,325,163,283,397,260,325,325,151,159,159,193,252,252,197,237,241,408,311,351,172,176,323,306,187,184,359,315,315,328,363,359,373,364,372
201975,Jodie Meeks,Jodie,1610612765,DET,28.0,3,3,0,1.0,14.5,100.4,96.6,96.6,88.0,92.7,92.7,12.4,3.9,3.9,0.143,3.0,11.5,0.022,0.089,0.056,0.038,0.039,0.45,0.506,0.232,0.243,94.42,93.82,78.18,93.82,0.103,88,7,20,2.3,6.7,0.35,466,441,1,1,337,345,418,418,4,8,8,18,92,92,159,19,311,298,378,359,18,18,377,327,75,63,444,455,455,147,445,442,271,211,439
201202,Joel Anthony,Joel,1610612765,DET,33.0,19,12,7,0.632,5.0,95.8,91.7,91.7,102.8,102.7,102.7,-7.0,-11.0,-11.0,0.02,0.5,5.9,0.077,0.135,0.105,0.11800000000000001,0.121,0.6,0.666,0.071,0.074,93.19,95.29,79.41,95.29,0.077,192,6,10,0.3,0.5,0.6,415,369,49,99,454,435,448,448,174,172,172,379,424,424,460,432,442,95,205,153,306,330,23,8,474,474,461,401,401,298,447,455,470,473,16
203484,Kentavious Caldwell-Pope,Kentavious,1610612765,DET,23.0,76,41,35,0.539,36.7,104.6,106.5,106.5,102.6,103.9,103.9,2.0,2.6,2.6,0.075,1.31,10.6,0.023,0.077,0.048,0.081,0.081,0.479,0.521,0.177,0.18,97.95,96.45,80.37,96.45,0.077,5616,403,960,5.3,12.6,0.42,109,96,322,183,5,144,98,98,165,227,227,137,117,117,336,257,335,292,422,414,83,82,291,277,231,241,245,348,348,302,62,49,72,59,305
203485,Lorenzo Brown,Lorenzo,1610612765,DET,25.0,8,1,7,0.125,7.6,89.6,89.8,89.8,118.7,114.3,114.3,-29.1,-24.5,-24.5,0.306,1.22,23.9,0.0,0.146,0.063,0.196,0.192,0.34,0.374,0.248,0.261,98.22,99.98,83.32,99.98,0.047,127,8,25,1.0,3.1,0.32,443,459,49,457,427,465,456,456,462,458,458,466,462,462,29,278,73,461,173,319,460,460,461,461,48,41,222,122,122,432,441,434,410,378,453
202694,Marcus Morris Sr.,Marcus,1610612765,DET,26.0,80,42,38,0.525,35.7,104.9,106.3,106.3,103.1,104.0,104.0,1.8,2.4,2.4,0.107,1.44,14.3,0.03,0.114,0.07,0.1,0.1,0.491,0.531,0.182,0.184,97.36,96.26,80.22,96.26,0.086,5739,410,945,5.1,11.8,0.434,44,90,353,202,12,136,103,103,189,231,231,142,126,126,220,234,226,242,275,275,185,185,251,243,215,219,284,361,361,248,58,52,84,76,254
