close_def_person_id,player,team_id,team,pos,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
201572,Brook Lopez,1610612751,BKN,C,28.0,73,73,1.0,504,1104,0.457,0.479,-0.023
201152,Thaddeus Young,1610612751,BKN,F,28.0,73,73,1.0,428,901,0.475,0.459,0.016
202711,Bojan Bogdanović,1610612751,BKN,G-F,27.0,79,79,1.0,360,710,0.507,0.44,0.067
203499,Shane Larkin,1610612751,BKN,G,23.0,77,77,1.0,251,570,0.44,0.431,0.009
201961,Wayne Ellington,1610612751,BKN,G,28.0,76,76,1.0,223,476,0.468,0.434,0.035
202388,Donald Sloan,1610612751,BKN,G,28.0,59,59,1.0,220,451,0.488,0.433,0.054
203080,Thomas Robinson,1610612751,BKN,F,25.0,67,67,1.0,172,360,0.478,0.466,0.012
101127,Jarrett Jack,1610612751,BKN,G,32.0,32,32,1.0,164,346,0.474,0.443,0.031
203900,Markel Brown,1610612751,BKN,G,24.0,55,55,1.0,156,304,0.513,0.436,0.077
1626178,Rondae Hollis-Jefferson,1610612751,BKN,G-F,21.0,29,29,1.0,117,258,0.453,0.448,0.006
200745,Andrea Bargnani,1610612751,BKN,C-F,30.0,45,45,1.0,116,209,0.555,0.458,0.097
203186,Willie Reed,1610612751,BKN,F-C,26.0,37,37,1.0,105,197,0.533,0.464,0.069
1626191,Chris McCullough,1610612751,BKN,F,21.0,23,23,1.0,70,154,0.455,0.443,0.011
203508,Sergey Karasev,1610612751,BKN,G-F,22.0,35,35,1.0,69,149,0.463,0.442,0.021
203930,Sean Kilpatrick,1610612751,BKN,G,26.0,30,30,1.0,75,148,0.507,0.43,0.077
203156,Henry Sims,1610612751,BKN,C-F,26.0,14,14,1.0,83,125,0.664,0.48,0.184
202712,Justin Harper,1610612751,BKN,F-C,26.0,2,2,1.0,4,9,0.444,0.438,0.006
