GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,203991,Clint Capela,Clint,1610612745,HOU,22.0,23,13,10,0.565,30.666666666666668,4.7,1.2,4.7,7.0,14.1,12.9,0.0,21.1,4.7,0.0,5.9,5.9,29.1,173,129,238,135,246,37,194,21,107,344,330,1,342,10,1,322,81,176
Players,201147,Corey Brewer,Corey,1610612745,HOU,30.0,33,19,14,0.576,74.03833333333333,2.9,1.5,7.8,3.9,9.7,7.3,2.9,26.3,0.0,0.0,4.9,5.3,24.3,81,64,298,121,146,87,186,5,205,201,101,119,247,200,1,277,92,241
Players,202700,Donatas Motiejunas,Donatas,1610612745,HOU,25.0,6,3,3,0.5,4.73,0.0,0.0,0.0,0.0,15.2,30.4,15.2,60.9,0.0,0.0,7.6,7.6,9.1,312,293,109,188,369,234,237,175,303,364,426,410,13,200,1,372,41,385
Players,2730,Dwight Howard,Dwight,1610612745,HOU,30.0,39,21,18,0.538,151.11833333333334,1.0,2.1,0.5,5.2,9.8,8.6,7.1,28.6,1.9,0.5,3.1,6.7,34.1,32,33,361,161,30,209,141,167,161,203,154,280,186,57,268,143,59,129
Players,201935,James Harden,James,1610612745,HOU,26.0,49,28,21,0.571,194.42166666666665,2.2,1.5,5.2,6.3,10.9,9.8,5.7,27.0,1.5,1.7,4.1,11.7,54.8,3,4,402,127,5,131,184,16,123,236,209,215,217,82,380,209,11,21
Players,1891,Jason Terry,Jason,1610612745,HOU,38.0,33,19,14,0.576,57.83833333333333,4.4,0.0,1.9,6.2,9.3,8.7,10.6,26.1,0.0,0.0,3.7,5.0,26.5,81,64,298,121,178,45,237,89,126,191,162,376,254,200,1,192,112,220
Players,2746,Josh Smith,Josh,1610612745,HOU,30.0,7,3,4,0.429,8.455,0.0,0.0,0.0,0.0,21.3,25.5,0.0,59.6,0.0,0.0,8.5,4.3,10.2,301,293,127,269,340,234,237,175,303,401,417,1,14,200,1,387,135,381
Players,203909,KJ McDaniels,KJ,1610612745,HOU,23.0,3,1,2,0.333,4.9816666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,8.7,357,362,75,330,368,234,237,175,303,1,1,1,401,200,1,363,326,387
Players,201563,Michael Beasley,Michael,1610612745,HOU,27.0,9,3,6,0.333,23.116666666666667,3.1,6.2,3.1,9.3,10.9,9.3,0.0,15.6,0.0,0.0,4.7,1.6,27.4,289,293,174,330,269,83,23,43,61,234,187,1,385,200,1,262,285,202
Players,1626149,Montrezl Harrell,Montrezl,1610612745,HOU,22.0,2,2,0,1.0,5.428333333333334,0.0,0.0,0.0,0.0,13.3,0.0,13.3,13.3,0.0,0.0,0.0,0.0,8.0,374,326,1,1,359,234,237,175,303,320,1,403,393,200,1,1,326,390
Players,201976,Patrick Beverley,Patrick,1610612745,HOU,27.0,38,21,17,0.553,133.45,2.2,1.3,0.3,1.1,11.1,9.2,4.6,29.7,0.0,0.3,4.3,3.0,23.6,38,33,341,147,51,136,190,173,294,243,175,164,156,200,236,232,213,249
Players,203093,Terrence Jones,Terrence,1610612745,HOU,24.0,9,8,1,0.889,26.145,0.0,2.8,2.8,11.0,5.5,17.9,6.9,27.5,1.4,1.4,4.1,4.1,34.7,289,195,31,33,256,234,106,52,41,94,394,271,204,85,364,214,141,124
Players,2772,Trevor Ariza,Trevor,1610612745,HOU,31.0,47,27,20,0.574,188.5533333333333,2.1,1.5,2.5,2.7,11.3,9.7,5.5,26.7,0.0,0.4,3.1,1.0,23.5,5,8,395,125,9,140,181,63,249,253,206,204,226,200,250,139,311,251
