season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2017-18,1610612755,41700121,2018-04-14,MIA,PHI,1610612748,130,103,W,27,rnd1,1
2017-18,1610612755,41700122,2018-04-16,MIA,PHI,1610612748,103,113,L,-10,rnd1,2
2017-18,1610612755,41700123,2018-04-19,PHI,MIA,1610612748,128,108,W,20,rnd1,3
2017-18,1610612755,41700124,2018-04-21,PHI,MIA,1610612748,106,102,W,4,rnd1,4
2017-18,1610612755,41700125,2018-04-24,MIA,PHI,1610612748,104,91,W,13,rnd1,5
2017-18,1610612755,41700211,2018-04-30,PHI,BOS,1610612738,101,117,L,-16,sf,1
2017-18,1610612755,41700212,2018-05-03,PHI,BOS,1610612738,103,108,L,-5,sf,2
2017-18,1610612755,41700213,2018-05-05,BOS,PHI,1610612738,98,101,L,-3,sf,3
2017-18,1610612755,41700214,2018-05-07,BOS,PHI,1610612738,103,92,W,11,sf,4
2017-18,1610612755,41700215,2018-05-09,PHI,BOS,1610612738,112,114,L,-2,sf,5
