team_id,team_name,gp,w,l,w_pct,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,team
1610612738,Boston Celtics,8,5,3,0.625,39.0,0.516,0.806,0.081,0.351,0.507,0.338,0.123,0.3,2,2,10,4,2,6,2,6,10,10,5,7,6,BOSTON CELTICS
1610612739,Cleveland Cavaliers,10,7,3,0.7,41.0,0.464,0.5,0.086,0.391,0.388,0.343,0.114,0.38,1,1,10,3,1,9,6,8,7,3,6,8,9,CLEVELAND CAVALIERS
1610612744,Golden State Warriors,7,4,3,0.571,22.0,0.544,0.441,0.114,0.25,0.389,0.5,0.128,0.444,3,3,10,5,4,5,8,11,12,4,9,6,14,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,4,4,0,1.0,13.0,0.435,0.435,0.107,0.25,0.286,0.429,0.192,0.389,7,3,1,1,8,12,9,10,12,1,7,1,11,HOUSTON ROCKETS
1610612754,Indiana Pacers,5,1,4,0.2,13.0,0.295,0.273,0.167,0.368,0.568,0.773,0.061,0.231,4,9,15,13,7,15,14,13,9,13,15,12,4,INDIANA PACERS
1610612748,Miami Heat,2,1,1,0.5,5.0,0.444,0.556,0.0,0.375,0.364,0.455,0.167,0.667,14,9,2,6,14,11,4,1,8,2,8,2,16,MIAMI HEAT
1610612749,Milwaukee Bucks,4,2,2,0.5,16.0,0.586,0.448,0.081,0.235,0.583,1.083,0.132,0.429,7,6,6,6,6,3,7,5,14,14,16,5,13,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,1,0,1,0.0,2.0,0.2,0.4,0.2,0.5,0.625,0.5,0.143,0.0,16,15,2,15,16,16,10,15,3,16,9,3,1,MINNESOTA TIMBERWOLVES
1610612740,New Orleans Pelicans,4,3,1,0.75,11.0,0.609,0.522,0.08,0.538,0.559,0.294,0.143,0.333,7,5,2,2,10,2,5,4,2,12,3,3,7,NEW ORLEANS PELICANS
1610612760,Oklahoma City Thunder,3,1,2,0.333,10.0,0.346,0.077,0.0,0.444,0.464,0.714,0.05,0.111,11,9,6,11,12,13,16,1,4,8,14,13,3,OKLAHOMA CITY THUNDER
1610612755,Philadelphia 76ers,5,1,4,0.2,24.0,0.456,0.244,0.18,0.44,0.537,0.61,0.038,0.333,4,9,15,13,3,10,15,14,5,11,13,14,7,PHILADELPHIA 76ERS
1610612757,Portland Trail Blazers,3,0,3,0.0,11.0,0.559,0.294,0.15,0.333,0.609,0.522,0.08,0.538,11,15,10,15,11,4,12,12,11,15,11,10,15,PORTLAND TRAIL BLAZERS
1610612759,San Antonio Spurs,2,1,1,0.5,2.0,1.0,1.0,0.2,1.0,0.4,0.6,0.0,0.0,14,9,2,6,15,1,1,15,1,6,12,15,1,SAN ANTONIO SPURS
1610612761,Toronto Raptors,5,2,3,0.4,21.0,0.333,0.278,0.086,0.393,0.5,0.306,0.081,0.381,4,6,10,10,5,14,13,7,6,9,4,9,10,TORONTO RAPTORS
1610612762,Utah Jazz,4,2,2,0.5,12.0,0.5,0.625,0.091,0.2,0.397,0.069,0.0,0.421,7,6,6,6,9,7,3,9,15,5,1,15,12,UTAH JAZZ
1610612764,Washington Wizards,3,1,2,0.333,6.0,0.5,0.4,0.0,0.2,0.458,0.167,0.077,0.25,11,9,6,11,13,7,10,1,15,7,2,11,5,WASHINGTON WIZARDS
