season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end
2015-16,1610612744,GSW,Golden State Warriors,41500407,2016-06-19T00:00:00,GSW vs. CLE,L,48.0,24.0,62.3,0.386,11.3,30.8,0.366,7.5,9.8,0.769,5.3,24.0,29.3,16.5,7.5,5.3,3.8,4.5,17.3,11.3,66.8,-3.0,1,87,87,87,11,138,77,147,14,4,69,155,157,74,132,85,123,55,28,78,71,105,108,161,132,97,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500407,2016-06-19T00:00:00,CLE @ GSW,W,48.0,24.8,61.5,0.402,4.5,18.8,0.24,15.8,18.8,0.84,6.8,29.3,36.0,12.8,8.3,5.3,4.5,3.8,11.3,17.3,69.8,3.0,1,1,1,1,11,122,88,131,121,78,144,46,66,37,101,16,32,114,50,78,44,86,10,51,115,71,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500406,2016-06-16T00:00:00,CLE vs. GSW,W,48.0,30.0,57.8,0.519,7.5,20.3,0.37,18.8,24.0,0.781,6.0,27.8,33.8,18.0,9.0,9.0,5.3,2.3,18.8,18.8,86.3,10.5,1,1,1,1,11,30,137,15,54,67,67,20,25,69,120,30,54,28,64,8,25,30,138,21,22,35,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500406,2016-06-16T00:00:00,GSW @ CLE,L,48.0,24.8,61.5,0.402,11.3,29.3,0.385,15.0,21.8,0.69,6.8,19.5,26.3,14.3,10.5,3.8,2.3,5.3,18.8,18.8,75.8,-10.5,1,87,87,87,11,122,88,131,14,8,58,56,42,122,101,148,152,88,101,127,121,132,138,21,70,134,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500405,2016-06-13T00:00:00,GSW vs. CLE,L,48.0,24.0,66.0,0.364,10.5,32.3,0.326,14.3,19.5,0.731,9.8,22.5,32.3,13.5,12.8,4.5,6.8,6.8,15.8,16.5,72.8,-11.3,1,87,87,87,11,138,32,158,20,3,99,65,58,103,39,110,78,105,139,103,10,157,81,67,95,139,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500405,2016-06-13T00:00:00,CLE @ GSW,W,48.0,33.0,62.3,0.53,7.5,18.0,0.417,10.5,17.3,0.609,6.0,24.8,30.8,11.3,12.0,8.3,6.8,6.8,16.5,15.8,84.0,11.3,1,1,1,1,11,8,77,12,54,89,48,110,85,155,120,69,98,137,125,12,10,157,90,84,31,32,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500404,2016-06-10T00:00:00,GSW @ CLE,W,48.0,24.8,60.8,0.407,12.8,27.0,0.472,18.8,23.3,0.806,10.5,21.8,32.3,17.3,6.8,5.3,4.5,4.5,16.5,18.0,81.0,8.3,1,1,1,1,11,122,99,127,6,15,23,20,30,57,31,124,78,37,12,78,44,105,90,37,38,46,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500404,2016-06-10T00:00:00,CLE vs. GSW,L,48.0,28.5,60.8,0.469,4.5,18.8,0.24,11.3,19.5,0.577,12.0,18.0,30.0,11.3,8.3,3.8,4.5,4.5,18.0,16.5,72.8,-8.3,1,87,87,87,11,60,99,52,121,78,144,101,58,163,10,160,110,137,50,127,44,105,123,67,95,123,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500403,2016-06-08T00:00:00,GSW @ CLE,L,48.0,24.0,57.0,0.421,6.8,24.8,0.273,12.8,19.5,0.654,6.0,18.0,24.0,15.8,13.5,3.8,3.0,2.3,17.3,18.8,67.5,-22.5,1,87,87,87,11,138,144,107,70,28,126,82,58,145,120,160,164,67,151,127,89,30,108,21,127,163,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500403,2016-06-08T00:00:00,CLE vs. GSW,W,48.0,36.0,68.3,0.527,9.0,18.8,0.48,9.0,12.8,0.706,12.8,26.3,39.0,17.3,10.5,6.0,2.3,3.0,18.8,17.3,90.0,22.5,1,1,1,1,11,3,15,14,35,78,20,140,131,113,8,45,16,37,101,53,121,54,138,51,10,10,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500402,2016-06-05T00:00:00,CLE @ GSW,L,48.0,21.0,59.3,0.354,3.8,17.3,0.217,12.0,18.0,0.667,6.8,18.8,25.5,11.3,13.5,11.3,2.3,6.8,14.3,15.0,57.8,-24.8,1,87,87,87,11,162,117,163,141,99,157,86,74,135,101,155,158,137,151,2,121,157,55,94,167,168,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500402,2016-06-05T00:00:00,GSW vs. CLE,W,48.0,33.0,60.8,0.543,11.3,24.8,0.455,5.3,7.5,0.7,9.0,25.5,34.5,19.5,15.8,5.3,6.8,2.3,15.0,14.3,82.5,24.8,1,1,1,1,11,8,99,8,14,28,30,168,167,116,50,56,46,17,170,78,10,30,67,109,35,3,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500401,2016-06-02T00:00:00,GSW vs. CLE,W,48.0,32.3,65.3,0.494,6.8,20.3,0.333,6.8,7.5,0.9,6.8,24.0,30.8,21.8,6.8,6.8,3.0,3.0,12.0,12.8,78.0,11.3,1,1,1,1,11,13,41,28,70,67,87,162,167,9,101,85,98,5,12,37,89,54,14,134,56,32,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500401,2016-06-02T00:00:00,CLE @ GSW,L,48.0,24.0,63.0,0.381,5.3,15.8,0.333,13.5,15.0,0.9,11.3,24.0,35.3,12.8,12.8,5.3,3.0,3.0,12.8,12.0,66.8,-11.3,1,87,87,87,11,138,67,151,104,118,87,72,107,9,19,85,42,114,139,78,89,54,27,147,132,139,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500317,2016-05-30T00:00:00,GSW vs. OKC,W,48.0,27.8,63.8,0.435,12.8,27.8,0.459,3.8,6.0,0.625,7.5,27.0,34.5,15.0,8.3,3.0,3.0,3.8,12.0,8.3,72.0,6.0,1,1,1,1,11,75,56,87,6,12,29,171,170,151,78,37,46,78,50,149,89,86,14,170,101,58,1.0,2015,2016
2015-16,1610612760,OKC,Oklahoma City Thunder,41500317,2016-05-30T00:00:00,OKC @ GSW,L,48.0,25.5,66.8,0.382,5.3,20.3,0.259,9.8,12.8,0.765,10.5,24.8,35.3,15.0,5.3,2.3,3.8,3.0,8.3,12.0,66.0,-6.0,1,87,87,87,11,109,26,149,104,67,138,126,131,76,31,69,42,78,5,161,71,54,2,147,139,112,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500316,2016-05-28T00:00:00,GSW @ OKC,W,48.0,27.0,66.0,0.409,15.8,33.8,0.467,11.3,18.0,0.625,9.8,23.3,33.0,17.3,11.3,8.3,3.0,7.5,18.8,16.5,81.0,5.3,1,1,1,1,11,85,32,124,2,1,26,101,74,151,39,99,64,37,118,12,89,165,138,67,38,62,1.0,2015,2016
2015-16,1610612760,OKC,Oklahoma City Thunder,41500316,2016-05-28T00:00:00,OKC vs. GSW,L,48.0,28.5,67.5,0.422,2.3,17.3,0.13,16.5,24.0,0.688,12.0,24.8,36.8,12.0,11.3,6.8,7.5,3.0,16.5,18.8,75.8,-5.3,1,87,87,87,11,60,22,106,166,99,170,39,25,123,10,69,29,125,118,37,4,54,90,21,70,110,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500306,2016-05-27T00:00:00,CLE @ TOR,W,48.0,30.0,55.5,0.541,12.8,23.3,0.548,12.0,15.8,0.762,3.0,25.5,28.5,16.5,8.3,4.5,4.5,1.5,13.5,14.3,84.8,19.5,1,1,1,1,11,30,155,9,6,38,7,86,95,80,164,56,129,55,50,103,44,14,41,109,29,17,1.0,2015,2016
2015-16,1610612761,TOR,Toronto Raptors,41500306,2016-05-27T00:00:00,TOR vs. CLE,L,48.0,24.8,59.3,0.418,6.0,18.8,0.32,9.8,12.8,0.765,5.3,19.5,24.8,7.5,9.8,4.5,1.5,4.5,14.3,13.5,65.3,-19.5,1,87,87,87,11,122,117,114,87,78,103,126,131,76,132,148,160,169,84,103,145,105,55,120,142,154,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500315,2016-05-26T00:00:00,GSW vs. OKC,W,48.0,30.0,63.8,0.471,6.8,18.0,0.375,23.3,25.5,0.912,8.3,25.5,33.8,18.8,12.0,9.8,5.3,1.5,13.5,19.5,90.0,6.8,1,1,1,1,11,30,56,46,70,89,64,2,16,8,63,56,54,25,125,5,25,14,41,15,10,54,1.0,2015,2016
2015-16,1610612760,OKC,Oklahoma City Thunder,41500315,2016-05-26T00:00:00,OKC @ GSW,L,48.0,29.3,68.3,0.429,9.8,22.5,0.433,15.0,18.0,0.833,9.8,24.0,33.8,17.3,12.8,6.0,1.5,5.3,19.5,13.5,83.3,-6.8,1,87,87,87,11,48,15,96,27,47,42,56,74,41,39,85,54,37,139,53,145,132,153,120,32,117,1.0,2015,2016
2015-16,1610612761,TOR,Toronto Raptors,41500305,2016-05-25T00:00:00,TOR @ CLE,L,48.0,20.3,51.8,0.391,2.3,12.8,0.176,15.8,26.3,0.6,3.8,16.5,20.3,14.3,14.3,6.8,2.3,4.5,18.8,19.5,58.5,-28.5,1,87,87,87,11,167,169,143,166,148,166,46,11,159,157,168,171,88,160,37,121,105,138,15,165,171,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500305,2016-05-25T00:00:00,CLE vs. TOR,W,48.0,33.0,57.8,0.571,7.5,15.8,0.476,13.5,18.0,0.75,7.5,28.5,36.0,17.3,12.8,8.3,4.5,2.3,19.5,18.8,87.0,28.5,1,1,1,1,11,8,137,5,54,118,21,72,74,89,78,22,32,37,139,12,44,30,153,21,19,1,1.0,2015,2016
2015-16,1610612760,OKC,Oklahoma City Thunder,41500314,2016-05-24T00:00:00,OKC vs. GSW,W,48.0,29.3,67.5,0.433,6.8,19.5,0.346,23.3,30.0,0.775,12.0,30.0,42.0,17.3,13.5,12.0,6.0,3.0,16.5,19.5,88.5,18.0,1,1,1,1,11,48,22,89,70,73,82,2,2,72,10,12,3,37,151,1,17,54,90,15,15,21,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,41500314,2016-05-24T00:00:00,GSW @ OKC,L,48.0,24.8,60.0,0.413,6.8,22.5,0.3,14.3,21.8,0.655,6.0,24.0,30.0,11.3,15.8,8.3,3.0,6.0,19.5,16.5,70.5,-18.0,1,87,87,87,11,122,112,122,70,47,114,65,42,144,120,85,110,137,170,12,89,149,153,67,112,152,1.0,2015,2016
2015-16,1610612739,CLE,Cleveland Cavaliers,41500304,2016-05-23T00:00:00,CLE @ TOR,L,48.0,29.3,62.3,0.47,9.8,30.8,0.317,6.0,6.8,0.889,7.5,21.0,28.5,17.3,8.3,3.8,1.5,2.3,12.8,12.0,74.3,-4.5,1,87,87,87,11,48,77,50,27,4,108,165,169,15,78,133,129,37,50,127,145,30,27,147,82,106,1.0,2015,2016
2015-16,1610612761,TOR,Toronto Raptors,41500304,2016-05-23T00:00:00,TOR vs. CLE,W,48.0,31.5,58.5,0.538,5.3,16.5,0.318,10.5,14.3,0.737,6.8,19.5,26.3,12.8,6.8,6.0,2.3,1.5,12.0,12.8,78.8,4.5,1,1,1,1,11,19,129,10,104,109,105,110,113,98,101,148,152,114,12,53,121,14,14,134,54,66,1.0,2015,2016
