season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2017-18,1610612761,41700101,2018-04-14,WAS,TOR,1610612764,114,106,W,rnd1,1
2017-18,1610612761,41700102,2018-04-17,WAS,TOR,1610612764,130,119,W,rnd1,2
2017-18,1610612761,41700103,2018-04-20,TOR,WAS,1610612764,103,122,L,rnd1,3
2017-18,1610612761,41700104,2018-04-22,TOR,WAS,1610612764,98,106,L,rnd1,4
2017-18,1610612761,41700105,2018-04-25,WAS,TOR,1610612764,108,98,W,rnd1,5
2017-18,1610612761,41700106,2018-04-27,TOR,WAS,1610612764,102,92,W,rnd1,6
2017-18,1610612761,41700201,2018-05-01,CLE,TOR,1610612739,112,113,L,sf,1
2017-18,1610612761,41700202,2018-05-03,CLE,TOR,1610612739,110,128,L,sf,2
2017-18,1610612761,41700203,2018-05-05,TOR,CLE,1610612739,103,105,L,sf,3
2017-18,1610612761,41700204,2018-05-07,TOR,CLE,1610612739,93,128,L,sf,4
