GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,101161,Amir Johnson,Amir,1610612738,BOS,29.0,32,15,17,0.469,69.49666666666667,4.8,8.3,0.583,0.0,0.0,0.0,4.1,6.9,0.6,3.5,8.3,11.7,2.8,2.8,1.4,2.8,0.0,8.3,4.8,13.8,-5.5,41.7,7,0,36.6,94,109,77,243,156,216,301,67,209,275,209,199,168,239,104,116,102,159,109,126,48,206,102,171,232,254,161,49,13,187
Players,202340,Avery Bradley,Avery,1610612738,BOS,25.0,41,22,19,0.537,135.1266666666667,9.2,18.8,0.491,3.2,10.3,0.31,1.8,2.5,0.714,0.7,2.8,3.6,2.5,1.4,1.8,1.1,0.7,6.4,1.1,23.4,6.7,38.5,0,0,38.4,22,25,43,165,45,79,111,125,51,45,113,273,283,199,242,328,342,176,214,85,132,161,167,318,124,157,180,190,13,169
Players,202323,Evan Turner,Evan,1610612738,BOS,27.0,37,20,17,0.541,95.05833333333334,8.1,18.2,0.444,0.0,1.5,0.0,4.5,6.1,0.75,2.5,7.6,10.1,3.5,2.0,1.5,1.5,2.0,3.5,5.6,20.7,21.7,45.2,3,0,40.4,51,45,77,158,110,102,122,146,209,249,209,187,195,171,136,137,148,122,156,109,101,65,323,140,153,81,132,93,13,142
Players,202738,Isaiah Thomas,Isaiah,1610612738,BOS,27.0,46,25,21,0.543,150.69833333333332,12.1,26.8,0.452,2.2,6.4,0.35,19.4,22.0,0.884,0.6,4.8,5.4,8.3,3.5,1.0,0.3,2.9,5.7,13.1,45.9,10.5,65.1,6,0,64.3,9,11,26,156,31,42,36,145,93,129,84,11,14,94,252,250,286,35,74,177,189,36,207,22,17,132,35,60,13,27
Players,203109,Jae Crowder,Jae,1610612738,BOS,25.0,39,20,19,0.513,134.56166666666667,7.1,13.9,0.513,3.6,8.2,0.435,5.0,5.7,0.875,2.1,7.1,9.3,4.3,2.9,2.5,0.7,0.0,8.6,3.2,22.8,0.7,47.2,2,0,46.4,32,45,43,185,48,135,185,94,41,87,59,172,204,96,156,155,174,93,104,50,157,206,99,245,129,202,115,103,13,101
Players,203923,James Young,James,1610612738,BOS,20.0,2,0,2,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.9,0.0,0,0,0.0,374,408,329,408,396,342,379,342,209,275,209,299,312,299,270,356,370,287,282,237,200,206,375,326,359,383,400,190,13,400
Players,203096,Jared Sullinger,Jared,1610612738,BOS,24.0,34,19,15,0.559,83.67833333333333,6.9,17.8,0.387,1.1,4.0,0.286,4.6,6.3,0.727,4.0,11.5,15.5,5.7,0.6,0.6,1.7,0.6,9.8,4.0,19.5,12.0,53.0,12,0,46.5,76,64,114,140,131,143,127,202,158,195,122,186,188,194,89,42,48,68,273,213,90,176,71,210,163,122,84,29,13,100
Players,201973,Jonas Jerebko,Jonas,1610612738,BOS,29.0,20,12,8,0.6,21.885,2.2,15.4,0.143,0.0,8.8,0.0,4.4,4.4,1.0,2.2,4.4,6.6,4.4,2.2,0.0,0.0,0.0,6.6,2.2,8.8,-13.2,21.1,0,0,19.7,196,144,215,103,277,308,162,333,209,77,209,192,243,1,154,272,242,89,138,237,200,206,157,279,305,293,336,190,13,333
Players,203482,Kelly Olynyk,Kelly,1610612738,BOS,25.0,19,8,11,0.421,31.641666666666666,7.6,21.2,0.357,1.5,7.6,0.2,6.1,6.1,1.0,0.0,12.1,12.1,4.6,0.0,0.0,0.0,3.0,4.6,4.6,22.8,4.6,44.1,0,0,41.0,203,195,174,278,239,118,86,236,140,103,167,134,193,1,270,36,95,86,282,237,200,31,274,183,130,175,143,190,13,137
Players,203935,Marcus Smart,Marcus,1610612738,BOS,22.0,32,17,15,0.531,54.975,2.6,10.5,0.25,0.9,6.1,0.143,6.1,10.5,0.583,3.5,7.0,10.5,2.6,3.5,2.6,1.7,1.7,10.5,8.7,12.2,-25.3,38.3,0,0,34.9,94,88,114,169,182,293,255,298,176,137,193,129,96,246,103,161,137,172,75,46,88,79,60,62,253,348,182,190,13,201
Players,1626179,Terry Rozier,Terry,1610612738,BOS,22.0,2,1,1,0.5,1.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.3,68.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.8,82.0,0,0,68.3,374,362,363,188,402,342,379,342,209,275,209,299,312,299,270,1,1,287,282,237,200,206,375,326,359,7,10,190,13,23
Players,203092,Tyler Zeller,Tyler,1610612738,BOS,26.0,2,2,0,1.0,1.3983333333333334,34.3,34.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,34.3,0.0,0.0,0.0,0.0,0.0,34.3,0.0,68.7,-137.3,109.8,0,0,103.0,374,326,407,1,403,5,14,1,209,275,209,299,312,299,1,356,5,287,282,237,200,206,12,326,6,422,4,190,13,4
