season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,available_flag,season_start,season_end,is_home,home,away,MON
2020-21,1610612740,NOP,New Orleans Pelicans,22001072,2021-05-16,NOP vs. LAL,L,48.0,0.679,0.321,0.571,0.02,0.276,0.153,0.153,0.092,0.551,0.75,0.25,0.556,0.444,0.703,0.297,0,0,0,0,113,393,1767,514,1951,1592,438,1008,1842,173,31,2123,2087,61,348,1804,1,2020,2021,True,NOP,LAL,MAY
2020-21,1610612740,NOP,New Orleans Pelicans,22001059,2021-05-14,NOP @ GSW,L,48.0,0.727,0.273,0.574,0.016,0.27,0.115,0.156,0.148,0.557,0.286,0.714,1.0,0.0,0.457,0.543,0,0,0,0,113,126,2034,509,2063,1634,995,971,1029,146,2089,68,1,1797,2020,140,1,2020,2021,False,GSW,NOP,MAY
2020-21,1610612740,NOP,New Orleans Pelicans,22000154,2021-05-12,NOP @ DAL,L,48.0,0.678,0.322,0.542,0.112,0.196,0.131,0.262,0.065,0.43,0.448,0.552,0.714,0.286,0.5,0.5,0,0,0,0,113,404,1748,779,568,2014,732,48,2043,1023,1454,687,1738,387,1823,273,1,2020,2021,False,DAL,NOP,MAY
2020-21,1610612740,NOP,New Orleans Pelicans,22001028,2021-05-10,NOP @ MEM,L,48.0,0.763,0.237,0.6,0.127,0.273,0.118,0.127,0.127,0.473,0.606,0.394,0.9,0.1,0.674,0.326,0,0,0,0,113,49,2112,330,389,1609,940,1440,1373,617,398,1754,706,1397,508,1641,1,2020,2021,False,MEM,NOP,MAY
2020-21,1610612740,NOP,New Orleans Pelicans,22001020,2021-05-09,NOP @ CHA,W,48.0,0.615,0.385,0.589,0.054,0.321,0.116,0.089,0.223,0.536,0.515,0.485,0.75,0.25,0.578,0.422,0,0,0,0,113,1006,1153,402,1498,1217,975,1944,191,243,1010,1137,1561,497,1280,876,1,2020,2021,False,CHA,NOP,MAY
2020-21,1610612740,NOP,New Orleans Pelicans,22001003,2021-05-07,NOP @ PHI,L,48.0,0.644,0.356,0.598,0.037,0.252,0.178,0.15,0.159,0.561,0.531,0.469,1.0,0.0,0.634,0.366,0,0,0,0,113,706,1455,348,1764,1768,240,1059,849,133,871,1276,1,1797,796,1347,1,2020,2021,False,PHI,NOP,MAY
2020-21,1610612740,NOP,New Orleans Pelicans,22000987,2021-05-04,NOP vs. GSW,W,48.0,0.691,0.309,0.5,0.093,0.333,0.111,0.167,0.157,0.407,0.593,0.407,1.0,0.0,0.718,0.282,0,0,0,0,113,310,1850,1148,841,1119,1037,789,873,1248,474,1679,1,1797,276,1872,1,2020,2021,True,NOP,GSW,MAY
2020-21,1610612740,NOP,New Orleans Pelicans,22000977,2021-05-03,NOP vs. GSW,L,48.0,0.722,0.278,0.63,0.074,0.139,0.13,0.231,0.157,0.556,0.441,0.559,1.0,0.0,0.513,0.487,0,0,0,0,113,138,2022,194,1143,2129,753,124,873,153,1506,646,1,1797,1761,387,1,2020,2021,True,NOP,GSW,MAY
2020-21,1610612740,NOP,New Orleans Pelicans,22000962,2021-05-01,NOP @ MIN,W,53.0,0.609,0.391,0.471,0.029,0.3,0.1,0.229,0.15,0.443,0.667,0.333,0.857,0.143,0.723,0.277,0,0,0,0,13,1071,1085,1446,1917,1399,1193,145,973,889,159,1965,967,1120,251,1907,1,2020,2021,False,MIN,NOP,MAY
2020-21,1610612740,NOP,New Orleans Pelicans,22000947,2021-04-29,NOP @ OKC,W,48.0,0.713,0.287,0.734,0.147,0.138,0.073,0.128,0.211,0.587,0.525,0.475,1.0,0.0,0.578,0.422,0,0,0,0,113,175,1984,8,248,2134,1586,1420,262,74,912,1247,1,1797,1280,876,1,2020,2021,False,OKC,NOP,APR
