season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2019-20,1610612738,41900121,2020-08-17,PHI,BOS,PHI,1610612755,109,101,W,8,rnd1,1
2019-20,1610612738,41900122,2020-08-19,PHI,BOS,PHI,1610612755,128,101,W,27,rnd1,2
2019-20,1610612738,41900123,2020-08-21,BOS,PHI,PHI,1610612755,102,94,W,8,rnd1,3
2019-20,1610612738,41900124,2020-08-23,BOS,PHI,PHI,1610612755,110,106,W,4,rnd1,4
2019-20,1610612738,41900211,2020-08-30,BOS,TOR,TOR,1610612761,112,94,W,18,sf,1
2019-20,1610612738,41900212,2020-09-01,BOS,TOR,TOR,1610612761,102,99,W,3,sf,2
2019-20,1610612738,41900213,2020-09-03,TOR,BOS,TOR,1610612761,103,104,L,-1,sf,3
2019-20,1610612738,41900214,2020-09-05,TOR,BOS,TOR,1610612761,93,100,L,-7,sf,4
2019-20,1610612738,41900215,2020-09-07,BOS,TOR,TOR,1610612761,111,89,W,22,sf,5
2019-20,1610612738,41900216,2020-09-09,TOR,BOS,TOR,1610612761,122,125,L,-3,sf,6
2019-20,1610612738,41900217,2020-09-11,BOS,TOR,TOR,1610612761,92,87,W,5,sf,7
2019-20,1610612738,41900301,2020-09-15,MIA,BOS,MIA,1610612748,114,117,L,-3,conf,1
2019-20,1610612738,41900302,2020-09-17,MIA,BOS,MIA,1610612748,101,106,L,-5,conf,2
2019-20,1610612738,41900303,2020-09-19,BOS,MIA,MIA,1610612748,117,106,W,11,conf,3
2019-20,1610612738,41900304,2020-09-23,BOS,MIA,MIA,1610612748,109,112,L,-3,conf,4
2019-20,1610612738,41900305,2020-09-25,MIA,BOS,MIA,1610612748,121,108,W,13,conf,5
2019-20,1610612738,41900306,2020-09-27,BOS,MIA,MIA,1610612748,113,125,L,-12,conf,6
