SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,AVAILABLE_FLAG
2018-19,1610612744,GSW,Golden State Warriors,0041800406,2019-06-13T00:00:00,GSW vs. TOR,L,48.0,9.8,10.5,9.8,31.5,12.8,10.5,13.5,31.5,0,0,0,83,9,103,56,80,71,100,95,124,73,1
2018-19,1610612761,TOR,Toronto Raptors,0041800406,2019-06-13T00:00:00,TOR @ GSW,W,48.0,12.8,10.5,13.5,31.5,9.8,10.5,9.8,31.5,0,0,0,1,9,54,56,34,71,54,95,65,73,1
2018-19,1610612744,GSW,Golden State Warriors,0041800405,2019-06-10T00:00:00,GSW @ TOR,W,48.0,15.0,14.3,2.3,24.0,9.8,12.0,9.8,40.5,0,0,0,1,9,33,17,158,144,54,117,65,140,1
2018-19,1610612761,TOR,Toronto Raptors,0041800405,2019-06-10T00:00:00,TOR vs. GSW,L,48.0,9.8,12.0,9.8,40.5,15.0,14.3,2.3,24.0,0,0,0,83,9,103,42,80,20,125,141,5,16,1
2018-19,1610612761,TOR,Toronto Raptors,0041800404,2019-06-07T00:00:00,TOR @ GSW,W,48.0,10.5,9.8,14.3,25.5,7.5,8.3,24.0,27.0,0,0,0,1,9,90,74,28,137,31,53,162,29,1
2018-19,1610612744,GSW,Golden State Warriors,0041800404,2019-06-07T00:00:00,GSW vs. TOR,L,48.0,7.5,8.3,24.0,27.0,10.5,9.8,14.3,25.5,0,0,0,83,9,129,105,2,119,64,76,132,22,1
2018-19,1610612744,GSW,Golden State Warriors,0041800403,2019-06-05T00:00:00,GSW vs. TOR,L,48.0,11.3,17.3,12.8,27.0,7.5,9.0,13.5,28.5,0,0,0,83,9,73,4,42,119,31,62,124,48,1
2018-19,1610612761,TOR,Toronto Raptors,0041800403,2019-06-05T00:00:00,TOR @ GSW,W,48.0,7.5,9.0,13.5,28.5,11.3,17.3,12.8,27.0,0,0,0,1,9,129,90,34,104,76,158,115,29,1
2018-19,1610612761,TOR,Toronto Raptors,0041800402,2019-06-02T00:00:00,TOR vs. GSW,L,48.0,12.0,17.3,13.5,33.0,13.5,0.0,9.8,27.0,0,0,0,83,9,66,4,34,58,113,1,65,29,1
2018-19,1610612744,GSW,Golden State Warriors,0041800402,2019-06-02T00:00:00,GSW @ TOR,W,48.0,13.5,0.0,9.8,27.0,12.0,17.3,13.5,33.0,0,0,0,1,9,46,164,80,119,93,158,124,95,1
2018-19,1610612744,GSW,Golden State Warriors,0041800401,2019-05-30T00:00:00,GSW @ TOR,L,48.0,12.8,15.0,12.8,24.0,12.8,6.8,18.0,30.0,0,0,0,83,9,54,12,42,144,100,35,155,64,1
2018-19,1610612761,TOR,Toronto Raptors,0041800401,2019-05-30T00:00:00,TOR vs. GSW,W,48.0,12.8,6.8,18.0,30.0,12.8,15.0,12.8,24.0,0,0,0,1,9,54,128,8,94,100,149,115,16,1
2018-19,1610612761,TOR,Toronto Raptors,0041800306,2019-05-25T00:00:00,TOR vs. MIL,W,48.0,6.8,8.3,7.5,25.5,5.3,12.8,9.8,21.0,0,0,0,1,9,135,105,124,137,11,125,65,11,1
2018-19,1610612749,MIL,Milwaukee Bucks,0041800306,2019-05-25T00:00:00,MIL @ TOR,L,48.0,5.3,12.8,9.8,21.0,6.8,8.3,7.5,25.5,0,0,0,83,9,151,33,80,153,22,53,35,22,1
2018-19,1610612761,TOR,Toronto Raptors,0041800305,2019-05-23T00:00:00,TOR @ MIL,W,48.0,14.3,7.5,9.8,18.0,5.3,9.0,15.0,33.0,0,0,0,1,9,41,113,80,159,11,62,138,95,1
2018-19,1610612749,MIL,Milwaukee Bucks,0041800305,2019-05-23T00:00:00,MIL vs. TOR,L,48.0,5.3,9.0,15.0,33.0,14.3,7.5,9.8,18.0,0,0,0,83,9,151,90,23,58,120,38,65,4,1
