close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,21,21,0.44,51,148,0.345,0.39,-0.045
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,26.0,21,21,0.464,51,134,0.381,0.381,-0.001
1629652,Luguentz Dort,1610612760,OKC,G,26.0,21,21,0.507,37,114,0.325,0.39,-0.066
1628392,Isaiah Hartenstein,1610612760,OKC,C-F,27.0,21,20,0.459,45,107,0.421,0.399,0.022
1641717,Cason Wallace,1610612760,OKC,G,21.0,21,21,0.5,34,101,0.337,0.381,-0.045
1627936,Alex Caruso,1610612760,OKC,G,31.0,21,21,0.43,30,92,0.326,0.387,-0.061
1631114,Jalen Williams,1610612760,OKC,G-F,24.0,21,20,0.411,27,74,0.365,0.392,-0.027
1630598,Aaron Wiggins,1610612760,OKC,G,26.0,19,16,0.434,20,49,0.408,0.37,0.038
1631119,Jaylin Williams,1610612760,OKC,F,22.0,14,10,0.488,14,41,0.341,0.382,-0.04
1630198,Isaiah Joe,1610612760,OKC,G,25.0,19,13,0.338,9,23,0.391,0.381,0.01
1629026,Kenrich Williams,1610612760,OKC,G-F,30.0,11,9,0.556,6,20,0.3,0.378,-0.078
1641794,Dillon Jones,1610612760,OKC,F,23.0,7,6,0.429,3,9,0.333,0.344,-0.011
1642349,Ajay Mitchell,1610612760,OKC,G,22.0,8,6,0.409,3,9,0.333,0.352,-0.019
1631172,Ousmane Dieng,1610612760,OKC,F,22.0,4,4,0.417,3,5,0.6,0.319,0.281
