season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away,MON
2023-24,1610612758,SAC,Sacramento Kings,22301200,2024-04-14,SAC vs. POR,W,48.0,121.1,122.2,81.6,82.8,39.5,39.4,0.674,2.07,20.4,0.319,0.588,0.478,0.141,0.569,0.612,100.2,99.0,82.5,99,0.731,1,1,1,1,119,635,12,23,785,1119,760,731,2359,1623,1388,897,744,1195,5,1,2023,2024,True,SAC,POR,APR
2023-24,1610612758,SAC,Sacramento Kings,22301185,2024-04-12,SAC vs. PHX,L,48.0,112.4,113.8,111.9,114.9,0.5,-1.1,0.65,3.71,19.7,0.235,0.75,0.448,0.074,0.516,0.551,95.8,94.0,78.33,94,0.483,1,1231,1231,1231,119,1292,1258,1282,1060,124,1004,1783,828,2087,102,1667,1697,2147,1382,1,2023,2024,True,SAC,PHX,APR
2023-24,1610612758,SAC,Sacramento Kings,22301170,2024-04-11,SAC vs. NOP,L,48.0,120.8,123.0,132.5,132.4,-11.6,-9.4,0.565,1.86,19.7,0.143,0.789,0.45,0.14,0.643,0.663,101.9,101.0,84.17,100,0.432,1,1231,1231,1231,119,585,2298,1804,1902,1392,1004,2401,423,2072,1347,182,225,739,1945,1,2023,2024,True,SAC,NOP,APR
2023-24,1610612758,SAC,Sacramento Kings,22301153,2024-04-09,SAC @ OKC,L,48.0,101.5,102.9,110.2,109.8,-8.7,-6.9,0.697,1.35,15.5,0.353,0.818,0.536,0.167,0.448,0.489,102.5,102.0,85.0,102,0.413,1,1231,1231,1231,119,2070,854,1637,590,2100,2163,398,193,598,1937,2291,2297,585,2114,1,2023,2024,False,OKC,SAC,APR
2023-24,1610612758,SAC,Sacramento Kings,22301141,2024-04-07,SAC @ BKN,W,48.0,108.0,108.1,75.7,77.0,32.3,31.1,0.775,3.44,22.0,0.218,0.793,0.513,0.091,0.505,0.529,100.4,99.5,82.92,99,0.683,1,1,1,1,119,1744,2,64,134,183,404,1951,389,987,258,1844,1964,1069,36,1,2023,2024,False,BKN,SAC,APR
2023-24,1610612758,SAC,Sacramento Kings,22301118,2024-04-05,SAC @ BOS,L,48.0,103.4,105.3,108.7,108.6,-5.3,-3.3,0.553,3.0,15.4,0.333,0.75,0.522,0.074,0.47,0.477,94.8,94.0,78.33,95,0.447,1,1231,1231,1231,119,1911,755,1390,2000,316,2173,563,828,835,94,2172,2353,2147,1779,1,2023,2024,False,BOS,SAC,APR
2023-24,1610612758,SAC,Sacramento Kings,22301112,2024-04-04,SAC @ NYK,L,48.0,110.9,114.7,124.0,127.7,-13.1,-12.9,0.619,1.63,19.3,0.298,0.725,0.494,0.168,0.593,0.597,97.5,94.5,78.75,95,0.414,1,1231,1231,1231,119,1212,2135,1971,1390,1738,1132,1001,1164,1349,1980,592,962,2083,2109,1,2023,2024,False,NYK,SAC,APR
2023-24,1610612758,SAC,Sacramento Kings,22301101,2024-04-02,SAC vs. LAC,W,48.0,117.2,116.0,100.1,101.1,17.1,14.9,0.744,2.9,20.1,0.375,0.776,0.562,0.106,0.489,0.529,93.9,94.0,78.33,94,0.625,1,1,1,1,119,1120,314,396,276,378,847,246,556,285,539,1998,1968,2147,158,1,2023,2024,True,SAC,LAC,APR
2023-24,1610612758,SAC,Sacramento Kings,22301086,2024-03-31,SAC vs. UTA,W,48.0,132.1,135.1,110.0,114.0,22.1,21.1,0.756,2.27,23.4,0.429,0.7,0.576,0.16,0.655,0.675,96.2,93.5,77.92,94,0.617,1,1,1,1,119,104,1179,199,217,866,178,60,1469,166,1799,134,155,2197,192,1,2023,2024,True,SAC,UTA,MAR
2023-24,1610612758,SAC,Sacramento Kings,22301073,2024-03-29,SAC vs. DAL,L,48.0,104.8,109.6,115.7,113.8,-10.8,-4.3,0.6,2.18,18.0,0.278,0.848,0.54,0.117,0.516,0.529,95.4,94.0,78.33,94,0.455,1,1231,1231,1231,119,1620,1163,1438,1557,971,1498,1248,79,533,792,1670,1965,2147,1676,1,2023,2024,True,SAC,DAL,MAR
