SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1642277,Johnny Furphy,Johnny,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,851,851,851,1513,1375,1299,1186,407,933,610,834,728,1141,952,842,837,268,1239,894,1362,1545,1362,1,4:00
2024-25,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,0042400402,2025-06-08T00:00:00,OKC vs. IND,W,26.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,3,0.333,1,1,1,1,721,1375,1,1186,407,1,610,834,728,1141,952,842,1,268,1,894,1101,1168,1049,1,26:26
2024-25,1628418,Thomas Bryant,Thomas,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,11.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,851,851,851,1273,1375,1,1186,407,933,610,1,728,1141,952,842,837,268,1239,894,1362,1398,1362,1,11:34
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,34.3,0.385,0.615,0.471,0.235,0.529,0.0,0.0,0.0,0.235,0.75,0.25,0.667,0.333,0.714,0.286,7,13,0.538,1,851,851,851,402,1104,431,731,126,411,610,834,728,994,387,762,700,209,636,710,252,339,457,1,34:16
2024-25,1626167,Myles Turner,Myles,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,27.3,0.583,0.417,0.625,0.25,0.188,0.0,0.187,0.25,0.375,1.0,0.0,1.0,0.0,1.0,0.0,6,12,0.5,1,851,851,851,696,761,779,486,108,836,610,490,303,761,1,842,1,268,1,894,334,411,504,1,27:16
2024-25,1641717,Cason Wallace,Cason,1610612760,OKC,Oklahoma City Thunder,0042400402,2025-06-08T00:00:00,OKC vs. IND,W,22.7,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,4,0.5,1,1,1,1,855,847,562,1,407,933,610,834,728,1,1,842,837,268,1,894,896,1037,504,1,22:43
2024-25,1627783,Pascal Siakam,Pascal,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,29.6,0.636,0.364,0.267,0.0,0.2,0.0,0.533,0.2,0.267,1.0,0.0,1.0,0.0,1.0,0.0,3,11,0.273,1,851,851,851,610,645,883,1040,407,815,610,72,398,931,1,842,1,268,1,894,711,450,1198,1,29:34
2024-25,204456,T.J. McConnell,T.J.,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,18.1,0.857,0.143,0.727,0.182,0.273,0.0,0.0,0.0,0.545,0.0,1.0,1.0,0.0,0.2,0.8,5,7,0.714,1,851,851,851,1023,287,1249,328,193,717,610,834,728,462,952,1,1,268,1180,162,450,778,160,1,18:04
2024-25,1631119,Jaylin Williams,Jaylin,1610612760,OKC,Oklahoma City Thunder,0042400402,2025-06-08T00:00:00,OKC vs. IND,W,2.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,1.0,1,1,1,1,1592,1375,1,1186,407,1,610,834,728,1141,952,842,1,268,1,894,1101,1398,1,1,2:25
2024-25,1630198,Isaiah Joe,Isaiah,1610612760,OKC,Oklahoma City Thunder,0042400402,2025-06-08T00:00:00,OKC vs. IND,W,6.5,0.333,0.667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,3,0.333,1,1,1,1,1432,1146,329,1,407,933,610,834,728,1,1,842,837,268,1,894,1101,1168,1049,1,6:27
2024-25,1630598,Aaron Wiggins,Aaron,1610612760,OKC,Oklahoma City Thunder,0042400402,2025-06-08T00:00:00,OKC vs. IND,W,20.5,0.273,0.727,0.111,0.0,0.833,0.0,0.056,0.0,0.111,1.0,0.0,0.8,0.2,0.833,0.167,6,11,0.545,1,1,1,1,939,1246,291,1179,407,156,610,796,728,1123,1,842,675,249,508,826,334,450,433,1,20:32
2024-25,1630167,Obi Toppin,Obi,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,19.1,0.375,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,8,0.125,1,851,851,851,992,1115,412,1186,407,1,610,834,728,1141,952,842,1,268,1,894,1101,682,1345,1,19:04
2024-25,1642349,Ajay Mitchell,Ajay,1610612760,OKC,Oklahoma City Thunder,0042400402,2025-06-08T00:00:00,OKC vs. IND,W,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,1576,1375,1299,1186,407,933,610,1,728,1141,952,842,837,268,1239,894,1362,1545,1362,1,2:42
