season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,available_flag,season_start,season_end,is_home,home,away
2019-20,1610612743,DEN,Denver Nuggets,21901318,2020-08-14,DEN @ TOR,L,48.0,0.563,0.437,0.367,0.073,0.44,0.229,0.193,0.202,0.294,0.65,0.35,0.875,0.125,0.75,0.25,0,0,0,0,139,1612,497,2012,1143,216,74,546,358,2009,201,1917,778,1271,109,1984,1,2019,2020,False,TOR,DEN
2019-20,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14,OKC @ LAC,L,53.0,0.585,0.415,0.466,0.058,0.408,0.097,0.126,0.291,0.408,0.333,0.667,0.714,0.286,0.474,0.526,0,0,0,0,13,1414,704,1497,1383,380,1327,1509,21,1278,1962,131,1648,412,1891,224,1,2019,2020,False,LAC,OKC
2019-20,1610612761,TOR,Toronto Raptors,21901318,2020-08-14,TOR vs. DEN,W,48.0,0.611,0.389,0.462,0.051,0.462,0.179,0.077,0.231,0.41,0.481,0.519,0.778,0.222,0.6,0.4,0,0,0,0,139,1138,972,1533,1510,144,295,2018,174,1250,1235,862,1358,704,1041,1039,1,2019,2020,True,TOR,DEN
2019-20,1610612748,MIA,Miami Heat,21901316,2020-08-14,MIA @ IND,L,48.0,0.563,0.437,0.457,0.065,0.326,0.022,0.217,0.217,0.391,0.238,0.762,0.9,0.1,0.452,0.548,0,0,0,0,139,1612,497,1579,1282,1028,2085,290,244,1442,2101,18,614,1436,1966,153,1,2019,2020,False,IND,MIA
2019-20,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,48.0,0.4,0.6,0.479,0.042,0.375,0.188,0.146,0.25,0.438,0.609,0.391,0.917,0.083,0.714,0.286,0,0,0,0,139,2107,12,1388,1630,598,243,1231,88,961,372,1738,485,1580,247,1858,1,2019,2020,True,HOU,PHI
2019-20,1610612746,LAC,LA Clippers,21901317,2020-08-14,LAC vs. OKC,W,53.0,0.565,0.435,0.411,0.019,0.336,0.187,0.252,0.252,0.393,0.545,0.455,0.917,0.083,0.676,0.324,0,0,0,0,13,1596,519,1851,1929,929,250,111,83,1429,746,1342,485,1580,442,1669,1,2019,2020,True,LAC,OKC
2019-20,1610612754,IND,Indiana Pacers,21901316,2020-08-14,IND vs. MIA,W,48.0,0.573,0.427,0.514,0.092,0.413,0.119,0.073,0.183,0.422,0.643,0.357,0.933,0.067,0.744,0.256,0,0,0,0,139,1513,592,1064,838,349,996,2036,541,1119,218,1886,378,1724,136,1978,1,2019,2020,True,IND,MIA
2019-20,1610612755,PHI,Philadelphia 76ers,21901315,2020-08-14,PHI @ HOU,W,48.0,0.563,0.437,0.463,0.06,0.403,0.067,0.134,0.201,0.403,0.581,0.419,0.722,0.278,0.633,0.367,0,0,0,0,139,1612,497,1531,1353,415,1763,1402,371,1333,524,1581,1644,472,766,1350,1,2019,2020,False,HOU,PHI
2019-20,1610612751,BKN,Brooklyn Nets,21901309,2020-08-13,BKN vs. POR,L,48.0,0.656,0.344,0.586,0.15,0.316,0.098,0.098,0.09,0.436,0.385,0.615,0.929,0.071,0.528,0.472,0,0,0,0,139,640,1474,441,247,1135,1317,1872,1854,974,1784,324,396,1677,1596,522,1,2019,2020,True,BKN,POR
2019-20,1610612749,MIL,Milwaukee Bucks,21901311,2020-08-13,MIL @ MEM,L,48.0,0.582,0.418,0.491,0.208,0.368,0.038,0.142,0.132,0.283,0.615,0.385,0.846,0.154,0.692,0.308,0,0,0,0,139,1439,678,1289,64,670,2016,1301,1328,2042,341,1765,977,1089,363,1743,1,2019,2020,False,MEM,MIL
2019-20,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13,DAL @ PHX,L,48.0,0.708,0.292,0.608,0.059,0.235,0.049,0.157,0.039,0.549,0.387,0.613,0.625,0.375,0.436,0.564,0,0,0,0,139,211,1903,316,1369,1784,1938,1069,2094,167,1777,337,1914,174,2005,112,1,2019,2020,False,PHX,DAL
2019-20,1610612756,PHX,Phoenix Suns,21901313,2020-08-13,PHX vs. DAL,W,48.0,0.618,0.382,0.547,0.078,0.328,0.172,0.125,0.109,0.469,0.629,0.371,0.857,0.143,0.694,0.306,0,0,0,0,139,1055,1058,756,1052,1004,355,1530,1638,650,293,1822,895,1146,362,1757,1,2019,2020,True,PHX,DAL
2019-20,1610612758,SAC,Sacramento Kings,21901310,2020-08-13,SAC @ LAL,W,48.0,0.505,0.495,0.485,0.059,0.463,0.154,0.051,0.199,0.426,0.545,0.455,0.905,0.095,0.685,0.315,0,0,0,0,139,1958,159,1348,1369,143,533,2091,385,1072,746,1342,610,1506,405,1713,1,2019,2020,False,LAL,SAC
2019-20,1610612757,POR,Portland Trail Blazers,21901309,2020-08-13,POR @ BKN,W,48.0,0.625,0.375,0.552,0.119,0.291,0.06,0.157,0.104,0.433,0.432,0.568,0.692,0.308,0.5,0.5,0,0,0,0,139,974,1131,703,492,1375,1851,1071,1704,1019,1577,537,1757,347,1739,308,1,2019,2020,False,BKN,POR
2019-20,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,48.0,0.545,0.455,0.542,0.017,0.381,0.076,0.076,0.169,0.525,0.469,0.531,0.667,0.333,0.532,0.468,0,0,0,0,139,1744,374,787,2000,563,1623,2023,723,265,1328,780,1785,259,1587,531,1,2019,2020,True,UTA,SAS
2019-20,1610612764,WAS,Washington Wizards,21901308,2020-08-13,WAS @ BOS,W,48.0,0.705,0.295,0.5,0.167,0.313,0.229,0.188,0.26,0.333,0.5,0.5,1.0,0.0,0.647,0.353,0,0,0,0,139,237,1880,1175,173,1161,76,605,73,1839,1035,950,1,1785,663,1446,1,2019,2020,False,BOS,WAS
2019-20,1610612738,BOS,Boston Celtics,21901308,2020-08-13,BOS vs. WAS,L,48.0,0.602,0.398,0.6,0.067,0.267,0.133,0.133,0.167,0.533,0.556,0.444,0.875,0.125,0.629,0.371,0,0,0,0,139,1236,872,351,1255,1570,791,1416,754,230,674,1419,778,1271,800,1311,1,2019,2020,True,BOS,WAS
2019-20,1610612747,LAL,Los Angeles Lakers,21901310,2020-08-13,LAL vs. SAC,L,48.0,0.643,0.357,0.541,0.098,0.369,0.041,0.09,0.148,0.443,0.515,0.485,0.8,0.2,0.604,0.396,0,0,0,0,139,786,1319,800,756,657,1996,1931,1068,899,1006,1108,1231,801,1036,1079,1,2019,2020,True,LAL,SAC
