player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Adem Bona,PHI,30,Forward,82.0,235.0,UCLA,Nigeria,https://www.nba.com/player/1641737/adem-bona,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,2.0,41.0,Drafted,bonaad010
Jared Butler,PHI,12,Guard,75.0,193.0,Baylor,USA,https://www.nba.com/player/1630215/jared-butler,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2021.0,2.0,40.0,Drafted,butleja01
Ricky Council IV,PHI,14,Guard,78.0,207.0,Arkansas,USA,https://www.nba.com/player/1641741/ricky-council-iv,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,1.0,False,0.0,0.0,0.0,UDF,ivri01000
Jeff Dowtin Jr.,PHI,11,Guard,75.0,177.0,Rhode Island,USA,https://www.nba.com/player/1630288/jeff-dowtin,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,0.0,0.0,0.0,UDF,jr.je0100
Andre Drummond,PHI,1,Center,83.0,279.0,Connecticut,USA,https://www.nba.com/player/203083/andre-drummond,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,12.0,False,2012.0,1.0,9.0,Drafted,drumman01
Justin Edwards,PHI,19,Forward,79.0,203.0,Kentucky,USA,https://www.nba.com/player/1642348/tmp-justin-edwards,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,0.0,0.0,0.0,UDF,edwarju01
Joel Embiid,PHI,21,Center-Forward,84.0,280.0,Kansas,Cameroon,https://www.nba.com/player/203954/joel-embiid,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1641741.png,1980-01-01,8.0,False,2014.0,1.0,3.0,Drafted,embiijo01
Paul George,PHI,8,Forward,80.0,220.0,Fresno State,USA,https://www.nba.com/player/202331/paul-george,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,1980-01-01,14.0,False,2010.0,1.0,10.0,Drafted,georgpa01
Eric Gordon,PHI,23,Guard,75.0,215.0,Indiana,USA,https://www.nba.com/player/201569/eric-gordon,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,16.0,False,2008.0,1.0,7.0,Drafted,gordoer01
Quentin Grimes,PHI,5,Guard,76.0,210.0,Houston,USA,https://www.nba.com/player/1629656/quentin-grimes,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2021.0,1.0,25.0,Drafted,grimequ01
