team_id,team_name,team,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
1610612744,Golden State Warriors,GSW,21,21,1.0,777,1835,0.423,0.466,-0.042
1610612754,Indiana Pacers,IND,7,7,1.0,231,533,0.433,0.471,-0.038
1610612759,San Antonio Spurs,SAS,5,5,1.0,198,414,0.478,0.498,-0.02
1610612740,New Orleans Pelicans,NOP,9,9,1.0,381,831,0.458,0.478,-0.019
1610612748,Miami Heat,MIA,5,5,1.0,196,437,0.449,0.468,-0.019
1610612762,Utah Jazz,UTA,11,11,1.0,417,953,0.438,0.454,-0.017
1610612745,Houston Rockets,HOU,17,17,1.0,654,1405,0.465,0.481,-0.015
1610612738,Boston Celtics,BOS,19,19,1.0,713,1546,0.461,0.473,-0.012
1610612750,Minnesota Timberwolves,MIN,5,5,1.0,196,440,0.445,0.456,-0.011
1610612760,Oklahoma City Thunder,OKC,6,6,1.0,229,504,0.454,0.461,-0.007
1610612755,Philadelphia 76ers,PHI,10,10,1.0,371,833,0.445,0.451,-0.006
1610612749,Milwaukee Bucks,MIL,7,7,1.0,259,585,0.443,0.448,-0.005
1610612739,Cleveland Cavaliers,CLE,22,22,1.0,843,1804,0.467,0.47,-0.002
1610612764,Washington Wizards,WAS,6,6,1.0,235,497,0.473,0.472,0.001
1610612761,Toronto Raptors,TOR,10,10,1.0,418,860,0.486,0.469,0.017
1610612757,Portland Trail Blazers,POR,4,4,1.0,175,336,0.521,0.483,0.038
