group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank
Players,2738,Andre Iguodala,Andre,1610612744,GSW,38.0,1,1,0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,106,63,1,1,106,78,69,60,22,42,9,42,27,54,36,48,38,8,60,48,75,93,75
Players,203952,Andrew Wiggins,Andrew,1610612744,GSW,27.0,9,6,3,0.667,3.3,0.5,0.5,0.5,0.0,0.25,0.0,0.25,0.0,0.5,0.667,0.333,1.0,0.0,0.75,0.25,4,10,0.4,5,4,99,29,37,51,31,37,22,39,9,28,27,26,16,41,1,8,28,44,9,10,50
Players,1627814,Damion Lee,Damion,1610612744,GSW,29.0,1,1,0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,106,63,1,1,124,78,69,60,22,42,9,42,27,54,36,48,38,8,60,48,75,93,75
Players,203110,Draymond Green,Draymond,1610612744,GSW,32.0,8,5,3,0.625,3.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,8,9,99,34,52,1,69,1,22,42,9,42,27,1,1,48,38,8,1,48,48,70,1
Players,1627780,Gary Payton II,Gary,1610612744,GSW,29.0,3,3,0,1.0,2.9,0.667,0.333,0.571,0.0,0.429,0.0,0.0,0.0,0.571,0.5,0.5,1.0,0.0,0.667,0.333,3,3,1.0,57,16,1,1,59,34,53,31,22,24,9,42,27,21,21,32,1,8,33,37,18,46,1
Players,1629673,Jordan Poole,Jordan,1610612744,GSW,23.0,8,6,2,0.75,3.2,0.8,0.2,0.5,0.0,0.25,0.25,0.25,0.083,0.5,0.667,0.333,1.0,0.0,0.75,0.25,4,5,0.8,8,4,62,21,47,31,61,37,22,39,4,28,26,26,16,41,1,8,28,44,9,31,17
Players,1629308,Juan Toscano-Anderson,Juan,1610612744,GSW,29.0,1,1,0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,106,63,1,1,126,78,69,60,22,42,9,42,27,54,36,48,38,8,60,48,75,93,75
Players,1626172,Kevon Looney,Kevon,1610612744,GSW,26.0,5,2,3,0.4,1.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,23,40,99,76,100,1,69,1,22,42,9,42,27,1,1,48,38,8,1,48,48,70,1
Players,202691,Klay Thompson,Klay,1610612744,GSW,32.0,9,6,3,0.667,3.7,0.3,0.7,0.4,0.2,0.6,0.0,0.0,0.7,0.2,0.5,0.5,1.0,0.0,0.75,0.25,4,10,0.4,5,4,99,29,25,71,22,42,16,13,9,42,7,52,21,32,1,8,28,44,9,10,50
Players,203490,Otto Porter Jr.,Otto,1610612744,GSW,29.0,5,3,2,0.6,1.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,23,16,62,35,104,78,1,60,22,42,9,42,27,54,36,48,38,8,60,48,75,70,75
Players,201939,Stephen Curry,Stephen,1610612744,GSW,34.0,9,6,3,0.667,3.8,0.519,0.481,0.383,0.17,0.255,0.043,0.362,0.106,0.213,0.222,0.778,0.5,0.5,0.308,0.692,13,27,0.481,5,4,99,29,24,50,43,52,19,38,8,21,23,51,34,26,35,5,56,19,2,1,44
