Season,Lg,Tm,Voting,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,award
1952-53,NBA,2nd,,Bob Davies,Vern Mikkelsen,Andy Phillip,Bill Sharman,Bobby Wanzer,all_league_teams
1951-52,NBA,1st,,Paul Arizin,Bob Cousy,Ed Macauley,George Mikan,Bob Davies  Dolph Schayes (T),all_league_teams
1951-52,NBA,2nd,,Larry Foust,Vern Mikkelsen,Andy Phillip,Jim Pollard,Bobby Wanzer,all_league_teams
1950-51,NBA,1st,,Ralph Beard,Bob Davies,Alex Groza,Ed Macauley,George Mikan,all_league_teams
1950-51,NBA,2nd,,Frankie Brian,Joe Fulks,Dick McGuire,Vern Mikkelsen,Dolph Schayes,all_league_teams
1949-50,NBA,1st,,Bob Davies,Alex Groza,George Mikan,Jim Pollard,Max Zaslofsky,all_league_teams
1949-50,NBA,2nd,,Ralph Beard,Frankie Brian,Al Cervi,Fred Schaus,Dolph Schayes,all_league_teams
1948-49,BAA,1st,,Bob Davies,Joe Fulks,George Mikan,Jim Pollard,Max Zaslofsky,all_league_teams
1948-49,BAA,2nd,,Bob Feerick,John Logan,Bones McKinney,Arnie Risen,Kenny Sailors,all_league_teams
1947-48,BAA,1st,,Howie Dallmar,Bob Feerick,Joe Fulks,Ed Sadowski,Max Zaslofsky,all_league_teams
1947-48,BAA,2nd,,Carl Braun,Buddy Jeannette,John Logan,Stan Miasek,Fred Scolari,all_league_teams
1946-47,BAA,1st,,Bob Feerick,Joe Fulks,Bones McKinney,Stan Miasek,Max Zaslofsky,all_league_teams
1946-47,BAA,2nd,,Frankie Baumholtz,Ernie Calverley,Chick Halbert,John Logan,Fred Scolari,all_league_teams
