Season,Lg,Tm,Voting,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,award
2018-19,NBA,2nd,(V),Joel Embiid C,Kevin Durant F,Kawhi Leonard F,Damian Lillard G,Kyrie Irving G,all_league_teams
2018-19,NBA,3rd,(V),Rudy Gobert C,LeBron James F,Blake Griffin F,Kemba Walker G,Russell Westbrook G,all_league_teams
2017-18,NBA,1st,(V),Anthony Davis C,LeBron James F,Kevin Durant F,Damian Lillard G,James Harden G,all_league_teams
2017-18,NBA,2nd,(V),Joel Embiid C,Giannis Antetokounmpo F,LaMarcus Aldridge F,Russell Westbrook G,DeMar DeRozan G,all_league_teams
2017-18,NBA,3rd,(V),Karl-Anthony Towns C,Jimmy Butler F,Paul George F,Stephen Curry G,Victor Oladipo G,all_league_teams
2016-17,NBA,1st,(V),Anthony Davis C,LeBron James F,Kawhi Leonard F,James Harden G,Russell Westbrook G,all_league_teams
2016-17,NBA,2nd,(V),Rudy Gobert C,Giannis Antetokounmpo F,Kevin Durant F,Stephen Curry G,Isaiah Thomas G,all_league_teams
2016-17,NBA,3rd,(V),DeAndre Jordan C,Draymond Green F,Jimmy Butler F,John Wall G,DeMar DeRozan G,all_league_teams
2015-16,NBA,1st,(V),DeAndre Jordan C,LeBron James F,Kawhi Leonard F,Stephen Curry G,Russell Westbrook G,all_league_teams
2015-16,NBA,2nd,(V),DeMarcus Cousins C,Kevin Durant F,Draymond Green F,Chris Paul G,Damian Lillard G,all_league_teams
2015-16,NBA,3rd,(V),Andre Drummond C,Paul George F,LaMarcus Aldridge F,Klay Thompson G,Kyle Lowry G,all_league_teams
2014-15,NBA,1st,(V),Marc Gasol C,LeBron James F,Anthony Davis F,Stephen Curry G,James Harden G,all_league_teams
2014-15,NBA,2nd,(V),DeMarcus Cousins C,Pau Gasol C,LaMarcus Aldridge F,Russell Westbrook G,Chris Paul G,all_league_teams
2014-15,NBA,3rd,(V),DeAndre Jordan C,Blake Griffin F,Tim Duncan F,Klay Thompson G,Kyrie Irving G,all_league_teams
2013-14,NBA,1st,(V),Joakim Noah C,Kevin Durant F,LeBron James F,James Harden G,Chris Paul G,all_league_teams
2013-14,NBA,2nd,(V),Dwight Howard C,Blake Griffin F,Kevin Love F,Stephen Curry G,Tony Parker G,all_league_teams
2013-14,NBA,3rd,(V),Al Jefferson C,Paul George F,LaMarcus Aldridge F,Goran Dragić G,Damian Lillard G,all_league_teams
2012-13,NBA,1st,(V),Tim Duncan C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G,all_league_teams
2012-13,NBA,2nd,(V),Marc Gasol C,Carmelo Anthony F,Blake Griffin F,Tony Parker G,Russell Westbrook G,all_league_teams
2012-13,NBA,3rd,(V),Dwight Howard C,Paul George F,David Lee F,James Harden G,Dwyane Wade G,all_league_teams
2011-12,NBA,1st,(V),Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G,all_league_teams
2011-12,NBA,2nd,(V),Andrew Bynum C,Blake Griffin F,Kevin Love F,Tony Parker G,Russell Westbrook G,all_league_teams
2011-12,NBA,3rd,(V),Tyson Chandler C,Carmelo Anthony F,Dirk Nowitzki F,Rajon Rondo G,Dwyane Wade G,all_league_teams
2010-11,NBA,1st,(V),Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Derrick Rose G,all_league_teams
2010-11,NBA,2nd,(V),Amar'e Stoudemire C,Pau Gasol F,Dirk Nowitzki F,Dwyane Wade G,Russell Westbrook G,all_league_teams
2010-11,NBA,3rd,(V),Al Horford C,LaMarcus Aldridge F,Zach Randolph F,Manu Ginóbili G,Chris Paul G,all_league_teams
2009-10,NBA,1st,(V),Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Dwyane Wade G,all_league_teams
2009-10,NBA,2nd,(V),Amar'e Stoudemire C,Carmelo Anthony F,Dirk Nowitzki F,Steve Nash G,Deron Williams G,all_league_teams
2009-10,NBA,3rd,(V),Andrew Bogut C,Tim Duncan F,Pau Gasol F,Joe Johnson G,Brandon Roy G,all_league_teams
2008-09,NBA,1st,(V),Dwight Howard C,LeBron James F,Dirk Nowitzki F,Kobe Bryant G,Dwyane Wade G,all_league_teams
2008-09,NBA,2nd,(V),Yao Ming C,Tim Duncan F,Paul Pierce F,Chris Paul G,Brandon Roy G,all_league_teams
2008-09,NBA,3rd,(V),Shaquille O'Neal C,Carmelo Anthony F,Pau Gasol F,Chauncey Billups G,Tony Parker G,all_league_teams
2007-08,NBA,1st,(V),Dwight Howard C,Kevin Garnett F,LeBron James F,Kobe Bryant G,Chris Paul G,all_league_teams
2007-08,NBA,2nd,(V),Amar'e Stoudemire C,Tim Duncan F,Dirk Nowitzki F,Steve Nash G,Deron Williams G,all_league_teams
2007-08,NBA,3rd,(V),Yao Ming C,Carlos Boozer F,Paul Pierce F,Manu Ginóbili G,Tracy McGrady G,all_league_teams
2006-07,NBA,1st,(V),Amar'e Stoudemire C,Tim Duncan F,Dirk Nowitzki F,Kobe Bryant G,Steve Nash G,all_league_teams
2006-07,NBA,2nd,(V),Yao Ming C,Chris Bosh F,LeBron James F,Gilbert Arenas G,Tracy McGrady G,all_league_teams
2006-07,NBA,3rd,(V),Dwight Howard C,Carmelo Anthony F,Kevin Garnett F,Chauncey Billups G,Dwyane Wade G,all_league_teams
2005-06,NBA,1st,(V),Shaquille O'Neal C,LeBron James F,Dirk Nowitzki F,Kobe Bryant G,Steve Nash G,all_league_teams
2005-06,NBA,2nd,(V),Ben Wallace C,Elton Brand F,Tim Duncan F,Chauncey Billups G,Dwyane Wade G,all_league_teams
2005-06,NBA,3rd,(V),Yao Ming C,Carmelo Anthony F,Shawn Marion F,Gilbert Arenas G,Allen Iverson G,all_league_teams
2004-05,NBA,1st,(V),Shaquille O'Neal C,Tim Duncan F,Dirk Nowitzki F,Allen Iverson G,Steve Nash G,all_league_teams
2004-05,NBA,2nd,(V),Amar'e Stoudemire C,Kevin Garnett F,LeBron James F,Ray Allen G,Dwyane Wade G,all_league_teams
2004-05,NBA,3rd,(V),Ben Wallace C,Shawn Marion F,Tracy McGrady F,Gilbert Arenas G,Kobe Bryant G,all_league_teams
2003-04,NBA,1st,(V),Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Kobe Bryant G,Jason Kidd G,all_league_teams
2003-04,NBA,2nd,(V),Ben Wallace C,Jermaine O'Neal F,Peja Stojaković F,Sam Cassell G,Tracy McGrady G,all_league_teams
2003-04,NBA,3rd,(V),Yao Ming C,Metta World Peace F,Dirk Nowitzki F,Baron Davis G,Michael Redd G,all_league_teams
2002-03,NBA,1st,(V),Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G,all_league_teams
2002-03,NBA,2nd,(V),Ben Wallace C,Dirk Nowitzki F,Chris Webber F,Allen Iverson G,Jason Kidd G,all_league_teams
2002-03,NBA,3rd,(V),Jermaine O'Neal C,Jamal Mashburn F,Paul Pierce F,Stephon Marbury G,Steve Nash G,all_league_teams
2001-02,NBA,1st,(V),Shaquille O'Neal C,Tim Duncan F,Tracy McGrady F,Kobe Bryant G,Jason Kidd G,all_league_teams
2001-02,NBA,2nd,(V),Dirk Nowitzki C,Kevin Garnett F,Chris Webber F,Allen Iverson G,Gary Payton G,all_league_teams
2001-02,NBA,3rd,(V),Dikembe Mutombo C,Jermaine O'Neal F,Ben Wallace F,Steve Nash G,Paul Pierce G,all_league_teams
