Season,Lg,Coach,Voting,Tm,G,W,L,W/L%,award
1975-76,ABA,Larry Brown,,DNA,84,60,24,0.714,aba_coty
1974-75,ABA,Larry Brown,,DNA,84,65,19,0.774,aba_coty
1973-74,ABA,Joe Mullaney (Tie),,UTS,84,51,33,0.607,aba_coty
1973-74,ABA,Babe McCarthy (Tie),,KEN,84,53,31,0.631,aba_coty
1972-73,ABA,Larry Brown,,CAR,84,57,27,0.679,aba_coty
1971-72,ABA,Tom Nissalke,,DLC,84,42,42,0.5,aba_coty
1970-71,ABA,Al Bianchi,,VIR,84,55,29,0.655,aba_coty
1969-70,ABA,Bill Sharman (Tie),,LAS,84,43,41,0.512,aba_coty
1969-70,ABA,Joe Belmont (Tie),,DNR,56,42,14,0.75,aba_coty
1968-69,ABA,Alex Hannum,,OAK,78,60,18,0.769,aba_coty
1967-68,ABA,Vince Cazzetta,,PTP,78,54,24,0.692,aba_coty
