Season,Lg,Tm,Voting,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,award
2024-25,NBA,1st,(V),Stephon Castle,Zach Edey,Zaccharie Risacher,Alex Sarr,Jaylen Wells,all_rookie_teams
2024-25,NBA,2nd,(V),Matas Buzelis,Bub Carrington,Donovan Clingan,Yves Missi,Kel'el Ware,all_rookie_teams
2023-24,NBA,1st,(V),Chet Holmgren,Jaime Jaquez,Brandon Miller,Brandin Podziemski,Victor Wembanyama,all_rookie_teams
2023-24,NBA,2nd,(V),Dereck Lively,Gregory Jackson,Keyonte George,Amen Thompson,Cason Wallace,all_rookie_teams
2022-23,NBA,1st,(V),Paolo Banchero,Walker Kessler,Bennedict Mathurin,Keegan Murray,Jalen Williams,all_rookie_teams
2022-23,NBA,2nd,(V),Jalen Duren,Tari Eason,Jaden Ivey,Jabari Smith,Jeremy Sochan,all_rookie_teams
2021-22,NBA,1st,(V),Scottie Barnes,Cade Cunningham,Evan Mobley,Franz Wagner,Jalen Green,all_rookie_teams
2021-22,NBA,2nd,(V),Herbert Jones,Josh Giddey,Bones Hyland,Ayo Dosunmu,Chris Duarte,all_rookie_teams
2020-21,NBA,1st,(V),LaMelo Ball,Saddiq Bey,Anthony Edwards,Tyrese Haliburton,Jae'Sean Tate,all_rookie_teams
2020-21,NBA,2nd,(V),Desmond Bane,Isaac Okoro,Immanuel Quickley,Isaiah Stewart,Patrick Williams,all_rookie_teams
2019-20,NBA,1st,(V),Ja Morant,Kendrick Nunn,Brandon Clarke,Zion Williamson,Eric Paschall,all_rookie_teams
2019-20,NBA,2nd,(V),Tyler Herro,Terence Davis,Coby White,P.J. Washington,Rui Hachimura,all_rookie_teams
2018-19,NBA,1st,(V),Luka Dončić,Trae Young,Deandre Ayton,Jaren Jackson,Marvin Bagley,all_rookie_teams
2018-19,NBA,2nd,(V),Shai Gilgeous-Alexander,Collin Sexton,Landry Shamet,Mitchell Robinson,Kevin Huerter,all_rookie_teams
2017-18,NBA,1st,(V),Donovan Mitchell,Ben Simmons,Jayson Tatum,Kyle Kuzma,Lauri Markkanen,all_rookie_teams
2017-18,NBA,2nd,(V),Dennis Smith,Lonzo Ball,John Collins,Bogdan Bogdanović,Josh Jackson,all_rookie_teams
2016-17,NBA,1st,(V),Malcolm Brogdon,Dario Šarić,Joel Embiid,Buddy Hield,Willy Hernangómez,all_rookie_teams
2016-17,NBA,2nd,(V),Jamal Murray,Jaylen Brown,Marquese Chriss,Brandon Ingram,Yogi Ferrell,all_rookie_teams
2015-16,NBA,1st,(V),Karl-Anthony Towns,Kristaps Porziņģis,Devin Booker,Nikola Jokić,Jahlil Okafor,all_rookie_teams
2015-16,NBA,2nd,(V),Justise Winslow,D'Angelo Russell,Emmanuel Mudiay,Myles Turner,Willie Cauley-Stein,all_rookie_teams
2014-15,NBA,1st,(V),Andrew Wiggins,Nikola Mirotić,Nerlens Noel,Elfrid Payton,Jordan Clarkson,all_rookie_teams
2014-15,NBA,2nd,(V),Marcus Smart,Zach LaVine,Bojan Bogdanović,Jusuf Nurkić,Langston Galloway,all_rookie_teams
2013-14,NBA,1st,(V),Michael Carter-Williams,Victor Oladipo,Trey Burke,Mason Plumlee,Tim Hardaway,all_rookie_teams
2013-14,NBA,2nd,(V),Kelly Olynyk,Giannis Antetokounmpo,Gorgui Dieng,Cody Zeller,Steven Adams,all_rookie_teams
2012-13,NBA,1st,(V),Harrison Barnes,Bradley Beal,Anthony Davis,Damian Lillard,Dion Waiters,all_rookie_teams
2012-13,NBA,2nd,(V),Andre Drummond,Michael Kidd-Gilchrist,Kyle Singler,Jonas Valančiūnas,Tyler Zeller,all_rookie_teams
2011-12,NBA,1st,(V),Kenneth Faried,Kyrie Irving,Ricky Rubio,Klay Thompson,Brandon Knight Kawhi Leonard Iman Shumpert (T),all_rookie_teams
2011-12,NBA,2nd,(V),MarShon Brooks,Chandler Parsons,Isaiah Thomas,Tristan Thompson,Derrick Williams,all_rookie_teams
2010-11,NBA,1st,(V),DeMarcus Cousins,Landry Fields,Blake Griffin,Gary Neal,John Wall,all_rookie_teams
2010-11,NBA,2nd,(V),Eric Bledsoe,Derrick Favors,Paul George,Wesley Johnson,Greg Monroe,all_rookie_teams
2009-10,NBA,1st,(V),Darren Collison,Stephen Curry,Tyreke Evans,Taj Gibson,Brandon Jennings,all_rookie_teams
2009-10,NBA,2nd,(V),DeJuan Blair,Jonny Flynn,James Harden,Jonas Jerebko,Marcus Thornton,all_rookie_teams
