Season,Lg,Coach,Voting,Tm,G,W,L,W/L%,award
2024-25,NBA,Kenny Atkinson,(V),CLE,82,64,18,0.78,nba_coty
2023-24,NBA,Mark Daigneault,(V),OKC,82,57,25,0.695,nba_coty
2022-23,NBA,Mike Brown,(V),SAC,82,48,34,0.585,nba_coty
2021-22,NBA,Monty Williams,(V),PHO,82,64,18,0.78,nba_coty
2020-21,NBA,Tom Thibodeau,(V),NYK,72,41,31,0.569,nba_coty
2019-20,NBA,Nick Nurse,(V),TOR,72,53,19,0.736,nba_coty
2018-19,NBA,Mike Budenholzer,(V),MIL,82,60,22,0.732,nba_coty
2017-18,NBA,Dwane Casey,(V),TOR,82,59,23,0.72,nba_coty
2016-17,NBA,Mike D'Antoni,(V),HOU,82,55,27,0.671,nba_coty
2015-16,NBA,Steve Kerr,(V),GSW,82,73,9,0.89,nba_coty
2014-15,NBA,Mike Budenholzer,(V),ATL,82,60,22,0.732,nba_coty
2013-14,NBA,Gregg Popovich,(V),SAS,82,62,20,0.756,nba_coty
2012-13,NBA,George Karl,(V),DEN,82,57,25,0.695,nba_coty
2011-12,NBA,Gregg Popovich,(V),SAS,66,50,16,0.758,nba_coty
2010-11,NBA,Tom Thibodeau,(V),CHI,82,62,20,0.756,nba_coty
2009-10,NBA,Scott Brooks,(V),OKC,82,50,32,0.61,nba_coty
2008-09,NBA,Mike Brown,(V),CLE,82,66,16,0.805,nba_coty
2007-08,NBA,Byron Scott,(V),NOH,82,56,26,0.683,nba_coty
2006-07,NBA,Sam Mitchell,(V),TOR,82,47,35,0.573,nba_coty
2005-06,NBA,Avery Johnson,(V),DAL,82,60,22,0.732,nba_coty
2004-05,NBA,Mike D'Antoni,(V),PHO,82,62,20,0.756,nba_coty
2003-04,NBA,Hubie Brown,(V),MEM,82,50,32,0.61,nba_coty
2002-03,NBA,Gregg Popovich,(V),SAS,82,60,22,0.732,nba_coty
2001-02,NBA,Rick Carlisle,(V),DET,82,50,32,0.61,nba_coty
2000-01,NBA,Larry Brown,(V),PHI,82,56,26,0.683,nba_coty
1999-00,NBA,Doc Rivers,(V),ORL,82,41,41,0.5,nba_coty
1998-99,NBA,Mike Dunleavy,(V),POR,50,35,15,0.7,nba_coty
1997-98,NBA,Larry Bird,(V),IND,82,58,24,0.707,nba_coty
1996-97,NBA,Pat Riley,(V),MIA,82,61,21,0.744,nba_coty
1995-96,NBA,Phil Jackson,(V),CHI,82,72,10,0.878,nba_coty
1994-95,NBA,Del Harris,(V),LAL,82,48,34,0.585,nba_coty
1993-94,NBA,Lenny Wilkens,(V),ATL,82,57,25,0.695,nba_coty
1992-93,NBA,Pat Riley,(V),NYK,82,60,22,0.732,nba_coty
1991-92,NBA,Don Nelson,(V),GSW,82,55,27,0.671,nba_coty
1990-91,NBA,Don Chaney,(V),HOU,82,52,30,0.634,nba_coty
1989-90,NBA,Pat Riley,(V),LAL,82,63,19,0.768,nba_coty
1988-89,NBA,Cotton Fitzsimmons,(V),PHO,82,55,27,0.671,nba_coty
1987-88,NBA,Doug Moe,(V),DEN,82,54,28,0.659,nba_coty
1986-87,NBA,Mike Schuler,(V),POR,82,49,33,0.598,nba_coty
1985-86,NBA,Mike Fratello,(V),ATL,82,50,32,0.61,nba_coty
1984-85,NBA,Don Nelson,(V),MIL,82,59,23,0.72,nba_coty
1983-84,NBA,Frank Layden,(V),UTA,82,45,37,0.549,nba_coty
1982-83,NBA,Don Nelson,(V),MIL,82,51,31,0.622,nba_coty
1981-82,NBA,Gene Shue,(V),WSB,82,43,39,0.524,nba_coty
1980-81,NBA,Jack McKinney,(V),IND,82,44,38,0.537,nba_coty
1979-80,NBA,Bill Fitch,(V),BOS,82,61,21,0.744,nba_coty
1978-79,NBA,Cotton Fitzsimmons,(V),KCK,82,48,34,0.585,nba_coty
1977-78,NBA,Hubie Brown,(V),ATL,82,41,41,0.5,nba_coty
1976-77,NBA,Tom Nissalke,(V),HOU,82,49,33,0.598,nba_coty
1975-76,NBA,Bill Fitch,(V),CLE,82,49,33,0.598,nba_coty
1974-75,NBA,Phil Johnson,(V),KCO,82,44,38,0.537,nba_coty
1973-74,NBA,Ray Scott,(V),DET,82,52,30,0.634,nba_coty
1972-73,NBA,Tom Heinsohn,(V),BOS,82,68,14,0.829,nba_coty
1971-72,NBA,Bill Sharman,(V),LAL,82,69,13,0.841,nba_coty
1970-71,NBA,Dick Motta,(V),CHI,82,51,31,0.622,nba_coty
1969-70,NBA,Red Holzman,(V),NYK,82,60,22,0.732,nba_coty
1968-69,NBA,Gene Shue,(V),BAL,82,57,25,0.695,nba_coty
1967-68,NBA,Richie Guerin,(V),STL,82,56,26,0.683,nba_coty
1966-67,NBA,Red Kerr,(V),CHI,81,33,48,0.407,nba_coty
1965-66,NBA,Dolph Schayes,(V),PHI,80,55,25,0.688,nba_coty
1964-65,NBA,Red Auerbach,(V),BOS,80,62,18,0.775,nba_coty
1963-64,NBA,Alex Hannum,(V),SFW,80,48,32,0.6,nba_coty
1962-63,NBA,Harry Gallatin,(V),STL,80,48,32,0.6,nba_coty
