season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away
2021-22,1610612742,DAL,Dallas Mavericks,22100089,2021-10-31,DAL vs. SAC,W,48.0,40,90,0.444,12,37,0.324,13,20,0.65,10,35,45,24,10.0,8,4,3,20,19,105,6.0,1,1,1,1,117,1247,851,1479,1139,872,1524,1747,1363,2184,1109,951,1039,1207,301,840,1206,419,1233,1229,1598,838,1,2021,2022,True,DAL,SAC
2021-22,1610612745,HOU,Houston Rockets,22100093,2021-10-31,HOU @ LAL,L,48.0,32,76,0.421,6,28,0.214,15,29,0.517,10,45,55,18,27.0,8,3,9,18,20,85,-10.0,1,1231,1231,1231,117,2322,2367,1861,2349,2085,2358,1413,330,2433,1109,53,122,2210,2458,840,1631,2291,724,994,2416,1811,1,2021,2022,False,LAL,HOU
2021-22,1610612749,MIL,Milwaukee Bucks,22100091,2021-10-31,MIL vs. UTA,L,48.0,39,96,0.406,12,41,0.293,5,6,0.833,13,31,44,16,11.0,7,3,10,22,10,95,-12.0,1,1231,1231,1231,117,1426,283,2067,1139,417,1892,2432,2447,704,481,1670,1190,2364,478,1188,1631,2371,1701,2440,2174,1912,1,2021,2022,True,MIL,UTA
2021-22,1610612757,POR,Portland Trail Blazers,22100090,2021-10-31,POR @ CHA,L,48.0,43,97,0.443,17,54,0.315,10,11,0.909,15,32,47,30,12.0,4,5,6,18,18,113,-12.0,1,1231,1231,1231,117,688,219,1512,223,6,1653,2144,2318,218,236,1494,762,304,697,2166,825,1637,724,1501,1001,1912,1,2021,2022,False,CHA,POR
2021-22,1610612758,SAC,Sacramento Kings,22100089,2021-10-31,SAC @ DAL,L,48.0,38,96,0.396,7,36,0.194,16,20,0.8,17,39,56,20,13.0,6,3,4,19,20,99,-6.0,1,1231,1231,1231,117,1603,283,2172,2241,1006,2409,1243,1363,994,107,396,90,1945,949,1551,1631,831,960,994,1979,1540,1,2021,2022,False,DAL,SAC
2021-22,1610612751,BKN,Brooklyn Nets,22100092,2021-10-31,BKN vs. DET,W,48.0,47,72,0.653,13,25,0.52,10,16,0.625,2,39,41,30,20.0,7,2,3,19,18,117,26.0,1,1,1,1,117,244,2442,2,905,2300,65,2144,1906,2271,2447,396,1625,304,2294,1188,2043,419,960,1501,708,115,1,2021,2022,True,BKN,DET
2021-22,1610612747,LAL,Los Angeles Lakers,22100093,2021-10-31,LAL vs. HOU,W,48.0,39,96,0.406,9,31,0.29,8,13,0.615,10,33,43,22,14.0,15,9,3,20,18,95,10.0,1,1,1,1,117,1426,283,2067,1924,1737,1913,2310,2186,2302,1109,1307,1333,1607,1226,21,91,419,1233,1501,2174,593,1,2021,2022,True,LAL,HOU
2021-22,1610612766,CHA,Charlotte Hornets,22100090,2021-10-31,CHA vs. POR,W,48.0,46,89,0.517,20,42,0.476,13,21,0.619,10,34,44,36,9.0,4,6,5,18,18,125,12.0,1,1,1,1,117,331,1003,424,57,337,178,1747,1217,2296,1109,1133,1190,39,167,2166,532,1256,724,1501,293,491,1,2021,2022,True,CHA,POR
2021-22,1610612765,DET,Detroit Pistons,22100092,2021-10-31,DET @ BKN,L,48.0,32,79,0.405,12,33,0.364,15,22,0.682,7,22,29,21,15.0,12,3,2,18,19,91,-26.0,1,1231,1231,1231,117,2322,2229,2078,1139,1454,1048,1413,1079,2021,1851,2434,2445,1782,1475,129,1631,179,724,1229,2304,2336,1,2021,2022,False,BKN,DET
2021-22,1610612762,UTA,Utah Jazz,22100091,2021-10-31,UTA @ MIL,W,48.0,35,75,0.467,12,37,0.324,25,27,0.926,7,37,44,13,13.0,6,10,3,10,22,107,12.0,1,1,1,1,117,2048,2401,1132,1139,872,1524,179,521,156,1851,637,1190,2441,949,1551,45,419,8,570,1459,491,1,2021,2022,False,MIL,UTA
