season,team,team_id,team_hca,team_rcp,win_pct,opp_win_pct,opp_opp_win_pct,sos_v0
2021-22,ATL,1610612737,4.98,-1.85,0.524,0.498,0.5,-0.383
2021-22,BOS,1610612738,6.98,7.59,0.622,0.494,0.5,0.026
2021-22,CLE,1610612739,4.41,-0.17,0.537,0.499,0.5,0.35
2021-22,NOP,1610612740,1.32,-3.29,0.439,0.507,0.499,0.205
2021-22,CHI,1610612741,2.41,-3.2,0.561,0.496,0.5,-0.113
2021-22,DAL,1610612742,6.29,0.32,0.634,0.492,0.501,-0.168
2021-22,DEN,1610612743,2.39,2.22,0.585,0.495,0.5,-0.147
2021-22,GSW,1610612744,9.88,1.2,0.646,0.501,0.5,0.286
2021-22,HOU,1610612745,-6.8,-10.15,0.244,0.508,0.5,0.434
2021-22,LAC,1610612746,2.46,-2.41,0.512,0.505,0.5,-0.038
2021-22,LAL,1610612747,-0.54,-5.56,0.402,0.501,0.5,-0.204
2021-22,MIA,1610612748,5.51,3.39,0.646,0.494,0.5,-0.073
2021-22,MIL,1610612749,4.2,2.51,0.622,0.492,0.501,-0.485
2021-22,MIN,1610612750,5.05,0.22,0.561,0.499,0.5,0.492
2021-22,BKN,1610612751,-2.02,3.59,0.537,0.5,0.5,-0.342
2021-22,NYK,1610612752,-1.54,1.29,0.451,0.504,0.5,-0.062
2021-22,ORL,1610612753,-8.12,-7.88,0.268,0.511,0.5,0.416
2021-22,IND,1610612754,-0.56,-6.39,0.305,0.509,0.5,-0.137
2021-22,PHI,1610612755,3.12,2.1,0.622,0.496,0.5,-0.479
2021-22,PHX,1610612756,8.88,6.12,0.78,0.48,0.501,-0.187
2021-22,POR,1610612757,-4.98,-12.78,0.329,0.507,0.5,0.05
2021-22,SAC,1610612758,-4.05,-6.88,0.366,0.506,0.5,0.363
2021-22,SAS,1610612759,-0.15,0.39,0.415,0.503,0.5,0.139
2021-22,OKC,1610612760,-6.39,-9.8,0.293,0.506,0.5,0.551
2021-22,TOR,1610612761,4.24,0.34,0.585,0.5,0.5,0.013
2021-22,UTA,1610612762,9.88,2.2,0.598,0.495,0.5,-0.423
2021-22,MEM,1610612763,9.2,2.17,0.683,0.49,0.501,0.07
2021-22,WAS,1610612764,-0.63,-6.12,0.427,0.501,0.5,-0.197
2021-22,DET,1610612765,-5.15,-10.29,0.28,0.51,0.5,0.062
2021-22,CHA,1610612766,1.41,-0.54,0.524,0.5,0.5,-0.019
