season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away
2020-21,1610612746,LAC,LA Clippers,42000316,2021-06-30,LAC vs. PHX,L,48.0,33,79,0.418,12,39,0.308,25,32,0.781,7,25,32,18,10.0,5,3,4,11,21,103,-27.0,1,86,86,86,7,153,153,135,80,39,122,19,15,102,123,162,169,131,43,111,101,71,1,65,121,164,1,2020,2021,True,LAC,PHX
2020-21,1610612756,PHX,Phoenix Suns,42000316,2021-06-30,PHX @ LAC,W,48.0,53,94,0.564,17,31,0.548,7,11,0.636,10,37,47,27,10.0,5,4,3,21,11,130,27.0,1,1,1,1,7,1,24,8,24,111,4,164,160,148,71,38,42,22,43,111,69,36,82,170,9,7,1,2020,2021,False,LAC,PHX
2020-21,1610612749,MIL,Milwaukee Bucks,42000304,2021-06-29,MIL @ ATL,L,48.0,33,84,0.393,8,39,0.205,14,19,0.737,12,31,43,19,15.0,6,3,4,18,22,88,-22.0,1,86,86,86,7,153,100,154,140,39,163,111,108,122,43,104,78,117,129,88,101,71,34,48,162,158,1,2020,2021,False,ATL,MIL
2020-21,1610612737,ATL,Atlanta Hawks,42000304,2021-06-29,ATL vs. MIL,W,48.0,43,85,0.506,13,38,0.342,11,13,0.846,8,35,43,26,12.0,11,4,3,22,18,110,22.0,1,1,1,1,7,48,88,39,65,50,98,143,153,57,105,56,78,32,79,8,69,36,107,115,84,12,1,2020,2021,True,ATL,MIL
2020-21,1610612746,LAC,LA Clippers,42000315,2021-06-28,LAC @ PHX,W,48.0,46,84,0.548,10,30,0.333,14,15,0.933,2,38,40,20,10.0,8,2,1,16,19,116,14.0,1,1,1,1,7,22,100,16,110,119,102,111,144,11,168,32,111,104,43,40,136,2,16,105,55,27,1,2020,2021,False,PHX,LAC
2020-21,1610612756,PHX,Phoenix Suns,42000315,2021-06-28,PHX vs. LAC,L,48.0,38,84,0.452,9,26,0.346,17,20,0.85,7,34,41,22,14.0,6,1,2,19,16,102,-14.0,1,86,86,86,7,99,100,94,124,150,94,84,99,54,123,67,103,79,108,88,157,15,57,148,130,137,1,2020,2021,True,PHX,LAC
2020-21,1610612737,ATL,Atlanta Hawks,42000303,2021-06-27,ATL vs. MIL,L,48.0,39,84,0.464,15,37,0.405,9,16,0.563,9,26,35,20,12.0,8,7,5,22,18,102,-11.0,1,86,86,86,7,88,100,78,43,58,50,157,136,164,91,157,154,104,79,40,15,103,107,115,130,126,1,2020,2021,True,ATL,MIL
2020-21,1610612749,MIL,Milwaukee Bucks,42000303,2021-06-27,MIL @ ATL,W,48.0,45,88,0.511,11,29,0.379,12,21,0.571,15,35,50,27,12.0,8,5,7,18,22,113,11.0,1,1,1,1,7,33,64,36,98,130,69,133,85,162,13,56,25,22,79,40,48,142,34,48,67,39,1,2020,2021,False,ATL,MIL
2020-21,1610612756,PHX,Phoenix Suns,42000314,2021-06-26,PHX @ LAC,W,48.0,31,86,0.36,4,20,0.2,18,21,0.857,17,42,59,16,14.0,4,8,2,27,19,84,4.0,1,1,1,1,7,163,79,165,169,166,164,72,85,47,5,12,3,149,108,129,11,15,160,105,166,73,1,2020,2021,False,LAC,PHX
2020-21,1610612746,LAC,LA Clippers,42000314,2021-06-26,LAC vs. PHX,L,48.0,27,83,0.325,5,31,0.161,21,32,0.656,15,36,51,13,12.0,4,2,8,19,27,80,-4.0,1,86,86,86,7,170,119,170,166,111,168,44,15,141,13,47,15,168,79,129,136,157,57,9,170,95,1,2020,2021,True,LAC,PHX
