season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2017-18,1610612740,41700161,2018-04-14,NOP,POR,1610612757,97,95,W,rnd1,1
2017-18,1610612740,41700162,2018-04-17,NOP,POR,1610612757,111,102,W,rnd1,2
2017-18,1610612740,41700163,2018-04-19,POR,NOP,1610612757,119,102,W,rnd1,3
2017-18,1610612740,41700164,2018-04-21,POR,NOP,1610612757,131,123,W,rnd1,4
2017-18,1610612740,41700231,2018-04-28,NOP,GSW,1610612744,101,123,L,sf,1
2017-18,1610612740,41700232,2018-05-01,NOP,GSW,1610612744,116,121,L,sf,2
2017-18,1610612740,41700233,2018-05-04,GSW,NOP,1610612744,119,100,W,sf,3
2017-18,1610612740,41700234,2018-05-06,GSW,NOP,1610612744,92,118,L,sf,4
2017-18,1610612740,41700235,2018-05-08,NOP,GSW,1610612744,104,113,L,sf,5
