TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
1610612760,Oklahoma City Thunder,OKC,82,82,0.548,24.45,47.62,0.513,0.543,-0.029
1610612739,Cleveland Cavaliers,CLE,82,82,0.587,27.78,53.4,0.52,0.542,-0.022
1610612745,Houston Rockets,HOU,82,82,0.609,28.2,53.79,0.524,0.545,-0.02
1610612738,Boston Celtics,BOS,82,82,0.585,27.4,52.32,0.524,0.542,-0.018
1610612763,Memphis Grizzlies,MEM,82,81,0.571,27.34,51.73,0.529,0.543,-0.014
1610612765,Detroit Pistons,DET,82,82,0.576,26.89,50.66,0.531,0.543,-0.013
1610612753,Orlando Magic,ORL,82,82,0.615,26.67,50.11,0.532,0.543,-0.011
1610612750,Minnesota Timberwolves,MIN,82,82,0.591,27.79,52.0,0.534,0.544,-0.009
1610612749,Milwaukee Bucks,MIL,82,82,0.568,27.68,51.68,0.536,0.543,-0.007
1610612742,Dallas Mavericks,DAL,82,82,0.614,30.21,56.29,0.537,0.543,-0.006
1610612743,Denver Nuggets,DEN,82,82,0.584,29.24,54.38,0.538,0.543,-0.005
1610612744,Golden State Warriors,GSW,82,82,0.582,27.27,50.61,0.539,0.544,-0.005
1610612757,Portland Trail Blazers,POR,82,82,0.602,28.88,53.1,0.544,0.545,-0.001
1610612747,Los Angeles Lakers,LAL,81,81,0.573,27.84,51.16,0.544,0.544,0.0
1610612758,Sacramento Kings,SAC,82,82,0.565,27.02,49.57,0.545,0.544,0.001
1610612748,Miami Heat,MIA,82,82,0.572,27.62,50.65,0.545,0.543,0.002
1610612746,LA Clippers,LAC,82,82,0.568,26.54,48.71,0.545,0.543,0.002
1610612752,New York Knicks,NYK,82,82,0.592,28.02,51.22,0.547,0.543,0.004
1610612764,Washington Wizards,WAS,82,82,0.578,29.43,53.63,0.549,0.544,0.005
1610612756,Phoenix Suns,PHX,82,82,0.574,28.41,51.7,0.55,0.543,0.006
1610612761,Toronto Raptors,TOR,82,82,0.573,28.02,50.59,0.554,0.544,0.01
1610612759,San Antonio Spurs,SAS,82,82,0.575,29.49,53.16,0.555,0.543,0.012
1610612754,Indiana Pacers,IND,82,82,0.596,29.7,53.6,0.554,0.542,0.012
1610612741,Chicago Bulls,CHI,82,82,0.583,30.78,55.38,0.556,0.543,0.013
1610612766,Charlotte Hornets,CHA,81,81,0.549,27.26,48.86,0.558,0.545,0.013
1610612737,Atlanta Hawks,ATL,82,82,0.581,29.17,52.4,0.557,0.543,0.014
1610612751,Brooklyn Nets,BKN,82,82,0.576,27.54,48.54,0.567,0.544,0.023
1610612755,Philadelphia 76ers,PHI,82,82,0.567,28.15,49.2,0.572,0.543,0.029
1610612740,New Orleans Pelicans,NOP,82,82,0.557,29.1,50.37,0.578,0.545,0.033
1610612762,Utah Jazz,UTA,82,82,0.554,29.71,51.45,0.577,0.545,0.033
