TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
1610612738,Boston Celtics,BOS,82,82,0.333,17.62,29.79,0.591,0.627,-0.036
1610612760,Oklahoma City Thunder,OKC,82,82,0.312,16.16,27.12,0.596,0.627,-0.031
1610612739,Cleveland Cavaliers,CLE,82,82,0.318,17.38,28.93,0.601,0.627,-0.027
1610612765,Detroit Pistons,DET,82,82,0.318,17.04,27.96,0.609,0.629,-0.02
1610612745,Houston Rockets,HOU,82,82,0.357,19.3,31.52,0.612,0.63,-0.017
1610612763,Memphis Grizzlies,MEM,82,81,0.33,18.28,29.88,0.612,0.628,-0.016
1610612742,Dallas Mavericks,DAL,82,82,0.359,20.11,32.91,0.611,0.627,-0.016
1610612750,Minnesota Timberwolves,MIN,82,82,0.328,17.66,28.82,0.613,0.628,-0.015
1610612744,Golden State Warriors,GSW,82,82,0.325,17.52,28.27,0.62,0.629,-0.009
1610612757,Portland Trail Blazers,POR,82,82,0.34,18.68,30.04,0.622,0.63,-0.008
1610612754,Indiana Pacers,IND,82,82,0.366,20.41,32.95,0.62,0.627,-0.008
1610612749,Milwaukee Bucks,MIL,82,82,0.315,17.89,28.68,0.624,0.628,-0.005
1610612753,Orlando Magic,ORL,82,82,0.344,17.49,28.01,0.624,0.629,-0.005
1610612759,San Antonio Spurs,SAS,82,82,0.346,20.04,32.01,0.626,0.629,-0.003
1610612761,Toronto Raptors,TOR,82,82,0.357,19.99,31.56,0.633,0.63,0.003
1610612764,Washington Wizards,WAS,82,82,0.345,20.33,32.02,0.635,0.629,0.005
1610612758,Sacramento Kings,SAC,82,82,0.327,18.2,28.67,0.635,0.629,0.006
1610612737,Atlanta Hawks,ATL,82,82,0.339,19.44,30.59,0.636,0.629,0.007
1610612747,Los Angeles Lakers,LAL,81,81,0.333,18.89,29.72,0.636,0.628,0.008
1610612766,Charlotte Hornets,CHA,81,81,0.317,18.05,28.19,0.64,0.629,0.012
1610612743,Denver Nuggets,DEN,82,82,0.323,19.28,30.09,0.641,0.628,0.013
1610612756,Phoenix Suns,PHX,82,82,0.329,19.07,29.61,0.644,0.628,0.016
1610612741,Chicago Bulls,CHI,82,82,0.342,21.0,32.51,0.646,0.629,0.017
1610612746,LA Clippers,LAC,82,82,0.321,17.8,27.52,0.647,0.629,0.018
1610612751,Brooklyn Nets,BKN,82,82,0.359,19.62,30.24,0.649,0.63,0.019
1610612752,New York Knicks,NYK,82,81,0.338,18.94,29.26,0.647,0.628,0.02
1610612748,Miami Heat,MIA,82,82,0.317,18.32,28.05,0.653,0.629,0.024
1610612762,Utah Jazz,UTA,82,82,0.347,21.11,32.28,0.654,0.63,0.024
1610612740,New Orleans Pelicans,NOP,82,82,0.35,20.82,31.66,0.658,0.63,0.028
1610612755,Philadelphia 76ers,PHI,82,82,0.354,20.4,30.76,0.663,0.629,0.035
