season,team_id,team,srs_v1,sos_v1_raw,sos_v1
2024-25,1610612760,OKC,12.69,-0.165,0.398
2024-25,1610612739,CLE,8.8,-0.73,0.058
2024-25,1610612738,BOS,8.28,-0.826,0.0
2024-25,1610612750,MIN,5.14,0.147,0.585
2024-25,1610612745,HOU,4.96,0.453,0.769
2024-25,1610612746,LAC,4.83,0.182,0.606
2024-25,1610612763,MEM,4.78,-0.061,0.46
2024-25,1610612743,DEN,3.96,0.076,0.542
2024-25,1610612752,NYK,3.58,-0.507,0.192
2024-25,1610612744,GSW,3.55,0.252,0.648
2024-25,1610612749,MIL,2.11,-0.353,0.284
2024-25,1610612765,DET,1.73,-0.168,0.396
2024-25,1610612754,IND,1.72,-0.553,0.164
2024-25,1610612747,LAL,1.44,0.229,0.634
2024-25,1610612758,SAC,0.57,0.108,0.562
2024-25,1610612748,MIA,0.1,-0.45,0.226
2024-25,1610612742,DAL,-0.7,0.452,0.768
2024-25,1610612753,ORL,-0.7,-0.574,0.152
2024-25,1610612737,ATL,-1.37,-0.279,0.329
2024-25,1610612741,CHI,-1.83,-0.263,0.338
2024-25,1610612759,SAS,-2.41,0.304,0.679
2024-25,1610612756,PHX,-2.56,0.445,0.764
2024-25,1610612757,POR,-2.67,0.311,0.683
2024-25,1610612761,TOR,-4.41,-0.105,0.433
2024-25,1610612755,PHI,-6.3,-0.058,0.462
2024-25,1610612751,BKN,-6.96,0.161,0.593
2024-25,1610612762,UTA,-8.52,0.827,0.993
2024-25,1610612740,NOP,-8.6,0.838,1.0
2024-25,1610612766,CHA,-9.11,0.006,0.5
2024-25,1610612764,WAS,-12.09,0.303,0.679
