season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2023-24,1610612739,CLE,Cleveland Cavaliers,42300205,2024-05-15,CLE @ BOS,L,48.0,21.0,5.0,0.0,42.0,11.0,12.0,6.0,40.0,0,0,0,0,7,20,152,164,90,46,80,14,46,1,2023,2024,False,BOS,CLE,MAY
2023-24,1610612739,CLE,Cleveland Cavaliers,42300204,2024-05-13,CLE vs. BOS,L,48.0,26.0,10.0,15.0,44.0,14.0,16.0,22.0,38.0,0,0,0,0,7,6,103,38,81,79,124,159,33,1,2023,2024,True,CLE,BOS,MAY
2023-24,1610612739,CLE,Cleveland Cavaliers,42300203,2024-05-11,CLE vs. BOS,L,48.0,7.0,9.0,8.0,48.0,6.0,12.0,12.0,50.0,0,0,0,0,7,145,110,123,50,8,80,75,116,1,2023,2024,True,CLE,BOS,MAY
2023-24,1610612739,CLE,Cleveland Cavaliers,42300202,2024-05-09,CLE @ BOS,W,48.0,10.0,5.0,14.0,60.0,14.0,11.0,8.0,44.0,0,0,0,0,7,120,152,50,12,79,63,31,76,1,2023,2024,False,BOS,CLE,MAY
2023-24,1610612739,CLE,Cleveland Cavaliers,42300201,2024-05-07,CLE @ BOS,L,48.0,8.0,9.0,17.0,42.0,2.0,4.0,12.0,42.0,0,0,0,0,7,138,110,21,90,1,7,75,61,1,2023,2024,False,BOS,CLE,MAY
2023-24,1610612739,CLE,Cleveland Cavaliers,42300137,2024-05-05,CLE vs. ORL,W,48.0,17.0,16.0,17.0,50.0,10.0,24.0,11.0,28.0,0,0,0,0,7,53,28,21,46,36,157,62,4,1,2023,2024,True,CLE,ORL,MAY
2023-24,1610612739,CLE,Cleveland Cavaliers,42300136,2024-05-03,CLE @ ORL,L,48.0,12.0,2.0,13.0,66.0,18.0,15.0,11.0,38.0,0,0,0,0,7,96,161,66,4,113,113,62,33,1,2023,2024,False,ORL,CLE,MAY
2023-24,1610612739,CLE,Cleveland Cavaliers,42300135,2024-04-30,CLE vs. ORL,W,48.0,17.0,11.0,19.0,42.0,8.0,6.0,7.0,30.0,0,0,0,0,7,53,86,13,90,21,14,22,6,1,2023,2024,True,CLE,ORL,APR
2023-24,1610612739,CLE,Cleveland Cavaliers,42300134,2024-04-27,CLE @ ORL,L,48.0,15.0,4.0,8.0,54.0,18.0,14.0,12.0,52.0,0,0,0,0,7,66,157,123,25,113,105,75,120,1,2023,2024,False,ORL,CLE,APR
2023-24,1610612739,CLE,Cleveland Cavaliers,42300133,2024-04-25,CLE @ ORL,L,48.0,10.0,9.0,11.0,42.0,19.0,22.0,22.0,48.0,0,0,0,0,7,120,110,91,90,126,154,159,103,1,2023,2024,False,ORL,CLE,APR
2023-24,1610612739,CLE,Cleveland Cavaliers,42300132,2024-04-22,CLE vs. ORL,W,48.0,15.0,18.0,18.0,36.0,14.0,9.0,11.0,32.0,0,0,0,0,7,66,20,14,133,79,46,62,8,1,2023,2024,True,CLE,ORL,APR
2023-24,1610612739,CLE,Cleveland Cavaliers,42300131,2024-04-20,CLE vs. ORL,W,48.0,18.0,6.0,12.0,48.0,19.0,13.0,18.0,36.0,0,0,0,0,7,40,141,77,50,126,93,145,20,1,2023,2024,True,CLE,ORL,APR
